template,story_id,source,condition,intent_label,outcome_label,mean_norm_blame,n
acceptable7,YS2008-ALARM-accidental,YS2008,accidental,innocent,harm,0.4319,1
acceptable7,YS2008-ALARM-attempted,YS2008,attempted,guilty,no_harm,0.3876,1
acceptable7,YS2008-ALARM-intentional,YS2008,intentional,guilty,harm,0.4053,1
acceptable7,YS2008-ALARM-neutral,YS2008,neutral,innocent,no_harm,0.4502,1
acceptable7,YS2008-ASTHMA-accidental,YS2008,accidental,innocent,harm,0.7206,1
acceptable7,YS2008-ASTHMA-attempted,YS2008,attempted,guilty,no_harm,0.3505,1
acceptable7,YS2008-ASTHMA-intentional,YS2008,intentional,guilty,harm,0.4866,1
acceptable7,YS2008-ASTHMA-neutral,YS2008,neutral,innocent,no_harm,0.4028,1
acceptable7,YS2008-BAR-accidental,YS2008,accidental,innocent,harm,0.5615,1
acceptable7,YS2008-BAR-attempted,YS2008,attempted,guilty,no_harm,0.3925,1
acceptable7,YS2008-BAR-intentional,YS2008,intentional,guilty,harm,0.5011,1
acceptable7,YS2008-BAR-neutral,YS2008,neutral,innocent,no_harm,0.4788,1
acceptable7,YS2008-BIKE-accidental,YS2008,accidental,innocent,harm,0.4803,1
acceptable7,YS2008-BIKE-attempted,YS2008,attempted,guilty,no_harm,0.351,1
acceptable7,YS2008-BIKE-intentional,YS2008,intentional,guilty,harm,0.5857,1
acceptable7,YS2008-BIKE-neutral,YS2008,neutral,innocent,no_harm,0.5878,1
acceptable7,YS2008-BOUNCY BALL-accidental,YS2008,accidental,innocent,harm,0.5961,1
acceptable7,YS2008-BOUNCY BALL-attempted,YS2008,attempted,guilty,no_harm,0.434,1
acceptable7,YS2008-BOUNCY BALL-intentional,YS2008,intentional,guilty,harm,0.503,1
acceptable7,YS2008-BOUNCY BALL-neutral,YS2008,neutral,innocent,no_harm,0.4187,1
acceptable7,YS2008-BRIDGE-accidental,YS2008,accidental,innocent,harm,0.6317,1
acceptable7,YS2008-BRIDGE-attempted,YS2008,attempted,guilty,no_harm,0.4998,1
acceptable7,YS2008-BRIDGE-intentional,YS2008,intentional,guilty,harm,0.46,1
acceptable7,YS2008-BRIDGE-neutral,YS2008,neutral,innocent,no_harm,0.4859,1
acceptable7,YS2008-CAYO-accidental,YS2008,accidental,innocent,harm,0.4362,1
acceptable7,YS2008-CAYO-attempted,YS2008,attempted,guilty,no_harm,0.0896,1
acceptable7,YS2008-CAYO-intentional,YS2008,intentional,guilty,harm,0.4249,1
acceptable7,YS2008-CAYO-neutral,YS2008,neutral,innocent,no_harm,0.1628,1
acceptable7,YS2008-CHAIRLIFT-accidental,YS2008,accidental,innocent,harm,0.4624,1
acceptable7,YS2008-CHAIRLIFT-attempted,YS2008,attempted,guilty,no_harm,0.3403,1
