template,story_id,source,condition,intent_label,outcome_label,mean_norm_blame,n
acceptable7,YS2008-ALARM-accidental,YS2008,accidental,innocent,harm,0.1723,1
acceptable7,YS2008-ALARM-attempted,YS2008,attempted,guilty,no_harm,0.2164,1
acceptable7,YS2008-ALARM-intentional,YS2008,intentional,guilty,harm,0.1752,1
acceptable7,YS2008-ALARM-neutral,YS2008,neutral,innocent,no_harm,0.2008,1
acceptable7,YS2008-ASTHMA-accidental,YS2008,accidental,innocent,harm,0.2706,1
acceptable7,YS2008-ASTHMA-attempted,YS2008,attempted,guilty,no_harm,0.1619,1
acceptable7,YS2008-ASTHMA-intentional,YS2008,intentional,guilty,harm,0.2429,1
acceptable7,YS2008-ASTHMA-neutral,YS2008,neutral,innocent,no_harm,0.1417,1
acceptable7,YS2008-BOUNCY BALL-accidental,YS2008,accidental,innocent,harm,0.2317,1
acceptable7,YS2008-BOUNCY BALL-attempted,YS2008,attempted,guilty,no_harm,0.2067,1
acceptable7,YS2008-BOUNCY BALL-intentional,YS2008,intentional,guilty,harm,0.2293,1
acceptable7,YS2008-BOUNCY BALL-neutral,YS2008,neutral,innocent,no_harm,0.1931,1
acceptable7,YS2008-CHAIRLIFT-accidental,YS2008,accidental,innocent,harm,0.2454,1
acceptable7,YS2008-CHAIRLIFT-attempted,YS2008,attempted,guilty,no_harm,0.1805,1
acceptable7,YS2008-CHAIRLIFT-intentional,YS2008,intentional,guilty,harm,0.2358,1
acceptable7,YS2008-CHAIRLIFT-neutral,YS2008,neutral,innocent,no_harm,0.1649,1
acceptable7,YS2008-COFFEE-accidental,YS2008,accidental,innocent,harm,0.2059,1
acceptable7,YS2008-COFFEE-attempted,YS2008,attempted,guilty,no_harm,0.2128,1
acceptable7,YS2008-COFFEE-intentional,YS2008,intentional,guilty,harm,0.2055,1
acceptable7,YS2008-COFFEE-neutral,YS2008,neutral,innocent,no_harm,0.206,1
acceptable7,YS2008-CPR-accidental,YS2008,accidental,innocent,harm,0.2057,1
acceptable7,YS2008-CPR-attempted,YS2008,attempted,guilty,no_harm,0.1753,1
acceptable7,YS2008-CPR-intentional,YS2008,intentional,guilty,harm,0.2127,1
acceptable7,YS2008-CPR-neutral,YS2008,neutral,innocent,no_harm,0.1632,1
acceptable7,YS2008-FUMIGATION-accidental,YS2008,accidental,innocent,harm,0.2065,1
acceptable7,YS2008-FUMIGATION-attempted,YS2008,attempted,guilty,no_harm,0.2256,1
acceptable7,YS2008-FUMIGATION-intentional,YS2008,intentional,guilty,harm,0.2093,1
acceptable7,YS2008-FUMIGATION-neutral,YS2008,neutral,innocent,no_harm,0.2085,1
acceptable7,YS2008-MALARIA POND-accidental,YS2008,accidental,innocent,harm,0.2698,1
acceptable7,YS2008-MALARIA POND-attempted,YS2008,attempted,guilty,no_harm,0.207,1
acceptable7,YS2008-MALARIA POND-intentional,YS2008,intentional,guilty,harm,0.2577,1
acceptable7,YS2008-MALARIA POND-neutral,YS2008,neutral,innocent,no_harm,0.1927,1
acceptable7,YS2008-RABIES-accidental,YS2008,accidental,innocent,harm,0.2574,1
acceptable7,YS2008-RABIES-attempted,YS2008,attempted,guilty,no_harm,0.2515,1
acceptable7,YS2008-RABIES-intentional,YS2008,intentional,guilty,harm,0.253,1
acceptable7,YS2008-RABIES-neutral,YS2008,neutral,innocent,no_harm,0.2533,1
acceptable7,YS2008-SEATBELT-accidental,YS2008,accidental,innocent,harm,0.2172,1
acceptable7,YS2008-SEATBELT-attempted,YS2008,attempted,guilty,no_harm,0.2353,1
acceptable7,YS2008-SEATBELT-intentional,YS2008,intentional,guilty,harm,0.2119,1
acceptable7,YS2008-SEATBELT-neutral,YS2008,neutral,innocent,no_harm,0.2237,1
acceptable7,YS2008-SPINACH-accidental,YS2008,accidental,innocent,harm,0.2227,1
acceptable7,YS2008-SPINACH-attempted,YS2008,attempted,guilty,no_harm,0.158,1
acceptable7,YS2008-SPINACH-intentional,YS2008,intentional,guilty,harm,0.2214,1
acceptable7,YS2008-SPINACH-neutral,YS2008,neutral,innocent,no_harm,0.1667,1
acceptable7,YS2008-SUSHI-accidental,YS2008,accidental,innocent,harm,0.2461,1
acceptable7,YS2008-SUSHI-attempted,YS2008,attempted,guilty,no_harm,0.1882,1
acceptable7,YS2008-SUSHI-intentional,YS2008,intentional,guilty,harm,0.2297,1
acceptable7,YS2008-SUSHI-neutral,YS2008,neutral,innocent,no_harm,0.1809,1
acceptable7,YS2008-TEENAGERS-accidental,YS2008,accidental,innocent,harm,0.218,1
acceptable7,YS2008-TEENAGERS-attempted,YS2008,attempted,guilty,no_harm,0.1271,1
acceptable7,YS2008-TEENAGERS-intentional,YS2008,intentional,guilty,harm,0.2021,1
acceptable7,YS2008-TEENAGERS-neutral,YS2008,neutral,innocent,no_harm,0.1374,1
acceptable7,YS2008-TREE HOUSE-accidental,YS2008,accidental,innocent,harm,0.2097,1
acceptable7,YS2008-TREE HOUSE-attempted,YS2008,attempted,guilty,no_harm,0.2004,1
acceptable7,YS2008-TREE HOUSE-intentional,YS2008,intentional,guilty,harm,0.2154,1
acceptable7,YS2008-TREE HOUSE-neutral,YS2008,neutral,innocent,no_harm,0.2054,1
acceptable7,YS2008-YS2008_02-accidental,YS2008,accidental,innocent,harm,0.1718,1
acceptable7,YS2008-YS2008_02-attempted,YS2008,attempted,guilty,no_harm,0.2304,1
acceptable7,YS2008-YS2008_02-intentional,YS2008,intentional,guilty,harm,0.1711,1
acceptable7,YS2008-YS2008_02-neutral,YS2008,neutral,innocent,no_harm,0.2081,1
acceptable7,YS2008-YS2008_03-accidental,YS2008,accidental,innocent,harm,0.2588,1
acceptable7,YS2008-YS2008_03-attempted,YS2008,attempted,guilty,no_harm,0.2025,1
acceptable7,YS2008-YS2008_03-intentional,YS2008,intentional,guilty,harm,0.2641,1
acceptable7,YS2008-YS2008_03-neutral,YS2008,neutral,innocent,no_harm,0.1803,1
acceptable7,YS2008-YS2008_04-accidental,YS2008,accidental,innocent,harm,0.2554,1
acceptable7,YS2008-YS2008_04-attempted,YS2008,attempted,guilty,no_harm,0.2055,1
acceptable7,YS2008-YS2008_04-intentional,YS2008,intentional,guilty,harm,0.2678,1
acceptable7,YS2008-YS2008_04-neutral,YS2008,neutral,innocent,no_harm,0.1978,1
acceptable7,YS2008-YS2008_05-accidental,YS2008,accidental,innocent,harm,0.2425,1
acceptable7,YS2008-YS2008_05-attempted,YS2008,attempted,guilty,no_harm,0.206,1
acceptable7,YS2008-YS2008_05-intentional,YS2008,intentional,guilty,harm,0.2426,1
acceptable7,YS2008-YS2008_05-neutral,YS2008,neutral,innocent,no_harm,0.1696,1
acceptable7,YS2008-YS2008_06-accidental,YS2008,accidental,innocent,harm,0.1821,1
acceptable7,YS2008-YS2008_06-attempted,YS2008,attempted,guilty,no_harm,0.2289,1
acceptable7,YS2008-YS2008_06-intentional,YS2008,intentional,guilty,harm,0.18,1
acceptable7,YS2008-YS2008_06-neutral,YS2008,neutral,innocent,no_harm,0.1895,1
acceptable7,YS2008-YS2008_07-accidental,YS2008,accidental,innocent,harm,0.1919,1
acceptable7,YS2008-YS2008_07-attempted,YS2008,attempted,guilty,no_harm,0.2397,1
acceptable7,YS2008-YS2008_07-intentional,YS2008,intentional,guilty,harm,0.208,1
acceptable7,YS2008-YS2008_07-neutral,YS2008,neutral,innocent,no_harm,0.2283,1
acceptable7,YS2008-YS2008_08-accidental,YS2008,accidental,innocent,harm,0.1878,1
acceptable7,YS2008-YS2008_08-attempted,YS2008,attempted,guilty,no_harm,0.2414,1
acceptable7,YS2008-YS2008_08-intentional,YS2008,intentional,guilty,harm,0.2121,1
acceptable7,YS2008-YS2008_08-neutral,YS2008,neutral,innocent,no_harm,0.2323,1
acceptable7,YS2008-YS2008_10-accidental,YS2008,accidental,innocent,harm,0.1721,1
acceptable7,YS2008-YS2008_10-attempted,YS2008,attempted,guilty,no_harm,0.1813,1
acceptable7,YS2008-YS2008_10-intentional,YS2008,intentional,guilty,harm,0.1765,1
acceptable7,YS2008-YS2008_10-neutral,YS2008,neutral,innocent,no_harm,0.1762,1
acceptable7,YS2008-YS2008_11-accidental,YS2008,accidental,innocent,harm,0.2711,1
acceptable7,YS2008-YS2008_11-attempted,YS2008,attempted,guilty,no_harm,0.2249,1
acceptable7,YS2008-YS2008_11-intentional,YS2008,intentional,guilty,harm,0.2654,1
acceptable7,YS2008-YS2008_11-neutral,YS2008,neutral,innocent,no_harm,0.2134,1
acceptable7,YS2008-YS2008_12-accidental,YS2008,accidental,innocent,harm,0.2927,1
acceptable7,YS2008-YS2008_12-attempted,YS2008,attempted,guilty,no_harm,0.2439,1
acceptable7,YS2008-YS2008_12-intentional,YS2008,intentional,guilty,harm,0.2853,1
acceptable7,YS2008-YS2008_12-neutral,YS2008,neutral,innocent,no_harm,0.271,1
acceptable7,YS2008-YS2008_13-accidental,YS2008,accidental,innocent,harm,0.2049,1
acceptable7,YS2008-YS2008_13-attempted,YS2008,attempted,guilty,no_harm,0.2188,1
acceptable7,YS2008-YS2008_13-intentional,YS2008,intentional,guilty,harm,0.2133,1
acceptable7,YS2008-YS2008_13-neutral,YS2008,neutral,innocent,no_harm,0.2187,1
acceptable7,YS2008-YS2008_14-accidental,YS2008,accidental,innocent,harm,0.2735,1
acceptable7,YS2008-YS2008_14-attempted,YS2008,attempted,guilty,no_harm,0.1906,1
acceptable7,YS2008-YS2008_14-intentional,YS2008,intentional,guilty,harm,0.2847,1
acceptable7,YS2008-YS2008_14-neutral,YS2008,neutral,innocent,no_harm,0.1588,1
acceptable7,YS2008-YS2008_15-accidental,YS2008,accidental,innocent,harm,0.2449,1
acceptable7,YS2008-YS2008_15-attempted,YS2008,attempted,guilty,no_harm,0.1906,1
acceptable7,YS2008-YS2008_15-intentional,YS2008,intentional,guilty,harm,0.2367,1
acceptable7,YS2008-YS2008_15-neutral,YS2008,neutral,innocent,no_harm,0.1772,1
acceptable7,YS2008-YS2008_16-accidental,YS2008,accidental,innocent,harm,0.2033,1
acceptable7,YS2008-YS2008_16-attempted,YS2008,attempted,guilty,no_harm,0.2153,1
acceptable7,YS2008-YS2008_16-intentional,YS2008,intentional,guilty,harm,0.2079,1
acceptable7,YS2008-YS2008_16-neutral,YS2008,neutral,innocent,no_harm,0.2108,1
acceptable7,YS2008-YS2008_17-accidental,YS2008,accidental,innocent,harm,0.2225,1
acceptable7,YS2008-YS2008_17-attempted,YS2008,attempted,guilty,no_harm,0.3254,1
acceptable7,YS2008-YS2008_17-intentional,YS2008,intentional,guilty,harm,0.2287,1
acceptable7,YS2008-YS2008_17-neutral,YS2008,neutral,innocent,no_harm,0.2878,1
acceptable7,YS2008-YS2008_18-accidental,YS2008,accidental,innocent,harm,0.3572,1
acceptable7,YS2008-YS2008_18-attempted,YS2008,attempted,guilty,no_harm,0.2191,1
acceptable7,YS2008-YS2008_18-intentional,YS2008,intentional,guilty,harm,0.3514,1
acceptable7,YS2008-YS2008_18-neutral,YS2008,neutral,innocent,no_harm,0.21,1
acceptable7,YS2008-YS2008_19-accidental,YS2008,accidental,innocent,harm,0.2714,1
acceptable7,YS2008-YS2008_19-attempted,YS2008,attempted,guilty,no_harm,0.2981,1
acceptable7,YS2008-YS2008_19-intentional,YS2008,intentional,guilty,harm,0.2749,1
acceptable7,YS2008-YS2008_19-neutral,YS2008,neutral,innocent,no_harm,0.2774,1
acceptable7,YS2008-YS2008_20-accidental,YS2008,accidental,innocent,harm,0.2425,1
acceptable7,YS2008-YS2008_20-attempted,YS2008,attempted,guilty,no_harm,0.2389,1
acceptable7,YS2008-YS2008_20-intentional,YS2008,intentional,guilty,harm,0.2419,1
acceptable7,YS2008-YS2008_20-neutral,YS2008,neutral,innocent,no_harm,0.2239,1
acceptable7,YS2008-YS2008_21-accidental,YS2008,accidental,innocent,harm,0.2173,1
acceptable7,YS2008-YS2008_21-attempted,YS2008,attempted,guilty,no_harm,0.196,1
acceptable7,YS2008-YS2008_21-intentional,YS2008,intentional,guilty,harm,0.189,1
acceptable7,YS2008-YS2008_21-neutral,YS2008,neutral,innocent,no_harm,0.232,1
acceptable7,YS2008-YS2008_22-accidental,YS2008,accidental,innocent,harm,0.186,1
acceptable7,YS2008-YS2008_22-attempted,YS2008,attempted,guilty,no_harm,0.2245,1
acceptable7,YS2008-YS2008_22-intentional,YS2008,intentional,guilty,harm,0.1979,1
acceptable7,YS2008-YS2008_22-neutral,YS2008,neutral,innocent,no_harm,0.1821,1
acceptable7,YS2008-YS2008_24-accidental,YS2008,accidental,innocent,harm,0.1691,1
acceptable7,YS2008-YS2008_24-attempted,YS2008,attempted,guilty,no_harm,0.2739,1
acceptable7,YS2008-YS2008_24-intentional,YS2008,intentional,guilty,harm,0.2,1
acceptable7,YS2008-YS2008_24-neutral,YS2008,neutral,innocent,no_harm,0.2395,1
acceptable7,YS2008-YS2008_26-accidental,YS2008,accidental,innocent,harm,0.1854,1
acceptable7,YS2008-YS2008_26-attempted,YS2008,attempted,guilty,no_harm,0.2457,1
acceptable7,YS2008-YS2008_26-intentional,YS2008,intentional,guilty,harm,0.1765,1
