model,Qwen_Qwen2.5-3B
template,human_verbatim

MODEL condition profile (0-1 blame)
neutral,0.388
accidental,0.4501
attempted,0.3985
intentional,0.4353
model_intent_reliance_4cell,0.0414
model_intent_vs_outcome_contrast,-0.0516

PROMPT-INVARIANCE of intent_vs_outcome_contrast (n_templates=7)
contrast_template_mean,0.0031
contrast_template_sd,0.0693
contrast_template_min,-0.1413
contrast_template_max,0.0592
contrast_template_range,0.2005
  contrast[acceptable7],-0.1413
  contrast[human_verbatim],-0.0516
  contrast[para_blame10],0.0076
  contrast[para_blame4],0.0586
  contrast[para_wrong7],0.0386
  contrast[persona_adult7],0.0503
  contrast[punish7],0.0592
contrast_sign_stable_across_prompts,NO

vs adult
rmse,0.4266
profile_corr,0.1481
intent_reliance_4cell_diff,-0.8151
intent_vs_outcome_contrast_human,0.666
contrast_diff_model_minus_human,-0.7176

vs child_4_5
rmse,0.1054
profile_corr,1.0
intent_vs_outcome_contrast_human,-0.14
contrast_diff_model_minus_human,0.0884

vs child_6_7
rmse,0.1128
profile_corr,-1.0
intent_vs_outcome_contrast_human,0.15
contrast_diff_model_minus_human,-0.2016

vs child_8plus
rmse,0.2558
profile_corr,-1.0
intent_vs_outcome_contrast_human,0.46
contrast_diff_model_minus_human,-0.5116
