metric,value
intent_reliance_min,0.0786
intent_reliance_max,0.3475
intent_reliance_range,0.2689
itemcorr_human_verbatim__para_blame10,0.4168
itemcorr_human_verbatim__para_wrong7,0.83
itemcorr_human_verbatim__para_blame4,0.6039
itemcorr_human_verbatim__punish7,0.638
itemcorr_human_verbatim__acceptable7,0.8596
itemcorr_human_verbatim__persona_adult7,0.8025
itemcorr_para_blame10__para_wrong7,0.4218
itemcorr_para_blame10__para_blame4,0.7364
itemcorr_para_blame10__punish7,0.6685
itemcorr_para_blame10__acceptable7,0.475
itemcorr_para_blame10__persona_adult7,0.5657
itemcorr_para_wrong7__para_blame4,0.6987
itemcorr_para_wrong7__punish7,0.7712
itemcorr_para_wrong7__acceptable7,0.874
itemcorr_para_wrong7__persona_adult7,0.8991
itemcorr_para_blame4__punish7,0.8978
itemcorr_para_blame4__acceptable7,0.6796
itemcorr_para_blame4__persona_adult7,0.8008
itemcorr_punish7__acceptable7,0.7492
itemcorr_punish7__persona_adult7,0.8424
itemcorr_acceptable7__persona_adult7,0.8382
