layer,target,cv_acc,chance,degenerate
0,intent,0.5,0.5,False
0,outcome,0.5168,0.5168,False
1,intent,0.5403,0.5,False
1,outcome,0.8398,0.5168,False
2,intent,0.56,0.5,False
2,outcome,0.8364,0.5168,False
3,intent,0.5738,0.5,False
3,outcome,0.92,0.5168,False
4,intent,0.5636,0.5,False
4,outcome,0.9099,0.5168,False
5,intent,0.5737,0.5,False
5,outcome,0.9197,0.5168,False
6,intent,0.5572,0.5,False
6,outcome,0.9029,0.5168,False
7,intent,0.5499,0.5,False
7,outcome,0.9498,0.5168,False
8,intent,0.5771,0.5,False
8,outcome,0.9229,0.5168,False
9,intent,0.597,0.5,False
9,outcome,0.9867,0.5168,False
10,intent,0.6243,0.5,False
10,outcome,0.9767,0.5168,False
11,intent,0.6646,0.5,False
11,outcome,0.9933,0.5168,False
12,intent,0.6745,0.5,False
12,outcome,0.9933,0.5168,False
13,intent,0.7387,0.5,False
13,outcome,0.9933,0.5168,False
14,intent,0.698,0.5,False
14,outcome,0.9933,0.5168,False
15,intent,0.7078,0.5,False
15,outcome,0.9933,0.5168,False
16,intent,0.6816,0.5,False
16,outcome,0.9933,0.5168,False
17,intent,0.698,0.5,False
17,outcome,0.9967,0.5168,False
18,intent,0.7249,0.5,False
18,outcome,1.0,0.5168,False
19,intent,0.7117,0.5,False
19,outcome,1.0,0.5168,False
20,intent,0.668,0.5,False
20,outcome,0.9933,0.5168,False
21,intent,0.6944,0.5,False
21,outcome,0.9933,0.5168,False
22,intent,0.6307,0.5,False
22,outcome,0.9933,0.5168,False
23,intent,0.6778,0.5,False
23,outcome,0.9967,0.5168,False
24,intent,0.6509,0.5,False
24,outcome,0.9867,0.5168,False
25,intent,0.6779,0.5,False
25,outcome,0.99,0.5168,False
26,intent,0.7179,0.5,False
26,outcome,0.9867,0.5168,False
27,intent,0.6813,0.5,False
27,outcome,0.98,0.5168,False
28,intent,0.6545,0.5,False
28,outcome,0.9867,0.5168,False
