template,story_id,source,condition,intent_label,outcome_label,mean_norm_blame,n
acceptable7,YS2008-ALARM-accidental,YS2008,accidental,innocent,harm,0.8505,1
acceptable7,YS2008-ALARM-attempted,YS2008,attempted,guilty,no_harm,0.4896,1
acceptable7,YS2008-ALARM-intentional,YS2008,intentional,guilty,harm,0.801,1
acceptable7,YS2008-ALARM-neutral,YS2008,neutral,innocent,no_harm,0.4376,1
acceptable7,YS2008-ASTHMA-accidental,YS2008,accidental,innocent,harm,0.9232,1
acceptable7,YS2008-ASTHMA-attempted,YS2008,attempted,guilty,no_harm,0.6603,1
acceptable7,YS2008-ASTHMA-intentional,YS2008,intentional,guilty,harm,0.701,1
acceptable7,YS2008-ASTHMA-neutral,YS2008,neutral,innocent,no_harm,0.5701,1
acceptable7,YS2008-BAR-accidental,YS2008,accidental,innocent,harm,0.8225,1
acceptable7,YS2008-BAR-attempted,YS2008,attempted,guilty,no_harm,0.5752,1
acceptable7,YS2008-BAR-intentional,YS2008,intentional,guilty,harm,0.7141,1
acceptable7,YS2008-BAR-neutral,YS2008,neutral,innocent,no_harm,0.3957,1
acceptable7,YS2008-BIKE-accidental,YS2008,accidental,innocent,harm,0.9579,1
acceptable7,YS2008-BIKE-attempted,YS2008,attempted,guilty,no_harm,0.8369,1
acceptable7,YS2008-BIKE-intentional,YS2008,intentional,guilty,harm,0.9816,1
acceptable7,YS2008-BIKE-neutral,YS2008,neutral,innocent,no_harm,0.4858,1
acceptable7,YS2008-BOUNCY BALL-accidental,YS2008,accidental,innocent,harm,0.9129,1
acceptable7,YS2008-BOUNCY BALL-attempted,YS2008,attempted,guilty,no_harm,0.3762,1
acceptable7,YS2008-BOUNCY BALL-intentional,YS2008,intentional,guilty,harm,0.8986,1
acceptable7,YS2008-BOUNCY BALL-neutral,YS2008,neutral,innocent,no_harm,0.3106,1
acceptable7,YS2008-BRIDGE-accidental,YS2008,accidental,innocent,harm,0.7936,1
acceptable7,YS2008-BRIDGE-attempted,YS2008,attempted,guilty,no_harm,0.6196,1
acceptable7,YS2008-BRIDGE-intentional,YS2008,intentional,guilty,harm,0.8231,1
acceptable7,YS2008-BRIDGE-neutral,YS2008,neutral,innocent,no_harm,0.4404,1
acceptable7,YS2008-CAYO-accidental,YS2008,accidental,innocent,harm,0.9367,1
acceptable7,YS2008-CAYO-attempted,YS2008,attempted,guilty,no_harm,0.9372,1
acceptable7,YS2008-CAYO-intentional,YS2008,intentional,guilty,harm,0.952,1
acceptable7,YS2008-CAYO-neutral,YS2008,neutral,innocent,no_harm,0.8521,1
acceptable7,YS2008-CHAIRLIFT-accidental,YS2008,accidental,innocent,harm,0.9323,1
acceptable7,YS2008-CHAIRLIFT-attempted,YS2008,attempted,guilty,no_harm,0.7584,1
acceptable7,YS2008-CHAIRLIFT-intentional,YS2008,intentional,guilty,harm,0.9268,1
acceptable7,YS2008-CHAIRLIFT-neutral,YS2008,neutral,innocent,no_harm,0.3138,1
acceptable7,YS2008-COFFEE-accidental,YS2008,accidental,innocent,harm,0.9623,1
acceptable7,YS2008-COFFEE-attempted,YS2008,attempted,guilty,no_harm,0.7951,1
acceptable7,YS2008-COFFEE-intentional,YS2008,intentional,guilty,harm,0.9727,1
acceptable7,YS2008-COFFEE-neutral,YS2008,neutral,innocent,no_harm,0.559,1
acceptable7,YS2008-CPR-accidental,YS2008,accidental,innocent,harm,0.9353,1
acceptable7,YS2008-CPR-attempted,YS2008,attempted,guilty,no_harm,0.8158,1
acceptable7,YS2008-CPR-intentional,YS2008,intentional,guilty,harm,0.8189,1
acceptable7,YS2008-CPR-neutral,YS2008,neutral,innocent,no_harm,0.2742,1
acceptable7,YS2008-FRAT-accidental,YS2008,accidental,innocent,harm,0.9343,1
acceptable7,YS2008-FRAT-attempted,YS2008,attempted,guilty,no_harm,0.8093,1
acceptable7,YS2008-FRAT-intentional,YS2008,intentional,guilty,harm,0.94,1
acceptable7,YS2008-FRAT-neutral,YS2008,neutral,innocent,no_harm,0.3678,1
acceptable7,YS2008-FUMIGATION-accidental,YS2008,accidental,innocent,harm,0.9676,1
