layer,target,cv_acc,chance
0,intent,0.503448275862069,0.5
0,outcome,0.5167816091954023,0.5167785234899329
1,intent,0.7413793103448276,0.5
1,outcome,0.653448275862069,0.5167785234899329
2,intent,0.7682758620689656,0.5
2,outcome,0.7049425287356323,0.5167785234899329
3,intent,0.7481609195402299,0.5
3,outcome,0.7208045977011495,0.5167785234899329
4,intent,0.7210344827586207,0.5
4,outcome,0.7081609195402299,0.5167785234899329
5,intent,0.6875862068965517,0.5
5,outcome,0.7545977011494254,0.5167785234899329
6,intent,0.6975862068965517,0.5
6,outcome,0.7679310344827587,0.5167785234899329
7,intent,0.6909195402298851,0.5
7,outcome,0.7650574712643678,0.5167785234899329
8,intent,0.717816091954023,0.5
8,outcome,0.737816091954023,0.5167785234899329
9,intent,0.7447126436781609,0.5
9,outcome,0.741264367816092,0.5167785234899329
10,intent,0.7542528735632184,0.5
10,outcome,0.7680459770114941,0.5167785234899329
11,intent,0.7713793103448277,0.5
11,outcome,0.7650574712643678,0.5167785234899329
12,intent,0.8049425287356323,0.5
12,outcome,0.7788505747126436,0.5167785234899329
13,intent,0.7780459770114942,0.5
13,outcome,0.778390804597701,0.5167785234899329
14,intent,0.8185057471264366,0.5
14,outcome,0.80816091954023,0.5167785234899329
15,intent,0.7716091954022989,0.5
15,outcome,0.825287356321839,0.5167785234899329
16,intent,0.7311494252873564,0.5
16,outcome,0.7919540229885057,0.5167785234899329
17,intent,0.7281609195402299,0.5
17,outcome,0.7617241379310344,0.5167785234899329
18,intent,0.7181609195402298,0.5
18,outcome,0.7285057471264369,0.5167785234899329
19,intent,0.7313793103448276,0.5
19,outcome,0.778390804597701,0.5167785234899329
20,intent,0.7313793103448276,0.5
20,outcome,0.7450574712643678,0.5167785234899329
21,intent,0.7114942528735632,0.5
21,outcome,0.7313793103448276,0.5167785234899329
22,intent,0.7210344827586207,0.5
22,outcome,0.7413793103448276,0.5167785234899329
23,intent,0.7108045977011495,0.5
23,outcome,0.7480459770114942,0.5167785234899329
24,intent,0.7277011494252873,0.5
24,outcome,0.740919540229885,0.5167785234899329
