layer,target,cv_acc,chance
0,intent,0.52,0.5
0,outcome,0.5167816091954023,0.5167785234899329
1,intent,0.7544827586206896,0.5
1,outcome,0.6942528735632184,0.5167785234899329
2,intent,0.7921839080459769,0.5
2,outcome,0.7377011494252873,0.5167785234899329
3,intent,0.8088505747126437,0.5
3,outcome,0.714367816091954,0.5167785234899329
4,intent,0.7782758620689656,0.5
4,outcome,0.7212643678160919,0.5167785234899329
5,intent,0.8186206896551724,0.5
5,outcome,0.7242528735632184,0.5167785234899329
6,intent,0.7986206896551724,0.5
6,outcome,0.7751724137931035,0.5167785234899329
7,intent,0.7987356321839081,0.5
7,outcome,0.7716091954022988,0.5167785234899329
8,intent,0.8522988505747126,0.5
8,outcome,0.7855172413793103,0.5167785234899329
9,intent,0.8895402298850575,0.5
9,outcome,0.7718390804597701,0.5167785234899329
10,intent,0.8960919540229885,0.5
10,outcome,0.8326436781609197,0.5167785234899329
11,intent,0.9189655172413793,0.5
11,outcome,0.835632183908046,0.5167785234899329
12,intent,0.909080459770115,0.5
12,outcome,0.8726436781609195,0.5167785234899329
13,intent,0.9191954022988507,0.5
13,outcome,0.8491954022988505,0.5167785234899329
14,intent,0.9194252873563219,0.5
14,outcome,0.8291954022988506,0.5167785234899329
15,intent,0.9058620689655174,0.5
15,outcome,0.8289655172413793,0.5167785234899329
16,intent,0.892183908045977,0.5
16,outcome,0.7917241379310346,0.5167785234899329
17,intent,0.8852873563218392,0.5
17,outcome,0.7820689655172413,0.5167785234899329
18,intent,0.8718390804597702,0.5
18,outcome,0.8187356321839079,0.5167785234899329
19,intent,0.8852873563218392,0.5
19,outcome,0.8087356321839081,0.5167785234899329
20,intent,0.8551724137931036,0.5
20,outcome,0.7883908045977011,0.5167785234899329
21,intent,0.8587356321839081,0.5
21,outcome,0.7517241379310345,0.5167785234899329
22,intent,0.8455172413793104,0.5
22,outcome,0.7649425287356323,0.5167785234899329
23,intent,0.8187356321839079,0.5
23,outcome,0.7347126436781609,0.5167785234899329
24,intent,0.7985057471264368,0.5
24,outcome,0.7177011494252874,0.5167785234899329
