subset,span,feature_set,target,cv_acc,cv_std,chance,n_items,n_features,degenerate
all,full,tfidf_word_1_2,intent,0.5937,0.0541,0.5,298,6421,False
all,full,tfidf_word_1_2,outcome,0.7548,0.0582,0.5168,298,6421,False
all,full,tfidf_char_3_5,intent,0.5938,0.0678,0.5,298,12874,False
all,full,tfidf_char_3_5,outcome,0.7489,0.0608,0.5168,298,12874,False
all,belief_last,tfidf_word_1_2,intent,0.5906,0.027,0.5,298,5196,False
all,belief_last,tfidf_word_1_2,outcome,0.5807,0.0905,0.5168,298,5196,False
all,belief_last,tfidf_char_3_5,intent,0.5702,0.0354,0.5,298,11613,False
all,belief_last,tfidf_char_3_5,outcome,0.5369,0.0618,0.5168,298,11613,False
all,action_last,tfidf_word_1_2,intent,0.5669,0.0515,0.5,298,5593,False
all,action_last,tfidf_word_1_2,outcome,0.611,0.0792,0.5168,298,5593,False
all,action_last,tfidf_char_3_5,intent,0.5602,0.0477,0.5,298,11947,False
all,action_last,tfidf_char_3_5,outcome,0.5539,0.0728,0.5168,298,11947,False
intent_noharm,full,tfidf_word_1_2,intent,0.5943,0.1295,0.5,144,4687,False
intent_noharm,full,tfidf_char_3_5,intent,0.5833,0.0482,0.5,144,10728,False
intent_harm,full,tfidf_word_1_2,intent,0.5904,0.0464,0.5,154,4960,False
intent_harm,full,tfidf_char_3_5,intent,0.6038,0.0642,0.5,154,11104,False
outcome_innocent,full,tfidf_word_1_2,outcome,0.7382,0.0614,0.5168,149,4954,False
outcome_innocent,full,tfidf_char_3_5,outcome,0.7451,0.0682,0.5168,149,11343,False
outcome_guilty,full,tfidf_word_1_2,outcome,0.7379,0.1029,0.5168,149,4940,False
outcome_guilty,full,tfidf_char_3_5,outcome,0.7995,0.1616,0.5168,149,11235,False
YS2008,full,tfidf_word_1_2,intent,0.6144,0.033,0.5,192,6219,False
YS2008,full,tfidf_word_1_2,outcome,0.7611,0.0788,0.5,192,6219,False
YS2008,full,tfidf_char_3_5,intent,0.5294,0.0503,0.5,192,12616,False
YS2008,full,tfidf_char_3_5,outcome,0.7878,0.0483,0.5,192,12616,False
YS2008,belief_last,tfidf_word_1_2,intent,0.6089,0.0224,0.5,192,5033,False
YS2008,belief_last,tfidf_word_1_2,outcome,0.6017,0.0815,0.5,192,5033,False
YS2008,belief_last,tfidf_char_3_5,intent,0.5722,0.0421,0.5,192,11374,False
YS2008,belief_last,tfidf_char_3_5,outcome,0.6011,0.0815,0.5,192,11374,False
YS2008,action_last,tfidf_word_1_2,intent,0.5772,0.0309,0.5,192,5396,False
YS2008,action_last,tfidf_word_1_2,outcome,0.6167,0.0776,0.5,192,5396,False
YS2008,action_last,tfidf_char_3_5,intent,0.54,0.0496,0.5,192,11676,False
YS2008,action_last,tfidf_char_3_5,outcome,0.5967,0.0824,0.5,192,11676,False
YS2009,full,tfidf_word_1_2,intent,0.5425,0.0497,0.5,96,3523,False
YS2009,full,tfidf_word_1_2,outcome,0.6225,0.1014,0.5,96,3523,False
YS2009,full,tfidf_char_3_5,intent,0.52,0.04,0.5,96,8846,False
YS2009,full,tfidf_char_3_5,outcome,0.62,0.103,0.5,96,8846,False
YS2009,belief_last,tfidf_word_1_2,intent,0.565,0.07,0.5,96,2822,False
YS2009,belief_last,tfidf_word_1_2,outcome,0.58,0.051,0.5,96,2822,False
YS2009,belief_last,tfidf_char_3_5,intent,0.5025,0.0726,0.5,96,7729,False
YS2009,belief_last,tfidf_char_3_5,outcome,0.4925,0.1023,0.5,96,7729,False
YS2009,action_last,tfidf_word_1_2,intent,0.565,0.0624,0.5,96,3004,False
YS2009,action_last,tfidf_word_1_2,outcome,0.56,0.0374,0.5,96,3004,False
YS2009,action_last,tfidf_char_3_5,intent,0.49,0.0663,0.5,96,7924,False
YS2009,action_last,tfidf_char_3_5,outcome,0.5025,0.1097,0.5,96,7924,False
