template,story_id,source,condition,intent_label,outcome_label,mean_norm_blame,n
human_verbatim,YS2008-COFFEE-neutral,YS2008,neutral,innocent,no_harm,0.9999,1
human_verbatim,YS2008-COFFEE-accidental,YS2008,accidental,innocent,harm,1.0,1
human_verbatim,YS2008-COFFEE-attempted,YS2008,attempted,guilty,no_harm,0.9998,1
human_verbatim,YS2008-COFFEE-intentional,YS2008,intentional,guilty,harm,1.0,1
human_verbatim,YS2008-YS2008_02-neutral,YS2008,neutral,innocent,no_harm,0.0666,1
human_verbatim,YS2008-YS2008_02-accidental,YS2008,accidental,innocent,harm,1.0,1
human_verbatim,YS2008-YS2008_02-attempted,YS2008,attempted,guilty,no_harm,1.0,1
human_verbatim,YS2008-YS2008_02-intentional,YS2008,intentional,guilty,harm,1.0,1
human_verbatim,YS2008-YS2008_03-neutral,YS2008,neutral,innocent,no_harm,0.9225,1
human_verbatim,YS2008-YS2008_03-accidental,YS2008,accidental,innocent,harm,1.0,1
human_verbatim,YS2008-YS2008_03-attempted,YS2008,attempted,guilty,no_harm,0.9999,1
human_verbatim,YS2008-YS2008_03-intentional,YS2008,intentional,guilty,harm,0.9999,1
human_verbatim,YS2008-YS2008_04-neutral,YS2008,neutral,innocent,no_harm,0.0391,1
human_verbatim,YS2008-YS2008_04-accidental,YS2008,accidental,innocent,harm,0.9998,1
human_verbatim,YS2008-YS2008_04-attempted,YS2008,attempted,guilty,no_harm,0.1379,1
human_verbatim,YS2008-YS2008_04-intentional,YS2008,intentional,guilty,harm,0.9997,1
human_verbatim,YS2008-YS2008_05-neutral,YS2008,neutral,innocent,no_harm,0.3652,1
human_verbatim,YS2008-YS2008_05-accidental,YS2008,accidental,innocent,harm,0.9998,1
human_verbatim,YS2008-YS2008_05-attempted,YS2008,attempted,guilty,no_harm,0.9694,1
human_verbatim,YS2008-YS2008_05-intentional,YS2008,intentional,guilty,harm,0.9991,1
human_verbatim,YS2008-YS2008_06-neutral,YS2008,neutral,innocent,no_harm,0.4491,1
human_verbatim,YS2008-YS2008_06-accidental,YS2008,accidental,innocent,harm,0.9999,1
human_verbatim,YS2008-YS2008_06-attempted,YS2008,attempted,guilty,no_harm,1.0,1
human_verbatim,YS2008-YS2008_06-intentional,YS2008,intentional,guilty,harm,0.9999,1
human_verbatim,YS2008-YS2008_07-neutral,YS2008,neutral,innocent,no_harm,0.2965,1
human_verbatim,YS2008-YS2008_07-accidental,YS2008,accidental,innocent,harm,1.0,1
human_verbatim,YS2008-YS2008_07-attempted,YS2008,attempted,guilty,no_harm,0.9999,1
human_verbatim,YS2008-YS2008_07-intentional,YS2008,intentional,guilty,harm,1.0,1
human_verbatim,YS2008-YS2008_08-neutral,YS2008,neutral,innocent,no_harm,0.9997,1
human_verbatim,YS2008-YS2008_08-accidental,YS2008,accidental,innocent,harm,1.0,1
human_verbatim,YS2008-YS2008_08-attempted,YS2008,attempted,guilty,no_harm,1.0,1
human_verbatim,YS2008-YS2008_08-intentional,YS2008,intentional,guilty,harm,1.0,1
human_verbatim,YS2008-ASTHMA-neutral,YS2008,neutral,innocent,no_harm,0.9998,1
human_verbatim,YS2008-ASTHMA-accidental,YS2008,accidental,innocent,harm,1.0,1
human_verbatim,YS2008-ASTHMA-attempted,YS2008,attempted,guilty,no_harm,0.9992,1
human_verbatim,YS2008-ASTHMA-intentional,YS2008,intentional,guilty,harm,1.0,1
human_verbatim,YS2008-YS2008_10-neutral,YS2008,neutral,innocent,no_harm,0.6144,1
human_verbatim,YS2008-YS2008_10-accidental,YS2008,accidental,innocent,harm,0.9999,1
human_verbatim,YS2008-YS2008_10-attempted,YS2008,attempted,guilty,no_harm,1.0,1
human_verbatim,YS2008-YS2008_10-intentional,YS2008,intentional,guilty,harm,1.0,1
human_verbatim,YS2008-YS2008_11-neutral,YS2008,neutral,innocent,no_harm,0.5242,1
human_verbatim,YS2008-YS2008_11-accidental,YS2008,accidental,innocent,harm,1.0,1
human_verbatim,YS2008-YS2008_11-attempted,YS2008,attempted,guilty,no_harm,0.9998,1
human_verbatim,YS2008-YS2008_11-intentional,YS2008,intentional,guilty,harm,1.0,1
human_verbatim,YS2008-YS2008_12-neutral,YS2008,neutral,innocent,no_harm,0.3133,1
human_verbatim,YS2008-YS2008_12-accidental,YS2008,accidental,innocent,harm,0.9996,1
human_verbatim,YS2008-YS2008_12-attempted,YS2008,attempted,guilty,no_harm,1.0,1
human_verbatim,YS2008-YS2008_12-intentional,YS2008,intentional,guilty,harm,0.9995,1
human_verbatim,YS2008-YS2008_13-neutral,YS2008,neutral,innocent,no_harm,1.0,1
human_verbatim,YS2008-YS2008_13-accidental,YS2008,accidental,innocent,harm,1.0,1
human_verbatim,YS2008-YS2008_13-attempted,YS2008,attempted,guilty,no_harm,0.9999,1
