layer,target,cv_acc,chance,degenerate
0,intent,0.5,0.5,True
0,outcome,0.5,0.5,True
1,intent,0.52,0.5,False
1,outcome,0.5325,0.5,False
2,intent,0.5625,0.5,False
2,outcome,0.52,0.5,False
3,intent,0.5625,0.5,False
3,outcome,0.5425,0.5,False
4,intent,0.57,0.5,False
4,outcome,0.6075,0.5,False
5,intent,0.5575,0.5,False
5,outcome,0.6,0.5,False
6,intent,0.5775,0.5,False
6,outcome,0.5825,0.5,False
7,intent,0.5775,0.5,False
7,outcome,0.56,0.5,False
8,intent,0.6025,0.5,False
8,outcome,0.5575,0.5,False
9,intent,0.6025,0.5,False
9,outcome,0.5675,0.5,False
10,intent,0.6325,0.5,False
10,outcome,0.5575,0.5,False
11,intent,0.7225,0.5,False
11,outcome,0.6575,0.5,False
12,intent,0.775,0.5,False
12,outcome,0.6175,0.5,False
13,intent,0.72,0.5,False
13,outcome,0.6,0.5,False
14,intent,0.6625,0.5,False
14,outcome,0.6425,0.5,False
15,intent,0.6225,0.5,False
15,outcome,0.635,0.5,False
16,intent,0.69,0.5,False
16,outcome,0.7325,0.5,False
17,intent,0.7425,0.5,False
17,outcome,0.6625,0.5,False
18,intent,0.7425,0.5,False
18,outcome,0.675,0.5,False
19,intent,0.8025,0.5,False
19,outcome,0.6675,0.5,False
20,intent,0.7125,0.5,False
20,outcome,0.6325,0.5,False
21,intent,0.75,0.5,False
21,outcome,0.65,0.5,False
22,intent,0.76,0.5,False
22,outcome,0.6175,0.5,False
23,intent,0.64,0.5,False
23,outcome,0.69,0.5,False
24,intent,0.685,0.5,False
24,outcome,0.625,0.5,False
25,intent,0.68,0.5,False
25,outcome,0.6475,0.5,False
26,intent,0.6825,0.5,False
26,outcome,0.635,0.5,False
27,intent,0.6725,0.5,False
27,outcome,0.6675,0.5,False
28,intent,0.665,0.5,False
28,outcome,0.575,0.5,False
