story_id,source,scenario_id,scenario_group,condition,intent_label,outcome_label,word_count,text
YS2008-COFFEE-neutral,YS2008,COFFEE,COFFEE,neutral,innocent,no_harm,104,"Grace and her friend are taking a tour of a chemical plant. When Grace goes over to the coffee machine to pour some coffee, Grace's friend asks for some sugar in hers. There is white powder in a container by the coffee. The white powder is just the regular sugar that the scientists use every day, and is therefore perfectly safe to have in coffee. The container is labeled “sugar”, so Grace believes that the white powder by the coffee is sugar left out by the kitchen staff. Grace puts the substance in her friend's coffee. Her friend drinks the coffee and is fine."
YS2008-COFFEE-accidental,YS2008,COFFEE,COFFEE,accidental,innocent,harm,100,"Grace and her friend are taking a tour of a chemical plant. When Grace goes over to the coffee machine to pour some coffee, Grace's friend asks for some sugar in hers. There is white powder in a container by the coffee. The white powder is a very toxic left behind by a scientist, and therefore deadly when ingested in any form. The container is labeled “sugar”, so Grace believes that the white powder by the coffee is sugar left out by the kitchen staff. Grace puts the substance in her friend's coffee. Her friend drinks the coffee and dies."
YS2008-COFFEE-attempted,YS2008,COFFEE,COFFEE,attempted,guilty,no_harm,101,"Grace and her friend are taking a tour of a chemical plant. When Grace goes over to the coffee machine to pour some coffee, Grace's friend asks for some sugar in hers. There is white powder in a container by the coffee. The white powder is just the regular sugar that the scientists use every day, and is therefore perfectly safe to have in coffee. The container is labeled “toxic”, so Grace believes that the white powder is toxic substance left behind by a scientist. Grace puts the substance in her friend's coffee. Her friend drinks the coffee and is fine."
YS2008-COFFEE-intentional,YS2008,COFFEE,COFFEE,intentional,guilty,harm,97,"Grace and her friend are taking a tour of a chemical plant. When Grace goes over to the coffee machine to pour some coffee, Grace's friend asks for some sugar in hers. There is white powder in a container by the coffee. The white powder is a very toxic left behind by a scientist, and therefore deadly when ingested in any form. The container is labeled “toxic”, so Grace believes that the white powder is toxic substance left behind by a scientist. Grace puts the substance in her friend's coffee. Her friend drinks the coffee and dies."
YS2008-LAB-neutral,YS2008,LAB,LAB,neutral,innocent,no_harm,114,"Dan is giving a visitor a tour of a lab. Before visitors enter the testing room, all test tubes containing disease antigens must be contained in a chamber by flipping a switch. A repairman has just come to fix the switch, which had been broken. The switch has been successfully repaired, so the test tubes are quite safely contained. Thus, anybody who enters the room will be safe and unexposed. Dan believes that the switch has been fixed after a conversation with the repairman, so he believes it is safe for the visitor to enter. Dan tells the visitor to enter the testing room. The visitor does not contract any disease and is fine."
YS2008-LAB-accidental,YS2008,LAB,LAB,accidental,innocent,harm,111,"Dan is giving a visitor a tour of a lab. Before visitors enter the testing room, all test tubes containing disease antigens must be contained in a chamber by flipping a switch. A repairman has just come to fix the switch, which had been broken. The switch is still broken, so the test tubes are out in the open. Thus, anybody who enters the room will contract diseases and die. Dan believes that the switch has been fixed after a conversation with the repairman, so he believes it is safe for the visitor to enter. Dan tells the visitor to enter the testing room. The visitor contracts a deadly infectious disease."
YS2008-LAB-attempted,YS2008,LAB,LAB,attempted,guilty,no_harm,115,"Dan is giving a visitor a tour of a lab. Before visitors enter the testing room, all test tubes containing disease antigens must be contained in a chamber by flipping a switch. A repairman has just come to fix the switch, which had been broken. The switch has been successfully repaired, so the test tubes are quite safely contained. Thus, anybody who enters the room will be safe and unexposed. Dan believes that the switch is still broken after a conversation with the repairman, so he believes it is not safe for the visitor to enter. Dan tells the visitor to enter the testing room. The visitor does not contract any disease and is fine."
YS2008-LAB-intentional,YS2008,LAB,LAB,intentional,guilty,harm,112,"Dan is giving a visitor a tour of a lab. Before visitors enter the testing room, all test tubes containing disease antigens must be contained in a chamber by flipping a switch. A repairman has just come to fix the switch, which had been broken. The switch is still broken, so the test tubes are out in the open. Thus, anybody who enters the room will contract diseases and die. Dan believes that the switch is still broken after a conversation with the repairman, so he believes it is not safe for the visitor to enter. Dan tells the visitor to enter the testing room. The visitor contracts a deadly infectious disease."
YS2008-JELLYFISH-neutral,YS2008,JELLYFISH,JELLYFISH,neutral,innocent,no_harm,87,"Janet and her neighbor are kayaking in a part of the ocean with lots of jellyfish. Janet’s neighbor asks her if she should go for a swim. It is perfectly safe to swim in the ocean because the jellyfish don’t sting and are totally harmless. Since Janet read information that said the ocean’s jellyfish are harmless, she believes that it is quite safe to swim in the ocean. Janet tells her neighbor to go for a swim. Her neighbor does, enjoys the swim, and is just fine."
YS2008-JELLYFISH-accidental,YS2008,JELLYFISH,JELLYFISH,accidental,innocent,harm,86,"Janet and her neighbor are kayaking in a part of the ocean with lots of jellyfish. Janet’s neighbor asks her if she should go for a swim. It is not safe to swim in the ocean because the jellyfish sting, and their stings are fatal. Since Janet read information that said the ocean’s jellyfish are harmless, she believes that it is quite safe to swim in the ocean. Janet tells her neighbor to go for a swim. Her neighbor does, gets stung by jellyfish, and dies."
YS2008-JELLYFISH-attempted,YS2008,JELLYFISH,JELLYFISH,attempted,guilty,no_harm,87,"Janet and her neighbor are kayaking in a part of the ocean with lots of jellyfish. Janet’s neighbor asks her if she should go for a swim. It is perfectly safe to swim in the ocean because the jellyfish don’t sting and are totally harmless. Since Janet read information that said the ocean’s jellyfish are deadly, she believes that it is not safe to swim in the ocean. Janet tells her neighbor to go for a swim. Her neighbor does, enjoys the swim, and is just fine."
YS2008-JELLYFISH-intentional,YS2008,JELLYFISH,JELLYFISH,intentional,guilty,harm,86,"Janet and her neighbor are kayaking in a part of the ocean with lots of jellyfish. Janet’s neighbor asks her if she should go for a swim. It is not safe to swim in the ocean because the jellyfish sting, and their stings are fatal. Since Janet read information that said the ocean’s jellyfish are deadly, she believes that it is not safe to swim in the ocean. Janet tells her neighbor to go for a swim. Her neighbor does, gets stung by jellyfish, and dies."
YS2008-BRIDGE-neutral,YS2008,BRIDGE,BRIDGE,neutral,innocent,no_harm,77,Ray and his girlfriend are hiking. They come across a long narrow bridge that spans a steep canyon. The bridge happens to be extremely sturdy and can easily carry the weight of many people at once. Ray believes that whoever walks on the bridge will cross the canyon quite safely because the bridge is maintained by the national park. Ray says nothing as his girlfriend starts walking across the bridge. His girlfriend reaches the other side safely.
YS2008-BRIDGE-accidental,YS2008,BRIDGE,BRIDGE,accidental,innocent,harm,80,Ray and his girlfriend are hiking. They come across a long narrow bridge that spans a steep canyon. The bridge happens to be extremely unsteady and cannot carry the weight of even one very light person. Ray believes that whoever walks on the bridge will cross the canyon quite safely because the bridge is maintained by the national park. Ray says nothing as his girlfriend starts walking across the bridge. His girlfriend breaks the bridge and falls to her death.
YS2008-BRIDGE-attempted,YS2008,BRIDGE,BRIDGE,attempted,guilty,no_harm,78,Ray and his girlfriend are hiking. They come across a long narrow bridge that spans a steep canyon. The bridge happens to be extremely sturdy and can easily carry the weight of many people at once. Ray believes that whoever walks on the bridge will break the bridge and fall into the canyon because the bridge looks unsteady and old. Ray says nothing as his girlfriend starts walking across the bridge. His girlfriend reaches the other side safely.
YS2008-BRIDGE-intentional,YS2008,BRIDGE,BRIDGE,intentional,guilty,harm,81,Ray and his girlfriend are hiking. They come across a long narrow bridge that spans a steep canyon. The bridge happens to be extremely unsteady and cannot carry the weight of even one very light person. Ray believes that whoever walks on the bridge will break the bridge and fall into the canyon because the bridge looks unsteady and old. Ray says nothing as his girlfriend starts walking across the bridge. His girlfriend breaks the bridge and falls to her death.
YS2008-POOL-neutral,YS2008,POOL,POOL,neutral,innocent,no_harm,78,"Leah is walking by a neighbor's swimming pool when she sees a child about to dive in. The child is about dive into the deep end and have fun swimming around and playing all day. Because of a label on the side of the pool, Leah believes that the child is about to dive safely into the deep end and swim around. Leah walks by, without saying anything to the child. The child dives in and is fine."
YS2008-POOL-accidental,YS2008,POOL,POOL,accidental,innocent,harm,84,"Leah is walking by a neighbor's swimming pool when she sees a child about to dive in. The child is about to dive into the shallow end and smack his head very hard on the concrete bottom of the pool. Because of a label on the side of the pool, Leah believes that the child is about to dive safely into the deep end and swim around. Leah walks by, without saying anything to the child. The child dives in and breaks his neck."
YS2008-POOL-attempted,YS2008,POOL,POOL,attempted,guilty,no_harm,78,"Leah is walking by a neighbor's swimming pool when she sees a child about to dive in. The child is about dive into the deep end and have fun swimming around and playing all day. Because of a warning sign at the side of the pool, Leah believes that the child is about to dive into shallow water and break his neck. Leah walks by, without saying anything to the child. The child dives in and is fine."
YS2008-POOL-intentional,YS2008,POOL,POOL,intentional,guilty,harm,84,"Leah is walking by a neighbor's swimming pool when she sees a child about to dive in. The child is about to dive into the shallow end and smack his head very hard on the concrete bottom of the pool. Because of a warning sign at the side of the pool, Leah believes that the child is about to dive into shallow water and break his neck. Leah walks by, without saying anything to the child. The child dives in and breaks his neck."
YS2008-MUSHROOMS-neutral,YS2008,MUSHROOMS,MUSHROOMS,neutral,innocent,no_harm,95,"Lauren and an acquaintance are camping in the woods. Lauren spots some wild mushrooms growing along the campsite. Lauren studies the mushrooms and consults her plant life guide. The mushrooms happen to be edible and delicious. They are the kind that one can buy in the supermarket and put in salad. Lauren sees a picture of an edible mushroom in her book that looks just like these mushrooms at the campsite, so she believes that the mushrooms are edible. Lauren offers the mushrooms to her acquaintance. Her acquaintance eats them and finds them very tasty."
YS2008-MUSHROOMS-accidental,YS2008,MUSHROOMS,MUSHROOMS,accidental,innocent,harm,93,"Lauren and an acquaintance are camping in the woods. Lauren spots some wild mushrooms growing along the campsite. Lauren studies the mushrooms and consults her plant life guide. The mushrooms happen to be lethal and tasteless. They are the kind that result in painful convulsions and ultimately death. Lauren sees a picture of an edible mushroom in her book that looks just like these mushrooms at the campsite, so she believes that the mushrooms are edible. Lauren offers the mushrooms to her acquaintance. Her acquaintance eats them and starts convulsing after 10 minutes."
