template,story_id,source,condition,intent_label,outcome_label,mean_norm_blame,n
acceptable7,YS2008-ALARM-accidental,YS2008,accidental,innocent,harm,0.5,1
acceptable7,YS2008-ALARM-attempted,YS2008,attempted,guilty,no_harm,0.5,1
acceptable7,YS2008-ALARM-intentional,YS2008,intentional,guilty,harm,0.5,1
acceptable7,YS2008-ALARM-neutral,YS2008,neutral,innocent,no_harm,0.5,1
acceptable7,YS2008-ASTHMA-accidental,YS2008,accidental,innocent,harm,0.5,1
acceptable7,YS2008-ASTHMA-attempted,YS2008,attempted,guilty,no_harm,0.5,1
acceptable7,YS2008-ASTHMA-intentional,YS2008,intentional,guilty,harm,0.5,1
acceptable7,YS2008-ASTHMA-neutral,YS2008,neutral,innocent,no_harm,0.5,1
acceptable7,YS2008-BAR-accidental,YS2008,accidental,innocent,harm,0.5,1
acceptable7,YS2008-BAR-attempted,YS2008,attempted,guilty,no_harm,0.5,1
acceptable7,YS2008-BAR-intentional,YS2008,intentional,guilty,harm,0.5,1
acceptable7,YS2008-BAR-neutral,YS2008,neutral,innocent,no_harm,0.5,1
acceptable7,YS2008-BIKE-accidental,YS2008,accidental,innocent,harm,0.5,1
acceptable7,YS2008-BIKE-attempted,YS2008,attempted,guilty,no_harm,0.5,1
acceptable7,YS2008-BIKE-intentional,YS2008,intentional,guilty,harm,0.5,1
acceptable7,YS2008-BIKE-neutral,YS2008,neutral,innocent,no_harm,0.5,1
acceptable7,YS2008-BOUNCY BALL-accidental,YS2008,accidental,innocent,harm,0.5,1
acceptable7,YS2008-BOUNCY BALL-attempted,YS2008,attempted,guilty,no_harm,0.5,1
acceptable7,YS2008-BOUNCY BALL-intentional,YS2008,intentional,guilty,harm,0.5,1
acceptable7,YS2008-BOUNCY BALL-neutral,YS2008,neutral,innocent,no_harm,0.5,1
acceptable7,YS2008-BRIDGE-accidental,YS2008,accidental,innocent,harm,0.5,1
acceptable7,YS2008-BRIDGE-attempted,YS2008,attempted,guilty,no_harm,0.5,1
acceptable7,YS2008-BRIDGE-intentional,YS2008,intentional,guilty,harm,0.5,1
acceptable7,YS2008-BRIDGE-neutral,YS2008,neutral,innocent,no_harm,0.5,1
acceptable7,YS2008-CAYO-accidental,YS2008,accidental,innocent,harm,0.5,1
acceptable7,YS2008-CAYO-attempted,YS2008,attempted,guilty,no_harm,0.5,1
acceptable7,YS2008-CAYO-intentional,YS2008,intentional,guilty,harm,0.5,1
acceptable7,YS2008-CAYO-neutral,YS2008,neutral,innocent,no_harm,0.5,1
acceptable7,YS2008-CHAIRLIFT-accidental,YS2008,accidental,innocent,harm,0.5,1
acceptable7,YS2008-CHAIRLIFT-attempted,YS2008,attempted,guilty,no_harm,0.5,1
acceptable7,YS2008-CHAIRLIFT-intentional,YS2008,intentional,guilty,harm,0.5,1
acceptable7,YS2008-CHAIRLIFT-neutral,YS2008,neutral,innocent,no_harm,0.5,1
acceptable7,YS2008-COFFEE-accidental,YS2008,accidental,innocent,harm,0.5,1
acceptable7,YS2008-COFFEE-attempted,YS2008,attempted,guilty,no_harm,0.5,1
acceptable7,YS2008-COFFEE-intentional,YS2008,intentional,guilty,harm,0.5,1
acceptable7,YS2008-COFFEE-neutral,YS2008,neutral,innocent,no_harm,0.5,1
acceptable7,YS2008-CPR-accidental,YS2008,accidental,innocent,harm,0.5,1
acceptable7,YS2008-CPR-attempted,YS2008,attempted,guilty,no_harm,0.5,1
acceptable7,YS2008-CPR-intentional,YS2008,intentional,guilty,harm,0.5,1
acceptable7,YS2008-CPR-neutral,YS2008,neutral,innocent,no_harm,0.5,1
acceptable7,YS2008-FRAT-accidental,YS2008,accidental,innocent,harm,0.5,1
acceptable7,YS2008-FRAT-attempted,YS2008,attempted,guilty,no_harm,0.5,1
acceptable7,YS2008-FRAT-intentional,YS2008,intentional,guilty,harm,0.5,1
acceptable7,YS2008-FRAT-neutral,YS2008,neutral,innocent,no_harm,0.5,1
acceptable7,YS2008-FUMIGATION-accidental,YS2008,accidental,innocent,harm,0.5,1
acceptable7,YS2008-FUMIGATION-attempted,YS2008,attempted,guilty,no_harm,0.5,1
acceptable7,YS2008-FUMIGATION-intentional,YS2008,intentional,guilty,harm,0.5,1
acceptable7,YS2008-FUMIGATION-neutral,YS2008,neutral,innocent,no_harm,0.5,1
acceptable7,YS2008-HAM-accidental,YS2008,accidental,innocent,harm,0.5,1
acceptable7,YS2008-HAM-attempted,YS2008,attempted,guilty,no_harm,0.5,1
acceptable7,YS2008-HAM-intentional,YS2008,intentional,guilty,harm,0.5,1
acceptable7,YS2008-HAM-neutral,YS2008,neutral,innocent,no_harm,0.5,1
acceptable7,YS2008-HARNESS-accidental,YS2008,accidental,innocent,harm,0.5,1
acceptable7,YS2008-HARNESS-attempted,YS2008,attempted,guilty,no_harm,0.5,1
acceptable7,YS2008-HARNESS-intentional,YS2008,intentional,guilty,harm,0.5,1
acceptable7,YS2008-HARNESS-neutral,YS2008,neutral,innocent,no_harm,0.5,1
acceptable7,YS2008-HUNT-accidental,YS2008,accidental,innocent,harm,0.5,1
acceptable7,YS2008-HUNT-attempted,YS2008,attempted,guilty,no_harm,0.5,1
acceptable7,YS2008-HUNT-intentional,YS2008,intentional,guilty,harm,0.5,1
acceptable7,YS2008-HUNT-neutral,YS2008,neutral,innocent,no_harm,0.5,1
acceptable7,YS2008-IGLOO-accidental,YS2008,accidental,innocent,harm,0.5,1
acceptable7,YS2008-IGLOO-attempted,YS2008,attempted,guilty,no_harm,0.5,1
acceptable7,YS2008-IGLOO-intentional,YS2008,intentional,guilty,harm,0.5,1
acceptable7,YS2008-IGLOO-neutral,YS2008,neutral,innocent,no_harm,0.5,1
acceptable7,YS2008-IRON-accidental,YS2008,accidental,innocent,harm,0.5,1
acceptable7,YS2008-IRON-attempted,YS2008,attempted,guilty,no_harm,0.5,1
acceptable7,YS2008-IRON-intentional,YS2008,intentional,guilty,harm,0.5,1
acceptable7,YS2008-IRON-neutral,YS2008,neutral,innocent,no_harm,0.5,1
acceptable7,YS2008-JELLYFISH-accidental,YS2008,accidental,innocent,harm,0.5,1
acceptable7,YS2008-JELLYFISH-attempted,YS2008,attempted,guilty,no_harm,0.5,1
acceptable7,YS2008-JELLYFISH-intentional,YS2008,intentional,guilty,harm,0.5,1
acceptable7,YS2008-JELLYFISH-neutral,YS2008,neutral,innocent,no_harm,0.5,1
acceptable7,YS2008-LAB-accidental,YS2008,accidental,innocent,harm,0.5,1
acceptable7,YS2008-LAB-attempted,YS2008,attempted,guilty,no_harm,0.5,1
acceptable7,YS2008-LAB-intentional,YS2008,intentional,guilty,harm,0.5,1
acceptable7,YS2008-LAB-neutral,YS2008,neutral,innocent,no_harm,0.5,1
acceptable7,YS2008-LAPTOP-accidental,YS2008,accidental,innocent,harm,0.5,1
acceptable7,YS2008-LAPTOP-attempted,YS2008,attempted,guilty,no_harm,0.5,1
acceptable7,YS2008-LAPTOP-intentional,YS2008,intentional,guilty,harm,0.5,1
acceptable7,YS2008-LAPTOP-neutral,YS2008,neutral,innocent,no_harm,0.5,1
acceptable7,YS2008-LATEX-accidental,YS2008,accidental,innocent,harm,0.5,1
acceptable7,YS2008-LATEX-attempted,YS2008,attempted,guilty,no_harm,0.5,1
acceptable7,YS2008-LATEX-intentional,YS2008,intentional,guilty,harm,0.5,1
