model,template,sample,story_id,source,condition,intent_label,outcome_label,raw_rating,norm_rating
Qwen/Qwen2.5-7B,human_verbatim,0,YS2008-COFFEE-neutral,YS2008,neutral,innocent,no_harm,1.7051,0.3526
Qwen/Qwen2.5-7B,human_verbatim,0,YS2008-COFFEE-accidental,YS2008,accidental,innocent,harm,2.089,0.5445
Qwen/Qwen2.5-7B,human_verbatim,0,YS2008-COFFEE-attempted,YS2008,attempted,guilty,no_harm,2.0549,0.5275
Qwen/Qwen2.5-7B,human_verbatim,0,YS2008-COFFEE-intentional,YS2008,intentional,guilty,harm,2.0866,0.5433
Qwen/Qwen2.5-7B,human_verbatim,0,YS2008-YS2008_02-neutral,YS2008,neutral,innocent,no_harm,1.6364,0.3182
Qwen/Qwen2.5-7B,human_verbatim,0,YS2008-YS2008_02-accidental,YS2008,accidental,innocent,harm,2.0506,0.5253
Qwen/Qwen2.5-7B,human_verbatim,0,YS2008-YS2008_02-attempted,YS2008,attempted,guilty,no_harm,1.7073,0.3537
Qwen/Qwen2.5-7B,human_verbatim,0,YS2008-YS2008_02-intentional,YS2008,intentional,guilty,harm,2.0371,0.5186
Qwen/Qwen2.5-7B,human_verbatim,0,YS2008-YS2008_03-neutral,YS2008,neutral,innocent,no_harm,1.765,0.3825
Qwen/Qwen2.5-7B,human_verbatim,0,YS2008-YS2008_03-accidental,YS2008,accidental,innocent,harm,2.014,0.507
Qwen/Qwen2.5-7B,human_verbatim,0,YS2008-YS2008_03-attempted,YS2008,attempted,guilty,no_harm,1.8014,0.4007
Qwen/Qwen2.5-7B,human_verbatim,0,YS2008-YS2008_03-intentional,YS2008,intentional,guilty,harm,1.9846,0.4923
Qwen/Qwen2.5-7B,human_verbatim,0,YS2008-YS2008_04-neutral,YS2008,neutral,innocent,no_harm,1.7726,0.3863
Qwen/Qwen2.5-7B,human_verbatim,0,YS2008-YS2008_04-accidental,YS2008,accidental,innocent,harm,1.8268,0.4134
Qwen/Qwen2.5-7B,human_verbatim,0,YS2008-YS2008_04-attempted,YS2008,attempted,guilty,no_harm,1.8635,0.4317
Qwen/Qwen2.5-7B,human_verbatim,0,YS2008-YS2008_04-intentional,YS2008,intentional,guilty,harm,1.8352,0.4176
Qwen/Qwen2.5-7B,human_verbatim,0,YS2008-YS2008_05-neutral,YS2008,neutral,innocent,no_harm,1.6403,0.3202
Qwen/Qwen2.5-7B,human_verbatim,0,YS2008-YS2008_05-accidental,YS2008,accidental,innocent,harm,1.7149,0.3575
Qwen/Qwen2.5-7B,human_verbatim,0,YS2008-YS2008_05-attempted,YS2008,attempted,guilty,no_harm,1.6869,0.3434
Qwen/Qwen2.5-7B,human_verbatim,0,YS2008-YS2008_05-intentional,YS2008,intentional,guilty,harm,1.688,0.344
Qwen/Qwen2.5-7B,human_verbatim,0,YS2008-YS2008_06-neutral,YS2008,neutral,innocent,no_harm,1.8791,0.4396
Qwen/Qwen2.5-7B,human_verbatim,0,YS2008-YS2008_06-accidental,YS2008,accidental,innocent,harm,1.9735,0.4868
Qwen/Qwen2.5-7B,human_verbatim,0,YS2008-YS2008_06-attempted,YS2008,attempted,guilty,no_harm,2.0149,0.5075
Qwen/Qwen2.5-7B,human_verbatim,0,YS2008-YS2008_06-intentional,YS2008,intentional,guilty,harm,1.9596,0.4798
Qwen/Qwen2.5-7B,human_verbatim,0,YS2008-YS2008_07-neutral,YS2008,neutral,innocent,no_harm,1.3993,0.1996
Qwen/Qwen2.5-7B,human_verbatim,0,YS2008-YS2008_07-accidental,YS2008,accidental,innocent,harm,2.0477,0.5239
Qwen/Qwen2.5-7B,human_verbatim,0,YS2008-YS2008_07-attempted,YS2008,attempted,guilty,no_harm,1.759,0.3795
Qwen/Qwen2.5-7B,human_verbatim,0,YS2008-YS2008_07-intentional,YS2008,intentional,guilty,harm,1.9005,0.4502
Qwen/Qwen2.5-7B,human_verbatim,0,YS2008-YS2008_08-neutral,YS2008,neutral,innocent,no_harm,1.6545,0.3273
Qwen/Qwen2.5-7B,human_verbatim,0,YS2008-YS2008_08-accidental,YS2008,accidental,innocent,harm,1.8891,0.4445
Qwen/Qwen2.5-7B,human_verbatim,0,YS2008-YS2008_08-attempted,YS2008,attempted,guilty,no_harm,1.7658,0.3829
Qwen/Qwen2.5-7B,human_verbatim,0,YS2008-YS2008_08-intentional,YS2008,intentional,guilty,harm,2.0144,0.5072
Qwen/Qwen2.5-7B,human_verbatim,0,YS2008-ASTHMA-neutral,YS2008,neutral,innocent,no_harm,1.8254,0.4127
Qwen/Qwen2.5-7B,human_verbatim,0,YS2008-ASTHMA-accidental,YS2008,accidental,innocent,harm,1.9552,0.4776
Qwen/Qwen2.5-7B,human_verbatim,0,YS2008-ASTHMA-attempted,YS2008,attempted,guilty,no_harm,1.7969,0.3985
Qwen/Qwen2.5-7B,human_verbatim,0,YS2008-ASTHMA-intentional,YS2008,intentional,guilty,harm,1.726,0.363
Qwen/Qwen2.5-7B,human_verbatim,0,YS2008-YS2008_10-neutral,YS2008,neutral,innocent,no_harm,1.6431,0.3216
Qwen/Qwen2.5-7B,human_verbatim,0,YS2008-YS2008_10-accidental,YS2008,accidental,innocent,harm,1.8891,0.4445
Qwen/Qwen2.5-7B,human_verbatim,0,YS2008-YS2008_10-attempted,YS2008,attempted,guilty,no_harm,1.7841,0.392
Qwen/Qwen2.5-7B,human_verbatim,0,YS2008-YS2008_10-intentional,YS2008,intentional,guilty,harm,1.849,0.4245
Qwen/Qwen2.5-7B,human_verbatim,0,YS2008-YS2008_11-neutral,YS2008,neutral,innocent,no_harm,1.8086,0.4043
Qwen/Qwen2.5-7B,human_verbatim,0,YS2008-YS2008_11-accidental,YS2008,accidental,innocent,harm,1.9479,0.474
Qwen/Qwen2.5-7B,human_verbatim,0,YS2008-YS2008_11-attempted,YS2008,attempted,guilty,no_harm,1.8535,0.4267
Qwen/Qwen2.5-7B,human_verbatim,0,YS2008-YS2008_11-intentional,YS2008,intentional,guilty,harm,1.911,0.4555
Qwen/Qwen2.5-7B,human_verbatim,0,YS2008-YS2008_12-neutral,YS2008,neutral,innocent,no_harm,1.9432,0.4716
