layer,target,cv_acc,chance
0,intent,0.52,0.5
0,outcome,0.5167816091954023,0.5167785234899329
1,intent,0.7782758620689656,0.5
1,outcome,0.7682758620689654,0.5167785234899329
2,intent,0.7918390804597701,0.5
2,outcome,0.7652873563218391,0.5167785234899329
3,intent,0.7785057471264368,0.5
3,outcome,0.7445977011494253,0.5167785234899329
4,intent,0.8091954022988507,0.5
4,outcome,0.7914942528735632,0.5167785234899329
5,intent,0.9060919540229886,0.5
5,outcome,0.7921839080459769,0.5167785234899329
6,intent,0.9093103448275862,0.5
6,outcome,0.8254022988505746,0.5167785234899329
7,intent,0.8894252873563218,0.5
7,outcome,0.7717241379310344,0.5167785234899329
8,intent,0.9427586206896551,0.5
8,outcome,0.7713793103448274,0.5167785234899329
9,intent,0.912873563218391,0.5
9,outcome,0.8089655172413792,0.5167785234899329
10,intent,0.9428735632183909,0.5
10,outcome,0.8724137931034482,0.5167785234899329
11,intent,0.9259770114942529,0.5
11,outcome,0.8455172413793104,0.5167785234899329
12,intent,0.9222988505747127,0.5
12,outcome,0.8789655172413793,0.5167785234899329
13,intent,0.9358620689655173,0.5
13,outcome,0.9091954022988507,0.5167785234899329
14,intent,0.9290804597701149,0.5
14,outcome,0.8854022988505748,0.5167785234899329
15,intent,0.9698850574712644,0.5
15,outcome,0.8822988505747127,0.5167785234899329
16,intent,0.9664367816091953,0.5
16,outcome,0.8822988505747127,0.5167785234899329
17,intent,0.9665517241379311,0.5
17,outcome,0.9024137931034483,0.5167785234899329
18,intent,0.9632183908045976,0.5
18,outcome,0.9091954022988507,0.5167785234899329
19,intent,0.9529885057471266,0.5
19,outcome,0.9262068965517241,0.5167785234899329
20,intent,0.9597701149425287,0.5
20,outcome,0.9059770114942529,0.5167785234899329
21,intent,0.949655172413793,0.5
21,outcome,0.8824137931034481,0.5167785234899329
22,intent,0.953103448275862,0.5
22,outcome,0.8690804597701149,0.5167785234899329
23,intent,0.953103448275862,0.5
23,outcome,0.8556321839080459,0.5167785234899329
24,intent,0.9429885057471263,0.5
24,outcome,0.8420689655172413,0.5167785234899329
25,intent,0.9296551724137931,0.5
25,outcome,0.8519540229885056,0.5167785234899329
26,intent,0.9259770114942529,0.5
26,outcome,0.8419540229885059,0.5167785234899329
27,intent,0.9162068965517243,0.5
27,outcome,0.8383908045977012,0.5167785234899329
28,intent,0.9028735632183909,0.5
28,outcome,0.8049425287356323,0.5167785234899329
