model,family,study,type,contrast,ci_lo,ci_hi,sig_vs_0,nearest_human_group,degenerate,at_or_below_youngest_band,anchor
HUMAN adult,human,reference,human,+0.666,,,,adult,False,,punish
HUMAN child_8plus,human,reference,human,+0.190,,,,child_8plus,False,,punish
HUMAN child_6_7,human,reference,human,+0.120,,,,child_6_7,False,,punish
HUMAN child_4_5,human,reference,human,+0.090,,,,child_4_5,False,,punish
OLMo-2-1124-7B-Instruct,OLMo,local open-weight,instruct,-0.646,-0.703,-0.587,yes,child_4_5,False,yes,punish
unsloth-gemma-2-9b-it,Gemma,local open-weight,instruct,-0.408,-0.464,-0.353,yes,child_4_5,False,yes,punish
Llama-3-1-Tulu-3-8B,Llama,local open-weight,instruct,-0.401,-0.442,-0.361,yes,child_4_5,False,yes,punish
gpt-4o,GPT,cloud API,instruct,-0.378,-0.437,-0.318,yes,child_4_5,False,yes,punish
Qwen2.5-14B-Instruct,Qwen,local open-weight,instruct,-0.370,-0.409,-0.330,yes,child_4_5,False,yes,punish
gpt-4o-mini,GPT,cloud API,instruct,-0.278,-0.316,-0.238,yes,child_4_5,False,yes,punish
Qwen2.5-3B-Instruct,Qwen,local open-weight,instruct,-0.247,-0.275,-0.220,yes,child_4_5,False,yes,punish
Qwen2.5-7B-Instruct,Qwen,local open-weight,instruct,-0.238,-0.266,-0.210,yes,child_4_5,False,yes,punish
unsloth-Meta-Llama-3-1-8B-Instruct,Llama,local open-weight,instruct,-0.202,-0.232,-0.173,yes,child_4_5,False,yes,punish
Qwen2.5-1-5B-Instruct,Qwen,local open-weight,instruct,-0.167,-0.183,-0.150,yes,child_4_5,False,yes,punish
claude-haiku-4-5,Claude,cloud API,instruct,-0.151,-0.205,-0.095,yes,child_4_5,False,yes,punish
Qwen2.5-14B,Qwen,local open-weight,base,-0.126,-0.139,-0.112,yes,child_4_5,False,yes,punish
gemini-2-5-flash,Gemini,cloud API,instruct,-0.060,-0.144,+0.032,no,child_4_5,False,yes,punish
Qwen2.5-7B,Qwen,local open-weight,base,-0.051,-0.058,-0.044,yes,child_4_5,False,yes,punish
Qwen2.5-0-5B-Instruct,Qwen,local open-weight,instruct,-0.050,-0.061,-0.040,yes,child_4_5,False,yes,punish
Qwen2.5-3B,Qwen,local open-weight,base,-0.048,-0.054,-0.042,yes,child_4_5,False,yes,punish
Qwen2.5-1-5B,Qwen,local open-weight,base,-0.013,-0.018,-0.007,yes,child_4_5,False,yes,punish
claude-sonnet-4-6,Claude,cloud API,instruct,-0.006,-0.093,+0.083,no,child_4_5,False,yes,punish
OLMo-2-1124-7B,OLMo,local open-weight,base,-0.004,-0.010,+0.002,no,child_4_5,False,yes,punish
unsloth-gemma-2-9b,Gemma,local open-weight,base,-0.000,-0.002,+0.001,no,NA,True,no,punish
kimi-k3,Kimi,cloud API,instruct,+0.000,+0.000,+0.000,no,NA,True,no,punish
gemini-2-5-pro,Gemini,cloud API,instruct,-0.000,-0.021,+0.023,no,child_4_5,False,yes,punish
HuggingFaceH4-zephyr-7b-beta,other,local open-weight,instruct,+0.000,+0.000,+0.000,no,NA,True,no,punish
Mistral-7B-Instruct-v0-3,Mistral,local open-weight,instruct,+0.000,+0.000,+0.000,no,NA,True,no,punish
Mistral-7B-v0-3,Mistral,local open-weight,base,+0.000,+0.000,+0.000,no,NA,True,no,punish
Qwen2.5-0-5B,Qwen,local open-weight,base,+0.000,-0.003,+0.004,no,child_4_5,False,yes,punish
unsloth-Meta-Llama-3-1-8B,Llama,local open-weight,base,+0.003,-0.002,+0.007,no,child_4_5,False,yes,punish
claude-opus-4-6,Claude,cloud API,instruct,+0.093,+0.012,+0.174,yes,child_4_5,False,no,punish
