model,template,sample,story_id,source,condition,intent_label,outcome_label,raw_rating,norm_rating
Qwen/Qwen2.5-0.5B,human_verbatim,0,YS2008-COFFEE-neutral,YS2008,neutral,innocent,no_harm,1.4555,0.2278
Qwen/Qwen2.5-0.5B,human_verbatim,0,YS2008-COFFEE-accidental,YS2008,accidental,innocent,harm,1.4925,0.2463
Qwen/Qwen2.5-0.5B,human_verbatim,0,YS2008-COFFEE-attempted,YS2008,attempted,guilty,no_harm,1.4247,0.2123
Qwen/Qwen2.5-0.5B,human_verbatim,0,YS2008-COFFEE-intentional,YS2008,intentional,guilty,harm,1.4351,0.2175
Qwen/Qwen2.5-0.5B,human_verbatim,0,YS2008-LAB-neutral,YS2008,neutral,innocent,no_harm,1.3454,0.1727
Qwen/Qwen2.5-0.5B,human_verbatim,0,YS2008-LAB-accidental,YS2008,accidental,innocent,harm,1.4787,0.2393
Qwen/Qwen2.5-0.5B,human_verbatim,0,YS2008-LAB-attempted,YS2008,attempted,guilty,no_harm,1.3964,0.1982
Qwen/Qwen2.5-0.5B,human_verbatim,0,YS2008-LAB-intentional,YS2008,intentional,guilty,harm,1.4382,0.2191
Qwen/Qwen2.5-0.5B,human_verbatim,0,YS2008-JELLYFISH-neutral,YS2008,neutral,innocent,no_harm,1.3478,0.1739
Qwen/Qwen2.5-0.5B,human_verbatim,0,YS2008-JELLYFISH-accidental,YS2008,accidental,innocent,harm,1.3281,0.164
Qwen/Qwen2.5-0.5B,human_verbatim,0,YS2008-JELLYFISH-attempted,YS2008,attempted,guilty,no_harm,1.3309,0.1655
Qwen/Qwen2.5-0.5B,human_verbatim,0,YS2008-JELLYFISH-intentional,YS2008,intentional,guilty,harm,1.2964,0.1482
Qwen/Qwen2.5-0.5B,human_verbatim,0,YS2008-BRIDGE-neutral,YS2008,neutral,innocent,no_harm,1.4787,0.2393
Qwen/Qwen2.5-0.5B,human_verbatim,0,YS2008-BRIDGE-accidental,YS2008,accidental,innocent,harm,1.5691,0.2845
