template,story_id,source,condition,intent_label,outcome_label,mean_norm_blame,n
acceptable7,YS2008-ALARM-accidental,YS2008,accidental,innocent,harm,0.2,1
acceptable7,YS2008-ALARM-attempted,YS2008,attempted,guilty,no_harm,0.2164,1
acceptable7,YS2008-ALARM-intentional,YS2008,intentional,guilty,harm,0.2059,1
acceptable7,YS2008-ALARM-neutral,YS2008,neutral,innocent,no_harm,0.2008,1
acceptable7,YS2008-ASTHMA-accidental,YS2008,accidental,innocent,harm,0.1702,1
acceptable7,YS2008-ASTHMA-attempted,YS2008,attempted,guilty,no_harm,0.1619,1
acceptable7,YS2008-ASTHMA-intentional,YS2008,intentional,guilty,harm,0.1674,1
acceptable7,YS2008-ASTHMA-neutral,YS2008,neutral,innocent,no_harm,0.1417,1
acceptable7,YS2008-BAR-accidental,YS2008,accidental,innocent,harm,0.2025,1
acceptable7,YS2008-BAR-attempted,YS2008,attempted,guilty,no_harm,0.166,1
acceptable7,YS2008-BAR-intentional,YS2008,intentional,guilty,harm,0.2136,1
acceptable7,YS2008-BAR-neutral,YS2008,neutral,innocent,no_harm,0.1472,1
acceptable7,YS2008-BIKE-accidental,YS2008,accidental,innocent,harm,0.2499,1
acceptable7,YS2008-BIKE-attempted,YS2008,attempted,guilty,no_harm,0.2473,1
acceptable7,YS2008-BIKE-intentional,YS2008,intentional,guilty,harm,0.249,1
acceptable7,YS2008-BIKE-neutral,YS2008,neutral,innocent,no_harm,0.2444,1
acceptable7,YS2008-BOUNCY BALL-accidental,YS2008,accidental,innocent,harm,0.2179,1
acceptable7,YS2008-BOUNCY BALL-attempted,YS2008,attempted,guilty,no_harm,0.2067,1
acceptable7,YS2008-BOUNCY BALL-intentional,YS2008,intentional,guilty,harm,0.2148,1
acceptable7,YS2008-BOUNCY BALL-neutral,YS2008,neutral,innocent,no_harm,0.1931,1
acceptable7,YS2008-BRIDGE-accidental,YS2008,accidental,innocent,harm,0.2168,1
acceptable7,YS2008-BRIDGE-attempted,YS2008,attempted,guilty,no_harm,0.1903,1
acceptable7,YS2008-BRIDGE-intentional,YS2008,intentional,guilty,harm,0.2196,1
acceptable7,YS2008-BRIDGE-neutral,YS2008,neutral,innocent,no_harm,0.1829,1
acceptable7,YS2008-CAYO-accidental,YS2008,accidental,innocent,harm,0.1423,1
acceptable7,YS2008-CAYO-attempted,YS2008,attempted,guilty,no_harm,0.186,1
acceptable7,YS2008-CAYO-intentional,YS2008,intentional,guilty,harm,0.1441,1
acceptable7,YS2008-CAYO-neutral,YS2008,neutral,innocent,no_harm,0.1839,1
acceptable7,YS2008-CHAIRLIFT-accidental,YS2008,accidental,innocent,harm,0.2414,1
acceptable7,YS2008-CHAIRLIFT-attempted,YS2008,attempted,guilty,no_harm,0.1805,1
acceptable7,YS2008-CHAIRLIFT-intentional,YS2008,intentional,guilty,harm,0.2466,1
acceptable7,YS2008-CHAIRLIFT-neutral,YS2008,neutral,innocent,no_harm,0.1649,1
acceptable7,YS2008-COFFEE-accidental,YS2008,accidental,innocent,harm,0.2245,1
acceptable7,YS2008-COFFEE-attempted,YS2008,attempted,guilty,no_harm,0.2128,1
acceptable7,YS2008-COFFEE-intentional,YS2008,intentional,guilty,harm,0.2244,1
acceptable7,YS2008-COFFEE-neutral,YS2008,neutral,innocent,no_harm,0.206,1
acceptable7,YS2008-CPR-accidental,YS2008,accidental,innocent,harm,0.1659,1
acceptable7,YS2008-CPR-attempted,YS2008,attempted,guilty,no_harm,0.1434,1
acceptable7,YS2008-CPR-intentional,YS2008,intentional,guilty,harm,0.182,1
acceptable7,YS2008-CPR-neutral,YS2008,neutral,innocent,no_harm,0.1316,1
acceptable7,YS2008-FRAT-accidental,YS2008,accidental,innocent,harm,0.1664,1
acceptable7,YS2008-FRAT-attempted,YS2008,attempted,guilty,no_harm,0.178,1
acceptable7,YS2008-FRAT-intentional,YS2008,intentional,guilty,harm,0.1663,1
acceptable7,YS2008-FRAT-neutral,YS2008,neutral,innocent,no_harm,0.1645,1
acceptable7,YS2008-FUMIGATION-accidental,YS2008,accidental,innocent,harm,0.1917,1
acceptable7,YS2008-FUMIGATION-attempted,YS2008,attempted,guilty,no_harm,0.2256,1
