layer,target,cv_acc,chance,degenerate
0,intent,0.5034,0.5,False
0,outcome,0.5172,0.5172,False
1,intent,0.569,0.5,False
1,outcome,0.5138,0.5172,False
2,intent,0.5931,0.5,False
2,outcome,0.5448,0.5172,False
3,intent,0.5483,0.5,False
3,outcome,0.5621,0.5172,False
4,intent,0.569,0.5,False
4,outcome,0.5897,0.5172,False
5,intent,0.6241,0.5,False
5,outcome,0.569,0.5172,False
6,intent,0.5724,0.5,False
6,outcome,0.6655,0.5172,False
7,intent,0.5931,0.5,False
7,outcome,0.5724,0.5172,False
8,intent,0.5966,0.5,False
8,outcome,0.5793,0.5172,False
9,intent,0.5793,0.5,False
9,outcome,0.5655,0.5172,False
10,intent,0.6069,0.5,False
10,outcome,0.6103,0.5172,False
11,intent,0.6586,0.5,False
11,outcome,0.6379,0.5172,False
12,intent,0.6724,0.5,False
12,outcome,0.6483,0.5172,False
13,intent,0.631,0.5,False
13,outcome,0.6103,0.5172,False
14,intent,0.6,0.5,False
14,outcome,0.6138,0.5172,False
15,intent,0.6759,0.5,False
15,outcome,0.6897,0.5172,False
16,intent,0.6,0.5,False
16,outcome,0.7,0.5172,False
17,intent,0.6069,0.5,False
17,outcome,0.6345,0.5172,False
18,intent,0.6103,0.5,False
18,outcome,0.6138,0.5172,False
19,intent,0.5966,0.5,False
19,outcome,0.6759,0.5172,False
20,intent,0.5931,0.5,False
20,outcome,0.631,0.5172,False
21,intent,0.6034,0.5,False
21,outcome,0.6034,0.5172,False
22,intent,0.6345,0.5,False
22,outcome,0.5862,0.5172,False
23,intent,0.569,0.5,False
23,outcome,0.6,0.5172,False
24,intent,0.5276,0.5,False
24,outcome,0.6586,0.5172,False
