layer,probe_name,cv_acc,cv_std,chance,n,degenerate
0,intent_noharm,0.5,0.0,0.5,144,True
1,intent_noharm,0.5133,0.0525,0.5,144,False
2,intent_noharm,0.5405,0.0503,0.5,144,False
3,intent_noharm,0.5276,0.0339,0.5,144,False
4,intent_noharm,0.5471,0.0498,0.5,144,False
5,intent_noharm,0.5829,0.094,0.5,144,False
6,intent_noharm,0.6229,0.0965,0.5,144,False
7,intent_noharm,0.609,0.083,0.5,144,False
8,intent_noharm,0.5548,0.0341,0.5,144,False
9,intent_noharm,0.6448,0.0479,0.5,144,False
10,intent_noharm,0.6405,0.0607,0.5,144,False
11,intent_noharm,0.7629,0.0815,0.5,144,False
12,intent_noharm,0.7152,0.0607,0.5,144,False
13,intent_noharm,0.6876,0.0579,0.5,144,False
14,intent_noharm,0.7014,0.047,0.5,144,False
15,intent_noharm,0.729,0.0607,0.5,144,False
16,intent_noharm,0.66,0.0418,0.5,144,False
17,intent_noharm,0.6433,0.0915,0.5,144,False
18,intent_noharm,0.6719,0.0559,0.5,144,False
19,intent_noharm,0.6305,0.0781,0.5,144,False
20,intent_noharm,0.6448,0.0766,0.5,144,False
21,intent_noharm,0.6943,0.0348,0.5,144,False
22,intent_noharm,0.7067,0.0918,0.5,144,False
23,intent_noharm,0.6857,0.0613,0.5,144,False
24,intent_noharm,0.6848,0.0882,0.5,144,False
0,intent_harm,0.5,0.0,0.5,154,False
1,intent_harm,0.5079,0.0725,0.5,154,False
2,intent_harm,0.5262,0.0248,0.5,154,False
3,intent_harm,0.5521,0.0386,0.5,154,False
4,intent_harm,0.5129,0.045,0.5,154,False
5,intent_harm,0.5317,0.0484,0.5,154,False
6,intent_harm,0.5383,0.0481,0.5,154,False
7,intent_harm,0.5458,0.0335,0.5,154,False
8,intent_harm,0.5525,0.0617,0.5,154,False
9,intent_harm,0.565,0.0578,0.5,154,False
10,intent_harm,0.5846,0.05,0.5,154,False
11,intent_harm,0.6433,0.0406,0.5,154,False
12,intent_harm,0.6475,0.0907,0.5,154,False
13,intent_harm,0.6296,0.0349,0.5,154,False
14,intent_harm,0.61,0.0641,0.5,154,False
15,intent_harm,0.61,0.0641,0.5,154,False
16,intent_harm,0.635,0.062,0.5,154,False
17,intent_harm,0.6312,0.0492,0.5,154,False
18,intent_harm,0.6446,0.0697,0.5,154,False
19,intent_harm,0.6238,0.0754,0.5,154,False
20,intent_harm,0.6492,0.0513,0.5,154,False
21,intent_harm,0.6354,0.0486,0.5,154,False
22,intent_harm,0.6367,0.0519,0.5,154,False
23,intent_harm,0.585,0.0606,0.5,154,False
24,intent_harm,0.5846,0.0542,0.5,154,False
0,outcome_innocent,0.5168,0.0149,0.5168,149,True
1,outcome_innocent,0.8124,0.0326,0.5168,149,False
2,outcome_innocent,0.7995,0.0657,0.5168,149,False
3,outcome_innocent,0.7862,0.1081,0.5168,149,False
4,outcome_innocent,0.8198,0.0801,0.5168,149,False
5,outcome_innocent,0.9393,0.0335,0.5168,149,False
6,outcome_innocent,0.9131,0.0496,0.5168,149,False
7,outcome_innocent,0.9331,0.0556,0.5168,149,False
8,outcome_innocent,0.9598,0.0388,0.5168,149,False
9,outcome_innocent,0.98,0.04,0.5168,149,False
10,outcome_innocent,0.9533,0.0653,0.5168,149,False
11,outcome_innocent,0.98,0.04,0.5168,149,False
12,outcome_innocent,0.98,0.04,0.5168,149,False
13,outcome_innocent,0.9664,0.0365,0.5168,149,False
14,outcome_innocent,0.9664,0.0365,0.5168,149,False
15,outcome_innocent,0.9731,0.0389,0.5168,149,False
16,outcome_innocent,0.9731,0.0389,0.5168,149,False
17,outcome_innocent,0.9731,0.0389,0.5168,149,False
18,outcome_innocent,0.9731,0.0389,0.5168,149,False
19,outcome_innocent,0.9731,0.0389,0.5168,149,False
20,outcome_innocent,0.9731,0.0389,0.5168,149,False
21,outcome_innocent,0.9731,0.0389,0.5168,149,False
22,outcome_innocent,0.9731,0.0389,0.5168,149,False
23,outcome_innocent,0.9662,0.0425,0.5168,149,False
24,outcome_innocent,0.9662,0.0425,0.5168,149,False
0,outcome_guilty,0.5168,0.0149,0.5168,149,False
1,outcome_guilty,0.8193,0.0531,0.5168,149,False
2,outcome_guilty,0.7862,0.0739,0.5168,149,False
3,outcome_guilty,0.8195,0.0679,0.5168,149,False
4,outcome_guilty,0.8262,0.0923,0.5168,149,False
5,outcome_guilty,0.906,0.0328,0.5168,149,False
6,outcome_guilty,0.8664,0.0892,0.5168,149,False
7,outcome_guilty,0.8998,0.0418,0.5168,149,False
8,outcome_guilty,0.9598,0.0388,0.5168,149,False
9,outcome_guilty,0.9733,0.0389,0.5168,149,False
10,outcome_guilty,0.9464,0.0618,0.5168,149,False
11,outcome_guilty,0.98,0.04,0.5168,149,False
12,outcome_guilty,0.98,0.04,0.5168,149,False
13,outcome_guilty,0.9733,0.0389,0.5168,149,False
14,outcome_guilty,0.98,0.0267,0.5168,149,False
15,outcome_guilty,0.9933,0.0133,0.5168,149,False
16,outcome_guilty,0.9867,0.0267,0.5168,149,False
17,outcome_guilty,0.98,0.04,0.5168,149,False
18,outcome_guilty,0.98,0.04,0.5168,149,False
19,outcome_guilty,0.98,0.04,0.5168,149,False
20,outcome_guilty,0.98,0.04,0.5168,149,False
21,outcome_guilty,0.98,0.04,0.5168,149,False
22,outcome_guilty,0.96,0.0533,0.5168,149,False
23,outcome_guilty,0.9733,0.0533,0.5168,149,False
24,outcome_guilty,0.9531,0.0498,0.5168,149,False
