model,template,sample,story_id,source,condition,intent_label,outcome_label,raw_rating,norm_rating
Qwen/Qwen2.5-0.5B-Instruct,human_verbatim,0,YS2008-COFFEE-neutral,YS2008,neutral,innocent,no_harm,1.2511,0.1256
Qwen/Qwen2.5-0.5B-Instruct,human_verbatim,0,YS2008-COFFEE-accidental,YS2008,accidental,innocent,harm,1.4687,0.2343
Qwen/Qwen2.5-0.5B-Instruct,human_verbatim,0,YS2008-COFFEE-attempted,YS2008,attempted,guilty,no_harm,1.2841,0.142
Qwen/Qwen2.5-0.5B-Instruct,human_verbatim,0,YS2008-COFFEE-intentional,YS2008,intentional,guilty,harm,1.4215,0.2108
Qwen/Qwen2.5-0.5B-Instruct,human_verbatim,0,YS2008-LAB-neutral,YS2008,neutral,innocent,no_harm,1.279,0.1395
Qwen/Qwen2.5-0.5B-Instruct,human_verbatim,0,YS2008-LAB-accidental,YS2008,accidental,innocent,harm,1.5136,0.2568
Qwen/Qwen2.5-0.5B-Instruct,human_verbatim,0,YS2008-LAB-attempted,YS2008,attempted,guilty,no_harm,1.2811,0.1405
Qwen/Qwen2.5-0.5B-Instruct,human_verbatim,0,YS2008-LAB-intentional,YS2008,intentional,guilty,harm,1.3964,0.1982
Qwen/Qwen2.5-0.5B-Instruct,human_verbatim,0,YS2008-JELLYFISH-neutral,YS2008,neutral,innocent,no_harm,1.564,0.282
Qwen/Qwen2.5-0.5B-Instruct,human_verbatim,0,YS2008-JELLYFISH-accidental,YS2008,accidental,innocent,harm,1.5199,0.26
Qwen/Qwen2.5-0.5B-Instruct,human_verbatim,0,YS2008-JELLYFISH-attempted,YS2008,attempted,guilty,no_harm,1.5323,0.2662
Qwen/Qwen2.5-0.5B-Instruct,human_verbatim,0,YS2008-JELLYFISH-intentional,YS2008,intentional,guilty,harm,1.5611,0.2806
Qwen/Qwen2.5-0.5B-Instruct,human_verbatim,0,YS2008-BRIDGE-neutral,YS2008,neutral,innocent,no_harm,1.4264,0.2132
Qwen/Qwen2.5-0.5B-Instruct,human_verbatim,0,YS2008-BRIDGE-accidental,YS2008,accidental,innocent,harm,1.4177,0.2088
Qwen/Qwen2.5-0.5B-Instruct,human_verbatim,0,YS2008-BRIDGE-attempted,YS2008,attempted,guilty,no_harm,1.3528,0.1764
Qwen/Qwen2.5-0.5B-Instruct,human_verbatim,0,YS2008-BRIDGE-intentional,YS2008,intentional,guilty,harm,1.3821,0.1911
Qwen/Qwen2.5-0.5B-Instruct,human_verbatim,0,YS2008-POOL-neutral,YS2008,neutral,innocent,no_harm,1.1384,0.0692
Qwen/Qwen2.5-0.5B-Instruct,human_verbatim,0,YS2008-POOL-accidental,YS2008,accidental,innocent,harm,1.3592,0.1796
Qwen/Qwen2.5-0.5B-Instruct,human_verbatim,0,YS2008-POOL-attempted,YS2008,attempted,guilty,no_harm,1.2063,0.1032
Qwen/Qwen2.5-0.5B-Instruct,human_verbatim,0,YS2008-POOL-intentional,YS2008,intentional,guilty,harm,1.3929,0.1964
Qwen/Qwen2.5-0.5B-Instruct,human_verbatim,0,YS2008-MUSHROOMS-neutral,YS2008,neutral,innocent,no_harm,1.4717,0.2358
Qwen/Qwen2.5-0.5B-Instruct,human_verbatim,0,YS2008-MUSHROOMS-accidental,YS2008,accidental,innocent,harm,1.3964,0.1982
Qwen/Qwen2.5-0.5B-Instruct,human_verbatim,0,YS2008-MUSHROOMS-attempted,YS2008,attempted,guilty,no_harm,1.4362,0.2181
Qwen/Qwen2.5-0.5B-Instruct,human_verbatim,0,YS2008-MUSHROOMS-intentional,YS2008,intentional,guilty,harm,1.3592,0.1796
Qwen/Qwen2.5-0.5B-Instruct,human_verbatim,0,YS2008-LATEX-neutral,YS2008,neutral,innocent,no_harm,1.1899,0.095
Qwen/Qwen2.5-0.5B-Instruct,human_verbatim,0,YS2008-LATEX-accidental,YS2008,accidental,innocent,harm,1.2737,0.1369
Qwen/Qwen2.5-0.5B-Instruct,human_verbatim,0,YS2008-LATEX-attempted,YS2008,attempted,guilty,no_harm,1.3002,0.1501
Qwen/Qwen2.5-0.5B-Instruct,human_verbatim,0,YS2008-LATEX-intentional,YS2008,intentional,guilty,harm,1.3421,0.1711
Qwen/Qwen2.5-0.5B-Instruct,human_verbatim,0,YS2008-MOTORBOAT-neutral,YS2008,neutral,innocent,no_harm,1.2539,0.1269
Qwen/Qwen2.5-0.5B-Instruct,human_verbatim,0,YS2008-MOTORBOAT-accidental,YS2008,accidental,innocent,harm,1.2929,0.1464
Qwen/Qwen2.5-0.5B-Instruct,human_verbatim,0,YS2008-MOTORBOAT-attempted,YS2008,attempted,guilty,no_harm,1.2636,0.1318
Qwen/Qwen2.5-0.5B-Instruct,human_verbatim,0,YS2008-MOTORBOAT-intentional,YS2008,intentional,guilty,harm,1.2607,0.1303
Qwen/Qwen2.5-0.5B-Instruct,human_verbatim,0,YS2008-ASTHMA-neutral,YS2008,neutral,innocent,no_harm,1.2745,0.1372
Qwen/Qwen2.5-0.5B-Instruct,human_verbatim,0,YS2008-ASTHMA-accidental,YS2008,accidental,innocent,harm,1.3558,0.1779
Qwen/Qwen2.5-0.5B-Instruct,human_verbatim,0,YS2008-ASTHMA-attempted,YS2008,attempted,guilty,no_harm,1.3002,0.1501
Qwen/Qwen2.5-0.5B-Instruct,human_verbatim,0,YS2008-ASTHMA-intentional,YS2008,intentional,guilty,harm,1.2607,0.1303
Qwen/Qwen2.5-0.5B-Instruct,human_verbatim,0,YS2008-VITAMIN-neutral,YS2008,neutral,innocent,no_harm,1.6169,0.3085
Qwen/Qwen2.5-0.5B-Instruct,human_verbatim,0,YS2008-VITAMIN-accidental,YS2008,accidental,innocent,harm,1.8256,0.4128
