model,gemini-2_5-pro
template,human_verbatim

MODEL condition profile (0-1 blame)
neutral,0.375
accidental,0.487
attempted,0.4444
intentional,0.487
model_intent_reliance_4cell,0.31
model_intent_vs_outcome_contrast,-0.0426

PROMPT-INVARIANCE of intent_vs_outcome_contrast (n_templates=3)
contrast_template_mean,0.0033
contrast_template_sd,0.0328
contrast_template_min,-0.0426
contrast_template_max,0.0325
contrast_template_range,0.075
  contrast[human_verbatim],-0.0426
  contrast[para_wrong7],0.0199
  contrast[punish7],0.0325
contrast_sign_stable_across_prompts,NO

vs adult
rmse,0.3983
profile_corr,0.556
intent_reliance_4cell_diff,-0.5465
intent_vs_outcome_contrast_human,0.666
contrast_diff_model_minus_human,-0.7086

vs child_4_5
rmse,0.0729
profile_corr,1.0
intent_vs_outcome_contrast_human,-0.14
contrast_diff_model_minus_human,0.0974

vs child_6_7
rmse,0.0967
profile_corr,-1.0
intent_vs_outcome_contrast_human,0.15
contrast_diff_model_minus_human,-0.1926

vs child_8plus
rmse,0.2554
profile_corr,-1.0
intent_vs_outcome_contrast_human,0.46
contrast_diff_model_minus_human,-0.5026
