template,story_id,source,condition,intent_label,outcome_label,mean_norm_blame,n
acceptable7,YS2008-ALARM-accidental,YS2008,accidental,innocent,harm,0.2641,1
acceptable7,YS2008-ALARM-attempted,YS2008,attempted,guilty,no_harm,0.1863,1
acceptable7,YS2008-ALARM-intentional,YS2008,intentional,guilty,harm,0.2764,1
acceptable7,YS2008-ALARM-neutral,YS2008,neutral,innocent,no_harm,0.177,1
acceptable7,YS2008-ASTHMA-accidental,YS2008,accidental,innocent,harm,0.491,1
acceptable7,YS2008-ASTHMA-attempted,YS2008,attempted,guilty,no_harm,0.258,1
acceptable7,YS2008-ASTHMA-intentional,YS2008,intentional,guilty,harm,0.3798,1
acceptable7,YS2008-ASTHMA-neutral,YS2008,neutral,innocent,no_harm,0.2442,1
acceptable7,YS2008-BAR-accidental,YS2008,accidental,innocent,harm,0.2767,1
acceptable7,YS2008-BAR-attempted,YS2008,attempted,guilty,no_harm,0.2464,1
acceptable7,YS2008-BAR-intentional,YS2008,intentional,guilty,harm,0.2516,1
acceptable7,YS2008-BAR-neutral,YS2008,neutral,innocent,no_harm,0.2289,1
acceptable7,YS2008-BIKE-accidental,YS2008,accidental,innocent,harm,0.3509,1
acceptable7,YS2008-BIKE-attempted,YS2008,attempted,guilty,no_harm,0.2865,1
acceptable7,YS2008-BIKE-intentional,YS2008,intentional,guilty,harm,0.3191,1
acceptable7,YS2008-BIKE-neutral,YS2008,neutral,innocent,no_harm,0.2459,1
acceptable7,YS2008-BOUNCY BALL-accidental,YS2008,accidental,innocent,harm,0.3707,1
acceptable7,YS2008-BOUNCY BALL-attempted,YS2008,attempted,guilty,no_harm,0.2508,1
acceptable7,YS2008-BOUNCY BALL-intentional,YS2008,intentional,guilty,harm,0.3555,1
acceptable7,YS2008-BOUNCY BALL-neutral,YS2008,neutral,innocent,no_harm,0.1527,1
acceptable7,YS2008-BRIDGE-accidental,YS2008,accidental,innocent,harm,0.4319,1
acceptable7,YS2008-BRIDGE-attempted,YS2008,attempted,guilty,no_harm,0.2346,1
acceptable7,YS2008-BRIDGE-intentional,YS2008,intentional,guilty,harm,0.3327,1
acceptable7,YS2008-BRIDGE-neutral,YS2008,neutral,innocent,no_harm,0.2274,1
acceptable7,YS2008-CAYO-accidental,YS2008,accidental,innocent,harm,0.3313,1
acceptable7,YS2008-CAYO-attempted,YS2008,attempted,guilty,no_harm,0.2033,1
acceptable7,YS2008-CAYO-intentional,YS2008,intentional,guilty,harm,0.3478,1
acceptable7,YS2008-CAYO-neutral,YS2008,neutral,innocent,no_harm,0.1865,1
acceptable7,YS2008-CHAIRLIFT-accidental,YS2008,accidental,innocent,harm,0.4504,1
acceptable7,YS2008-CHAIRLIFT-attempted,YS2008,attempted,guilty,no_harm,0.2513,1
acceptable7,YS2008-CHAIRLIFT-intentional,YS2008,intentional,guilty,harm,0.3693,1
acceptable7,YS2008-CHAIRLIFT-neutral,YS2008,neutral,innocent,no_harm,0.1707,1
acceptable7,YS2008-COFFEE-accidental,YS2008,accidental,innocent,harm,0.3617,1
acceptable7,YS2008-COFFEE-attempted,YS2008,attempted,guilty,no_harm,0.3481,1
acceptable7,YS2008-COFFEE-intentional,YS2008,intentional,guilty,harm,0.3478,1
acceptable7,YS2008-COFFEE-neutral,YS2008,neutral,innocent,no_harm,0.2884,1
acceptable7,YS2008-CPR-accidental,YS2008,accidental,innocent,harm,0.2724,1
acceptable7,YS2008-CPR-attempted,YS2008,attempted,guilty,no_harm,0.2233,1
acceptable7,YS2008-CPR-intentional,YS2008,intentional,guilty,harm,0.2822,1
acceptable7,YS2008-CPR-neutral,YS2008,neutral,innocent,no_harm,0.2028,1
acceptable7,YS2008-FRAT-accidental,YS2008,accidental,innocent,harm,0.4551,1
acceptable7,YS2008-FRAT-attempted,YS2008,attempted,guilty,no_harm,0.3239,1
acceptable7,YS2008-FRAT-intentional,YS2008,intentional,guilty,harm,0.498,1
acceptable7,YS2008-FRAT-neutral,YS2008,neutral,innocent,no_harm,0.2609,1
acceptable7,YS2008-FUMIGATION-accidental,YS2008,accidental,innocent,harm,0.3362,1
acceptable7,YS2008-FUMIGATION-attempted,YS2008,attempted,guilty,no_harm,0.2846,1
acceptable7,YS2008-FUMIGATION-intentional,YS2008,intentional,guilty,harm,0.3129,1
acceptable7,YS2008-FUMIGATION-neutral,YS2008,neutral,innocent,no_harm,0.2443,1
acceptable7,YS2008-HAM-accidental,YS2008,accidental,innocent,harm,0.4931,1
acceptable7,YS2008-HAM-attempted,YS2008,attempted,guilty,no_harm,0.31,1
acceptable7,YS2008-HAM-intentional,YS2008,intentional,guilty,harm,0.433,1
acceptable7,YS2008-HAM-neutral,YS2008,neutral,innocent,no_harm,0.33,1
acceptable7,YS2008-HARNESS-accidental,YS2008,accidental,innocent,harm,0.4549,1
acceptable7,YS2008-HARNESS-attempted,YS2008,attempted,guilty,no_harm,0.2066,1
acceptable7,YS2008-HARNESS-intentional,YS2008,intentional,guilty,harm,0.3562,1
acceptable7,YS2008-HARNESS-neutral,YS2008,neutral,innocent,no_harm,0.1685,1
acceptable7,YS2008-HUNT-accidental,YS2008,accidental,innocent,harm,0.2847,1
acceptable7,YS2008-HUNT-attempted,YS2008,attempted,guilty,no_harm,0.3021,1
acceptable7,YS2008-HUNT-intentional,YS2008,intentional,guilty,harm,0.3179,1
