layer,target,cv_acc,chance,degenerate
0,intent,0.5207,0.5,False
0,outcome,0.5172,0.5172,False
1,intent,0.5828,0.5,False
1,outcome,0.5483,0.5172,False
2,intent,0.6931,0.5,False
2,outcome,0.631,0.5172,False
3,intent,0.5862,0.5,False
3,outcome,0.6138,0.5172,False
4,intent,0.6448,0.5,False
4,outcome,0.6552,0.5172,False
5,intent,0.6931,0.5,False
5,outcome,0.6241,0.5172,False
6,intent,0.869,0.5,False
6,outcome,0.6793,0.5172,False
7,intent,0.9034,0.5,False
7,outcome,0.7241,0.5172,False
8,intent,0.8828,0.5,False
8,outcome,0.7517,0.5172,False
9,intent,0.9,0.5,False
9,outcome,0.7276,0.5172,False
10,intent,0.9483,0.5,False
10,outcome,0.8069,0.5172,False
11,intent,0.969,0.5,False
11,outcome,0.831,0.5172,False
12,intent,0.9517,0.5,False
12,outcome,0.8586,0.5172,False
13,intent,0.9655,0.5,False
13,outcome,0.8966,0.5172,False
14,intent,0.9655,0.5,False
14,outcome,0.8862,0.5172,False
15,intent,0.9724,0.5,False
15,outcome,0.8862,0.5172,False
16,intent,0.9655,0.5,False
16,outcome,0.8793,0.5172,False
17,intent,0.9655,0.5,False
17,outcome,0.9,0.5172,False
18,intent,0.9552,0.5,False
18,outcome,0.8724,0.5172,False
19,intent,0.9448,0.5,False
19,outcome,0.8966,0.5172,False
20,intent,0.9517,0.5,False
20,outcome,0.8655,0.5172,False
21,intent,0.9379,0.5,False
21,outcome,0.8517,0.5172,False
22,intent,0.9207,0.5,False
22,outcome,0.8448,0.5172,False
23,intent,0.9379,0.5,False
23,outcome,0.831,0.5172,False
24,intent,0.9379,0.5,False
24,outcome,0.8138,0.5172,False
25,intent,0.9414,0.5,False
25,outcome,0.8,0.5172,False
26,intent,0.9276,0.5,False
26,outcome,0.8,0.5172,False
27,intent,0.9345,0.5,False
27,outcome,0.7931,0.5172,False
28,intent,0.9241,0.5,False
28,outcome,0.7931,0.5172,False
29,intent,0.9138,0.5,False
29,outcome,0.7966,0.5172,False
30,intent,0.9034,0.5,False
30,outcome,0.8138,0.5172,False
31,intent,0.8931,0.5,False
31,outcome,0.8069,0.5172,False
32,intent,0.8862,0.5,False
32,outcome,0.7759,0.5172,False
