template,story_id,source,condition,intent_label,outcome_label,mean_norm_blame,n
acceptable7,YS2008-ALARM-accidental,YS2008,accidental,innocent,harm,0.5774,1
acceptable7,YS2008-ALARM-attempted,YS2008,attempted,guilty,no_harm,0.3342,1
acceptable7,YS2008-ALARM-intentional,YS2008,intentional,guilty,harm,0.5062,1
acceptable7,YS2008-ALARM-neutral,YS2008,neutral,innocent,no_harm,0.3214,1
acceptable7,YS2008-ASTHMA-accidental,YS2008,accidental,innocent,harm,0.7246,1
acceptable7,YS2008-ASTHMA-attempted,YS2008,attempted,guilty,no_harm,0.421,1
acceptable7,YS2008-ASTHMA-intentional,YS2008,intentional,guilty,harm,0.5526,1
acceptable7,YS2008-ASTHMA-neutral,YS2008,neutral,innocent,no_harm,0.384,1
acceptable7,YS2008-BAR-accidental,YS2008,accidental,innocent,harm,0.6407,1
acceptable7,YS2008-BAR-attempted,YS2008,attempted,guilty,no_harm,0.353,1
acceptable7,YS2008-BAR-intentional,YS2008,intentional,guilty,harm,0.5039,1
acceptable7,YS2008-BAR-neutral,YS2008,neutral,innocent,no_harm,0.2339,1
acceptable7,YS2008-BIKE-accidental,YS2008,accidental,innocent,harm,0.9612,1
acceptable7,YS2008-BIKE-attempted,YS2008,attempted,guilty,no_harm,0.5511,1
acceptable7,YS2008-BIKE-intentional,YS2008,intentional,guilty,harm,0.9974,1
acceptable7,YS2008-BIKE-neutral,YS2008,neutral,innocent,no_harm,0.3088,1
acceptable7,YS2008-BOUNCY BALL-accidental,YS2008,accidental,innocent,harm,0.8773,1
acceptable7,YS2008-BOUNCY BALL-attempted,YS2008,attempted,guilty,no_harm,0.3466,1
acceptable7,YS2008-BOUNCY BALL-intentional,YS2008,intentional,guilty,harm,0.8709,1
acceptable7,YS2008-BOUNCY BALL-neutral,YS2008,neutral,innocent,no_harm,0.273,1
acceptable7,YS2008-BRIDGE-accidental,YS2008,accidental,innocent,harm,0.6717,1
acceptable7,YS2008-BRIDGE-attempted,YS2008,attempted,guilty,no_harm,0.2831,1
acceptable7,YS2008-BRIDGE-intentional,YS2008,intentional,guilty,harm,0.7256,1
acceptable7,YS2008-BRIDGE-neutral,YS2008,neutral,innocent,no_harm,0.2089,1
acceptable7,YS2008-CAYO-accidental,YS2008,accidental,innocent,harm,0.7,1
acceptable7,YS2008-CAYO-attempted,YS2008,attempted,guilty,no_harm,0.547,1
acceptable7,YS2008-CAYO-intentional,YS2008,intentional,guilty,harm,0.9279,1
acceptable7,YS2008-CAYO-neutral,YS2008,neutral,innocent,no_harm,0.3649,1
acceptable7,YS2008-CHAIRLIFT-accidental,YS2008,accidental,innocent,harm,0.9577,1
acceptable7,YS2008-CHAIRLIFT-attempted,YS2008,attempted,guilty,no_harm,0.5769,1
acceptable7,YS2008-CHAIRLIFT-intentional,YS2008,intentional,guilty,harm,0.9845,1
acceptable7,YS2008-CHAIRLIFT-neutral,YS2008,neutral,innocent,no_harm,0.2575,1
acceptable7,YS2008-COFFEE-accidental,YS2008,accidental,innocent,harm,0.9999,1
acceptable7,YS2008-COFFEE-attempted,YS2008,attempted,guilty,no_harm,0.6073,1
acceptable7,YS2008-COFFEE-intentional,YS2008,intentional,guilty,harm,0.9999,1
acceptable7,YS2008-COFFEE-neutral,YS2008,neutral,innocent,no_harm,0.389,1
