model,template,sample,story_id,source,condition,intent_label,outcome_label,raw_rating,norm_rating
mistralai/Mistral-7B-Instruct-v0.3,human_verbatim,0,YS2008-COFFEE-neutral,YS2008,neutral,innocent,no_harm,1.7606,0.3803
mistralai/Mistral-7B-Instruct-v0.3,human_verbatim,0,YS2008-COFFEE-accidental,YS2008,accidental,innocent,harm,2.9872,0.9936
mistralai/Mistral-7B-Instruct-v0.3,human_verbatim,0,YS2008-COFFEE-attempted,YS2008,attempted,guilty,no_harm,1.6678,0.3339
mistralai/Mistral-7B-Instruct-v0.3,human_verbatim,0,YS2008-COFFEE-intentional,YS2008,intentional,guilty,harm,2.9855,0.9927
mistralai/Mistral-7B-Instruct-v0.3,human_verbatim,0,YS2008-LAB-neutral,YS2008,neutral,innocent,no_harm,1.3515,0.1758
mistralai/Mistral-7B-Instruct-v0.3,human_verbatim,0,YS2008-LAB-accidental,YS2008,accidental,innocent,harm,2.9945,0.9972
mistralai/Mistral-7B-Instruct-v0.3,human_verbatim,0,YS2008-LAB-attempted,YS2008,attempted,guilty,no_harm,1.4753,0.2377
mistralai/Mistral-7B-Instruct-v0.3,human_verbatim,0,YS2008-LAB-intentional,YS2008,intentional,guilty,harm,2.9889,0.9945
mistralai/Mistral-7B-Instruct-v0.3,human_verbatim,0,YS2008-JELLYFISH-neutral,YS2008,neutral,innocent,no_harm,1.9775,0.4887
mistralai/Mistral-7B-Instruct-v0.3,human_verbatim,0,YS2008-JELLYFISH-accidental,YS2008,accidental,innocent,harm,2.9746,0.9873
mistralai/Mistral-7B-Instruct-v0.3,human_verbatim,0,YS2008-JELLYFISH-attempted,YS2008,attempted,guilty,no_harm,2.0459,0.523
mistralai/Mistral-7B-Instruct-v0.3,human_verbatim,0,YS2008-JELLYFISH-intentional,YS2008,intentional,guilty,harm,2.9295,0.9647
mistralai/Mistral-7B-Instruct-v0.3,human_verbatim,0,YS2008-BRIDGE-neutral,YS2008,neutral,innocent,no_harm,1.8919,0.446
mistralai/Mistral-7B-Instruct-v0.3,human_verbatim,0,YS2008-BRIDGE-accidental,YS2008,accidental,innocent,harm,2.9562,0.9781
mistralai/Mistral-7B-Instruct-v0.3,human_verbatim,0,YS2008-BRIDGE-attempted,YS2008,attempted,guilty,no_harm,1.4824,0.2412
mistralai/Mistral-7B-Instruct-v0.3,human_verbatim,0,YS2008-BRIDGE-intentional,YS2008,intentional,guilty,harm,2.7012,0.8506
mistralai/Mistral-7B-Instruct-v0.3,human_verbatim,0,YS2008-POOL-neutral,YS2008,neutral,innocent,no_harm,1.8624,0.4312
mistralai/Mistral-7B-Instruct-v0.3,human_verbatim,0,YS2008-POOL-accidental,YS2008,accidental,innocent,harm,2.9568,0.9784
mistralai/Mistral-7B-Instruct-v0.3,human_verbatim,0,YS2008-POOL-attempted,YS2008,attempted,guilty,no_harm,2.1585,0.5793
mistralai/Mistral-7B-Instruct-v0.3,human_verbatim,0,YS2008-POOL-intentional,YS2008,intentional,guilty,harm,2.5817,0.7909
mistralai/Mistral-7B-Instruct-v0.3,human_verbatim,0,YS2008-MUSHROOMS-neutral,YS2008,neutral,innocent,no_harm,1.631,0.3155
mistralai/Mistral-7B-Instruct-v0.3,human_verbatim,0,YS2008-MUSHROOMS-accidental,YS2008,accidental,innocent,harm,2.9575,0.9788
mistralai/Mistral-7B-Instruct-v0.3,human_verbatim,0,YS2008-MUSHROOMS-attempted,YS2008,attempted,guilty,no_harm,2.0138,0.5069
mistralai/Mistral-7B-Instruct-v0.3,human_verbatim,0,YS2008-MUSHROOMS-intentional,YS2008,intentional,guilty,harm,2.9759,0.9879
mistralai/Mistral-7B-Instruct-v0.3,human_verbatim,0,YS2008-LATEX-neutral,YS2008,neutral,innocent,no_harm,1.0659,0.033
mistralai/Mistral-7B-Instruct-v0.3,human_verbatim,0,YS2008-LATEX-accidental,YS2008,accidental,innocent,harm,2.965,0.9825
mistralai/Mistral-7B-Instruct-v0.3,human_verbatim,0,YS2008-LATEX-attempted,YS2008,attempted,guilty,no_harm,2.0964,0.5482
mistralai/Mistral-7B-Instruct-v0.3,human_verbatim,0,YS2008-LATEX-intentional,YS2008,intentional,guilty,harm,2.9802,0.9901
mistralai/Mistral-7B-Instruct-v0.3,human_verbatim,0,YS2008-MOTORBOAT-neutral,YS2008,neutral,innocent,no_harm,1.3697,0.1849
mistralai/Mistral-7B-Instruct-v0.3,human_verbatim,0,YS2008-MOTORBOAT-accidental,YS2008,accidental,innocent,harm,2.994,0.997
mistralai/Mistral-7B-Instruct-v0.3,human_verbatim,0,YS2008-MOTORBOAT-attempted,YS2008,attempted,guilty,no_harm,1.9125,0.4563
mistralai/Mistral-7B-Instruct-v0.3,human_verbatim,0,YS2008-MOTORBOAT-intentional,YS2008,intentional,guilty,harm,2.9938,0.9969
mistralai/Mistral-7B-Instruct-v0.3,human_verbatim,0,YS2008-ASTHMA-neutral,YS2008,neutral,innocent,no_harm,1.808,0.404
mistralai/Mistral-7B-Instruct-v0.3,human_verbatim,0,YS2008-ASTHMA-accidental,YS2008,accidental,innocent,harm,2.9866,0.9933
mistralai/Mistral-7B-Instruct-v0.3,human_verbatim,0,YS2008-ASTHMA-attempted,YS2008,attempted,guilty,no_harm,1.9268,0.4634
mistralai/Mistral-7B-Instruct-v0.3,human_verbatim,0,YS2008-ASTHMA-intentional,YS2008,intentional,guilty,harm,2.976,0.988
mistralai/Mistral-7B-Instruct-v0.3,human_verbatim,0,YS2008-VITAMIN-neutral,YS2008,neutral,innocent,no_harm,1.7362,0.3681
mistralai/Mistral-7B-Instruct-v0.3,human_verbatim,0,YS2008-VITAMIN-accidental,YS2008,accidental,innocent,harm,2.9667,0.9833
mistralai/Mistral-7B-Instruct-v0.3,human_verbatim,0,YS2008-VITAMIN-attempted,YS2008,attempted,guilty,no_harm,1.9507,0.4754
mistralai/Mistral-7B-Instruct-v0.3,human_verbatim,0,YS2008-VITAMIN-intentional,YS2008,intentional,guilty,harm,2.9881,0.994
mistralai/Mistral-7B-Instruct-v0.3,human_verbatim,0,YS2008-SESAME-neutral,YS2008,neutral,innocent,no_harm,1.1012,0.0506
mistralai/Mistral-7B-Instruct-v0.3,human_verbatim,0,YS2008-SESAME-accidental,YS2008,accidental,innocent,harm,2.9881,0.9941
mistralai/Mistral-7B-Instruct-v0.3,human_verbatim,0,YS2008-SESAME-attempted,YS2008,attempted,guilty,no_harm,1.8888,0.4444
mistralai/Mistral-7B-Instruct-v0.3,human_verbatim,0,YS2008-SESAME-intentional,YS2008,intentional,guilty,harm,2.9859,0.9929
mistralai/Mistral-7B-Instruct-v0.3,human_verbatim,0,YS2008-BIKE-neutral,YS2008,neutral,innocent,no_harm,2.0383,0.5192
mistralai/Mistral-7B-Instruct-v0.3,human_verbatim,0,YS2008-BIKE-accidental,YS2008,accidental,innocent,harm,2.9901,0.995
mistralai/Mistral-7B-Instruct-v0.3,human_verbatim,0,YS2008-BIKE-attempted,YS2008,attempted,guilty,no_harm,2.0334,0.5167
mistralai/Mistral-7B-Instruct-v0.3,human_verbatim,0,YS2008-BIKE-intentional,YS2008,intentional,guilty,harm,2.9928,0.9964
mistralai/Mistral-7B-Instruct-v0.3,human_verbatim,0,YS2008-IRON-neutral,YS2008,neutral,innocent,no_harm,1.923,0.4615
mistralai/Mistral-7B-Instruct-v0.3,human_verbatim,0,YS2008-IRON-accidental,YS2008,accidental,innocent,harm,2.9888,0.9944
