layer,target,cv_acc,chance
0,intent,0.503448275862069,0.5
0,outcome,0.6039080459770115,0.5167785234899329
1,intent,0.6608045977011494,0.5
1,outcome,0.8557471264367816,0.5167785234899329
2,intent,0.6444827586206896,0.5
2,outcome,0.9660919540229885,0.5167785234899329
3,intent,0.6411494252873563,0.5
3,outcome,0.9833333333333334,0.5167785234899329
4,intent,0.6545977011494253,0.5
4,outcome,0.99,0.5167785234899329
5,intent,0.6777011494252874,0.5
5,outcome,0.9833333333333334,0.5167785234899329
6,intent,0.6608045977011494,0.5
6,outcome,0.99,0.5167785234899329
7,intent,0.6879310344827586,0.5
7,outcome,0.9933333333333334,0.5167785234899329
8,intent,0.6747126436781609,0.5
8,outcome,0.9866666666666667,0.5167785234899329
9,intent,0.6947126436781609,0.5
9,outcome,0.99,0.5167785234899329
10,intent,0.7114942528735633,0.5
10,outcome,0.99,0.5167785234899329
11,intent,0.7248275862068965,0.5
11,outcome,1.0,0.5167785234899329
12,intent,0.7211494252873564,0.5
12,outcome,0.9966666666666667,0.5167785234899329
13,intent,0.7514942528735632,0.5
13,outcome,1.0,0.5167785234899329
14,intent,0.7550574712643678,0.5
14,outcome,1.0,0.5167785234899329
15,intent,0.7417241379310345,0.5
15,outcome,1.0,0.5167785234899329
16,intent,0.7818390804597702,0.5
16,outcome,1.0,0.5167785234899329
17,intent,0.8019540229885058,0.5
17,outcome,1.0,0.5167785234899329
18,intent,0.7751724137931035,0.5
18,outcome,0.9966666666666667,0.5167785234899329
19,intent,0.7382758620689656,0.5
19,outcome,1.0,0.5167785234899329
20,intent,0.7381609195402299,0.5
20,outcome,0.9966666666666667,0.5167785234899329
21,intent,0.7413793103448276,0.5
21,outcome,0.9966666666666667,0.5167785234899329
22,intent,0.7147126436781608,0.5
22,outcome,1.0,0.5167785234899329
23,intent,0.7382758620689656,0.5
23,outcome,1.0,0.5167785234899329
24,intent,0.7447126436781609,0.5
24,outcome,1.0,0.5167785234899329
25,intent,0.7313793103448276,0.5
25,outcome,1.0,0.5167785234899329
26,intent,0.7248275862068966,0.5
26,outcome,1.0,0.5167785234899329
27,intent,0.7417241379310345,0.5
27,outcome,1.0,0.5167785234899329
28,intent,0.7451724137931035,0.5
28,outcome,1.0,0.5167785234899329
29,intent,0.7417241379310345,0.5
29,outcome,1.0,0.5167785234899329
30,intent,0.7249425287356323,0.5
30,outcome,1.0,0.5167785234899329
31,intent,0.7383908045977012,0.5
31,outcome,1.0,0.5167785234899329
32,intent,0.7117241379310345,0.5
32,outcome,1.0,0.5167785234899329
