layer,target,cv_acc,chance
0,intent,0.5067816091954023,0.5
0,outcome,0.5167816091954023,0.5167785234899329
1,intent,0.5635632183908046,0.5
1,outcome,0.8395402298850575,0.5167785234899329
2,intent,0.5729885057471265,0.5
2,outcome,0.8966666666666667,0.5167785234899329
3,intent,0.5803448275862069,0.5
3,outcome,0.9,0.5167785234899329
4,intent,0.5735632183908046,0.5
4,outcome,0.9733333333333334,0.5167785234899329
5,intent,0.600344827586207,0.5
5,outcome,0.9733333333333334,0.5167785234899329
6,intent,0.6273563218390804,0.5
6,outcome,0.9800000000000001,0.5167785234899329
7,intent,0.6406896551724138,0.5
7,outcome,0.9766666666666666,0.5167785234899329
8,intent,0.6270114942528735,0.5
8,outcome,0.9933333333333334,0.5167785234899329
9,intent,0.6103448275862069,0.5
9,outcome,0.99,0.5167785234899329
10,intent,0.6611494252873563,0.5
10,outcome,0.9933333333333334,0.5167785234899329
11,intent,0.6749425287356322,0.5
11,outcome,0.9933333333333334,0.5167785234899329
12,intent,0.7214942528735632,0.5
12,outcome,0.9933333333333334,0.5167785234899329
13,intent,0.7589655172413794,0.5
13,outcome,0.9933333333333334,0.5167785234899329
14,intent,0.8326436781609197,0.5
14,outcome,0.9966666666666667,0.5167785234899329
15,intent,0.8359770114942527,0.5
15,outcome,0.9966666666666667,0.5167785234899329
16,intent,0.8191954022988506,0.5
16,outcome,1.0,0.5167785234899329
17,intent,0.8393103448275863,0.5
17,outcome,1.0,0.5167785234899329
18,intent,0.8226436781609194,0.5
18,outcome,0.9966666666666667,0.5167785234899329
19,intent,0.8558620689655172,0.5
19,outcome,1.0,0.5167785234899329
20,intent,0.8116091954022988,0.5
20,outcome,0.9966666666666667,0.5167785234899329
21,intent,0.7786206896551724,0.5
21,outcome,0.9933333333333334,0.5167785234899329
22,intent,0.7517241379310345,0.5
22,outcome,1.0,0.5167785234899329
23,intent,0.7750574712643677,0.5
23,outcome,0.9933333333333334,0.5167785234899329
24,intent,0.7416091954022989,0.5
24,outcome,0.9933333333333334,0.5167785234899329
25,intent,0.7245977011494253,0.5
25,outcome,0.9933333333333334,0.5167785234899329
26,intent,0.6879310344827585,0.5
26,outcome,0.9933333333333334,0.5167785234899329
27,intent,0.6644827586206896,0.5
27,outcome,0.9933333333333334,0.5167785234899329
28,intent,0.661264367816092,0.5
28,outcome,0.9933333333333334,0.5167785234899329
