layer,target,cv_acc,chance
0,intent,0.52,0.5
0,outcome,0.5167816091954023,0.5167785234899329
1,intent,0.7443678160919539,0.5
1,outcome,0.7580459770114942,0.5167785234899329
2,intent,0.8086206896551724,0.5
2,outcome,0.801609195402299,0.5167785234899329
3,intent,0.8219540229885058,0.5
3,outcome,0.7443678160919539,0.5167785234899329
4,intent,0.812183908045977,0.5
4,outcome,0.8016091954022988,0.5167785234899329
5,intent,0.8186206896551724,0.5
5,outcome,0.8288505747126438,0.5167785234899329
6,intent,0.9427586206896551,0.5
6,outcome,0.8488505747126437,0.5167785234899329
7,intent,0.9460919540229886,0.5
7,outcome,0.8758620689655172,0.5167785234899329
8,intent,0.9460919540229886,0.5
8,outcome,0.8556321839080461,0.5167785234899329
9,intent,0.9460919540229886,0.5
9,outcome,0.8724137931034482,0.5167785234899329
10,intent,0.9529885057471266,0.5
10,outcome,0.8958620689655172,0.5167785234899329
11,intent,0.9697701149425288,0.5
11,outcome,0.8994252873563218,0.5167785234899329
12,intent,0.9766666666666666,0.5
12,outcome,0.9058620689655171,0.5167785234899329
13,intent,0.9766666666666666,0.5
13,outcome,0.939655172413793,0.5167785234899329
14,intent,0.9800000000000001,0.5
14,outcome,0.9193103448275863,0.5167785234899329
15,intent,0.973103448275862,0.5
15,outcome,0.9260919540229885,0.5167785234899329
16,intent,0.9797701149425286,0.5
16,outcome,0.9297701149425288,0.5167785234899329
17,intent,0.9797701149425286,0.5
17,outcome,0.913103448275862,0.5167785234899329
18,intent,0.9764367816091953,0.5
18,outcome,0.9063218390804597,0.5167785234899329
19,intent,0.9764367816091953,0.5
19,outcome,0.8962068965517241,0.5167785234899329
20,intent,0.9696551724137932,0.5
20,outcome,0.8927586206896552,0.5167785234899329
21,intent,0.9663218390804598,0.5
21,outcome,0.8859770114942528,0.5167785234899329
22,intent,0.9663218390804598,0.5
22,outcome,0.8858620689655172,0.5167785234899329
23,intent,0.9663218390804597,0.5
23,outcome,0.8857471264367816,0.5167785234899329
24,intent,0.9697701149425286,0.5
24,outcome,0.8656321839080461,0.5167785234899329
25,intent,0.9697701149425286,0.5
25,outcome,0.8791954022988506,0.5167785234899329
26,intent,0.963103448275862,0.5
26,outcome,0.8757471264367815,0.5167785234899329
27,intent,0.9664367816091953,0.5
27,outcome,0.8857471264367816,0.5167785234899329
28,intent,0.9563218390804596,0.5
28,outcome,0.8790804597701148,0.5167785234899329
29,intent,0.959655172413793,0.5
29,outcome,0.8724137931034482,0.5167785234899329
30,intent,0.9529885057471263,0.5
30,outcome,0.8826436781609196,0.5167785234899329
31,intent,0.9529885057471263,0.5
31,outcome,0.8622988505747127,0.5167785234899329
32,intent,0.9462068965517242,0.5
32,outcome,0.8757471264367815,0.5167785234899329
