model,template,sample,story_id,source,condition,intent_label,outcome_label,raw_rating,norm_rating
Qwen/Qwen2.5-7B-Instruct,human_verbatim,0,YS2008-COFFEE-neutral,YS2008,neutral,innocent,no_harm,2.0293,0.5146
Qwen/Qwen2.5-7B-Instruct,human_verbatim,0,YS2008-COFFEE-accidental,YS2008,accidental,innocent,harm,3.0,1.0
Qwen/Qwen2.5-7B-Instruct,human_verbatim,0,YS2008-COFFEE-attempted,YS2008,attempted,guilty,no_harm,2.9859,0.993
Qwen/Qwen2.5-7B-Instruct,human_verbatim,0,YS2008-COFFEE-intentional,YS2008,intentional,guilty,harm,3.0,1.0
Qwen/Qwen2.5-7B-Instruct,human_verbatim,0,YS2008-LAB-neutral,YS2008,neutral,innocent,no_harm,1.9933,0.4967
Qwen/Qwen2.5-7B-Instruct,human_verbatim,0,YS2008-LAB-accidental,YS2008,accidental,innocent,harm,2.9959,0.998
Qwen/Qwen2.5-7B-Instruct,human_verbatim,0,YS2008-LAB-attempted,YS2008,attempted,guilty,no_harm,2.0065,0.5032
Qwen/Qwen2.5-7B-Instruct,human_verbatim,0,YS2008-LAB-intentional,YS2008,intentional,guilty,harm,2.9948,0.9974
Qwen/Qwen2.5-7B-Instruct,human_verbatim,0,YS2008-JELLYFISH-neutral,YS2008,neutral,innocent,no_harm,1.6797,0.3399
Qwen/Qwen2.5-7B-Instruct,human_verbatim,0,YS2008-JELLYFISH-accidental,YS2008,accidental,innocent,harm,2.9997,0.9998
Qwen/Qwen2.5-7B-Instruct,human_verbatim,0,YS2008-JELLYFISH-attempted,YS2008,attempted,guilty,no_harm,2.1478,0.5739
Qwen/Qwen2.5-7B-Instruct,human_verbatim,0,YS2008-JELLYFISH-intentional,YS2008,intentional,guilty,harm,3.0,1.0
Qwen/Qwen2.5-7B-Instruct,human_verbatim,0,YS2008-BRIDGE-neutral,YS2008,neutral,innocent,no_harm,1.5642,0.2821
Qwen/Qwen2.5-7B-Instruct,human_verbatim,0,YS2008-BRIDGE-accidental,YS2008,accidental,innocent,harm,2.989,0.9945
Qwen/Qwen2.5-7B-Instruct,human_verbatim,0,YS2008-BRIDGE-attempted,YS2008,attempted,guilty,no_harm,2.0758,0.5379
Qwen/Qwen2.5-7B-Instruct,human_verbatim,0,YS2008-BRIDGE-intentional,YS2008,intentional,guilty,harm,2.9859,0.993
Qwen/Qwen2.5-7B-Instruct,human_verbatim,0,YS2008-POOL-neutral,YS2008,neutral,innocent,no_harm,1.9992,0.4996
Qwen/Qwen2.5-7B-Instruct,human_verbatim,0,YS2008-POOL-accidental,YS2008,accidental,innocent,harm,2.9241,0.9621
Qwen/Qwen2.5-7B-Instruct,human_verbatim,0,YS2008-POOL-attempted,YS2008,attempted,guilty,no_harm,2.011,0.5055
Qwen/Qwen2.5-7B-Instruct,human_verbatim,0,YS2008-POOL-intentional,YS2008,intentional,guilty,harm,2.6792,0.8396
Qwen/Qwen2.5-7B-Instruct,human_verbatim,0,YS2008-MUSHROOMS-neutral,YS2008,neutral,innocent,no_harm,1.9528,0.4764
Qwen/Qwen2.5-7B-Instruct,human_verbatim,0,YS2008-MUSHROOMS-accidental,YS2008,accidental,innocent,harm,2.9975,0.9988
Qwen/Qwen2.5-7B-Instruct,human_verbatim,0,YS2008-MUSHROOMS-attempted,YS2008,attempted,guilty,no_harm,2.4378,0.7189
Qwen/Qwen2.5-7B-Instruct,human_verbatim,0,YS2008-MUSHROOMS-intentional,YS2008,intentional,guilty,harm,2.9933,0.9967
Qwen/Qwen2.5-7B-Instruct,human_verbatim,0,YS2008-LATEX-neutral,YS2008,neutral,innocent,no_harm,1.0004,0.0002
Qwen/Qwen2.5-7B-Instruct,human_verbatim,0,YS2008-LATEX-accidental,YS2008,accidental,innocent,harm,2.9859,0.993
Qwen/Qwen2.5-7B-Instruct,human_verbatim,0,YS2008-LATEX-attempted,YS2008,attempted,guilty,no_harm,2.5,0.75
Qwen/Qwen2.5-7B-Instruct,human_verbatim,0,YS2008-LATEX-intentional,YS2008,intentional,guilty,harm,2.9988,0.9994
Qwen/Qwen2.5-7B-Instruct,human_verbatim,0,YS2008-MOTORBOAT-neutral,YS2008,neutral,innocent,no_harm,2.0015,0.5007
Qwen/Qwen2.5-7B-Instruct,human_verbatim,0,YS2008-MOTORBOAT-accidental,YS2008,accidental,innocent,harm,2.9988,0.9994
Qwen/Qwen2.5-7B-Instruct,human_verbatim,0,YS2008-MOTORBOAT-attempted,YS2008,attempted,guilty,no_harm,2.148,0.574
Qwen/Qwen2.5-7B-Instruct,human_verbatim,0,YS2008-MOTORBOAT-intentional,YS2008,intentional,guilty,harm,2.9047,0.9523
Qwen/Qwen2.5-7B-Instruct,human_verbatim,0,YS2008-ASTHMA-neutral,YS2008,neutral,innocent,no_harm,2.023,0.5115
Qwen/Qwen2.5-7B-Instruct,human_verbatim,0,YS2008-ASTHMA-accidental,YS2008,accidental,innocent,harm,2.9859,0.993
Qwen/Qwen2.5-7B-Instruct,human_verbatim,0,YS2008-ASTHMA-attempted,YS2008,attempted,guilty,no_harm,2.023,0.5115
Qwen/Qwen2.5-7B-Instruct,human_verbatim,0,YS2008-ASTHMA-intentional,YS2008,intentional,guilty,harm,2.1824,0.5912
Qwen/Qwen2.5-7B-Instruct,human_verbatim,0,YS2008-VITAMIN-neutral,YS2008,neutral,innocent,no_harm,1.9775,0.4888
Qwen/Qwen2.5-7B-Instruct,human_verbatim,0,YS2008-VITAMIN-accidental,YS2008,accidental,innocent,harm,2.982,0.991
Qwen/Qwen2.5-7B-Instruct,human_verbatim,0,YS2008-VITAMIN-attempted,YS2008,attempted,guilty,no_harm,2.0474,0.5237
Qwen/Qwen2.5-7B-Instruct,human_verbatim,0,YS2008-VITAMIN-intentional,YS2008,intentional,guilty,harm,2.9993,0.9996
Qwen/Qwen2.5-7B-Instruct,human_verbatim,0,YS2008-SESAME-neutral,YS2008,neutral,innocent,no_harm,2.023,0.5115
Qwen/Qwen2.5-7B-Instruct,human_verbatim,0,YS2008-SESAME-accidental,YS2008,accidental,innocent,harm,3.0,1.0
Qwen/Qwen2.5-7B-Instruct,human_verbatim,0,YS2008-SESAME-attempted,YS2008,attempted,guilty,no_harm,2.9627,0.9813
Qwen/Qwen2.5-7B-Instruct,human_verbatim,0,YS2008-SESAME-intentional,YS2008,intentional,guilty,harm,3.0,1.0
