panel,condition,presentation,series,age,proportion,method,source
a_attempted_first,attempted,first,Naughty,4,0.62,calibrated read (~±0.05),Cushman Sheketoff Wharton & Carey 2013 Cognition Fig.3
a_attempted_first,attempted,first,Naughty,5,0.77,calibrated read (~±0.05),Cushman Sheketoff Wharton & Carey 2013 Cognition Fig.3
a_attempted_first,attempted,first,Naughty,6,0.66,calibrated read (~±0.05),Cushman Sheketoff Wharton & Carey 2013 Cognition Fig.3
a_attempted_first,attempted,first,Naughty,7,0.74,calibrated read (~±0.05),Cushman Sheketoff Wharton & Carey 2013 Cognition Fig.3
a_attempted_first,attempted,first,Naughty,8,0.69,calibrated read (~±0.05),Cushman Sheketoff Wharton & Carey 2013 Cognition Fig.3
a_attempted_first,attempted,first,Punish,4,0.65,calibrated read (~±0.05),Cushman Sheketoff Wharton & Carey 2013 Cognition Fig.3
a_attempted_first,attempted,first,Punish,5,0.71,calibrated read (~±0.05),Cushman Sheketoff Wharton & Carey 2013 Cognition Fig.3
a_attempted_first,attempted,first,Punish,6,0.5,calibrated read (~±0.05),Cushman Sheketoff Wharton & Carey 2013 Cognition Fig.3
a_attempted_first,attempted,first,Punish,7,0.57,calibrated read (~±0.05),Cushman Sheketoff Wharton & Carey 2013 Cognition Fig.3
a_attempted_first,attempted,first,Punish,8,0.41,calibrated read (~±0.05),Cushman Sheketoff Wharton & Carey 2013 Cognition Fig.3
b_accidental_first,accidental,first,Naughty,4,0.61,calibrated read (~±0.05),Cushman Sheketoff Wharton & Carey 2013 Cognition Fig.3
b_accidental_first,accidental,first,Naughty,5,0.3,calibrated read (~±0.05),Cushman Sheketoff Wharton & Carey 2013 Cognition Fig.3
b_accidental_first,accidental,first,Naughty,6,0.33,calibrated read (~±0.05),Cushman Sheketoff Wharton & Carey 2013 Cognition Fig.3
b_accidental_first,accidental,first,Naughty,7,0.07,calibrated read (~±0.05),Cushman Sheketoff Wharton & Carey 2013 Cognition Fig.3
b_accidental_first,accidental,first,Naughty,8,0.06,calibrated read (~±0.05),Cushman Sheketoff Wharton & Carey 2013 Cognition Fig.3
b_accidental_first,accidental,first,Punish,4,0.63,calibrated read (~±0.05),Cushman Sheketoff Wharton & Carey 2013 Cognition Fig.3
b_accidental_first,accidental,first,Punish,5,0.54,calibrated read (~±0.05),Cushman Sheketoff Wharton & Carey 2013 Cognition Fig.3
b_accidental_first,accidental,first,Punish,6,0.54,calibrated read (~±0.05),Cushman Sheketoff Wharton & Carey 2013 Cognition Fig.3
b_accidental_first,accidental,first,Punish,7,0.28,calibrated read (~±0.05),Cushman Sheketoff Wharton & Carey 2013 Cognition Fig.3
b_accidental_first,accidental,first,Punish,8,0.21,calibrated read (~±0.05),Cushman Sheketoff Wharton & Carey 2013 Cognition Fig.3
c_attempted_second,attempted,second,Naughty,4,0.36,calibrated read (~±0.05),Cushman Sheketoff Wharton & Carey 2013 Cognition Fig.3
c_attempted_second,attempted,second,Naughty,5,0.55,calibrated read (~±0.05),Cushman Sheketoff Wharton & Carey 2013 Cognition Fig.3
c_attempted_second,attempted,second,Naughty,6,0.68,calibrated read (~±0.05),Cushman Sheketoff Wharton & Carey 2013 Cognition Fig.3
c_attempted_second,attempted,second,Naughty,7,0.87,calibrated read (~±0.05),Cushman Sheketoff Wharton & Carey 2013 Cognition Fig.3
c_attempted_second,attempted,second,Naughty,8,0.95,calibrated read (~±0.05),Cushman Sheketoff Wharton & Carey 2013 Cognition Fig.3
c_attempted_second,attempted,second,Punish,4,0.23,calibrated read (~±0.05),Cushman Sheketoff Wharton & Carey 2013 Cognition Fig.3
c_attempted_second,attempted,second,Punish,5,0.48,calibrated read (~±0.05),Cushman Sheketoff Wharton & Carey 2013 Cognition Fig.3
c_attempted_second,attempted,second,Punish,6,0.52,calibrated read (~±0.05),Cushman Sheketoff Wharton & Carey 2013 Cognition Fig.3
c_attempted_second,attempted,second,Punish,7,0.63,calibrated read (~±0.05),Cushman Sheketoff Wharton & Carey 2013 Cognition Fig.3
c_attempted_second,attempted,second,Punish,8,0.8,calibrated read (~±0.05),Cushman Sheketoff Wharton & Carey 2013 Cognition Fig.3
d_accidental_second,accidental,second,Naughty,4,0.55,calibrated read (~±0.05),Cushman Sheketoff Wharton & Carey 2013 Cognition Fig.3
d_accidental_second,accidental,second,Naughty,5,0.15,calibrated read (~±0.05),Cushman Sheketoff Wharton & Carey 2013 Cognition Fig.3
d_accidental_second,accidental,second,Naughty,6,0.19,calibrated read (~±0.05),Cushman Sheketoff Wharton & Carey 2013 Cognition Fig.3
d_accidental_second,accidental,second,Naughty,7,0.18,calibrated read (~±0.05),Cushman Sheketoff Wharton & Carey 2013 Cognition Fig.3
d_accidental_second,accidental,second,Naughty,8,0.22,calibrated read (~±0.05),Cushman Sheketoff Wharton & Carey 2013 Cognition Fig.3
d_accidental_second,accidental,second,Punish,4,0.5,calibrated read (~±0.05),Cushman Sheketoff Wharton & Carey 2013 Cognition Fig.3
d_accidental_second,accidental,second,Punish,5,0.31,calibrated read (~±0.05),Cushman Sheketoff Wharton & Carey 2013 Cognition Fig.3
d_accidental_second,accidental,second,Punish,6,0.35,calibrated read (~±0.05),Cushman Sheketoff Wharton & Carey 2013 Cognition Fig.3
d_accidental_second,accidental,second,Punish,7,0.27,calibrated read (~±0.05),Cushman Sheketoff Wharton & Carey 2013 Cognition Fig.3
d_accidental_second,accidental,second,Punish,8,0.44,calibrated read (~±0.05),Cushman Sheketoff Wharton & Carey 2013 Cognition Fig.3
