template,story_id,source,condition,intent_label,outcome_label,mean_norm_blame,n
human_verbatim,YS2008-COFFEE-neutral,YS2008,neutral,innocent,no_harm,0.7375,1
human_verbatim,YS2008-COFFEE-accidental,YS2008,accidental,innocent,harm,0.7635,1
human_verbatim,YS2008-COFFEE-attempted,YS2008,attempted,guilty,no_harm,0.7614,1
human_verbatim,YS2008-COFFEE-intentional,YS2008,intentional,guilty,harm,0.7815,1
human_verbatim,YS2008-YS2008_02-neutral,YS2008,neutral,innocent,no_harm,0.7531,1
human_verbatim,YS2008-YS2008_02-accidental,YS2008,accidental,innocent,harm,0.8037,1
human_verbatim,YS2008-YS2008_02-attempted,YS2008,attempted,guilty,no_harm,0.7454,1
human_verbatim,YS2008-YS2008_02-intentional,YS2008,intentional,guilty,harm,0.8088,1
human_verbatim,YS2008-YS2008_03-neutral,YS2008,neutral,innocent,no_harm,0.6629,1
human_verbatim,YS2008-YS2008_03-accidental,YS2008,accidental,innocent,harm,0.7644,1
human_verbatim,YS2008-YS2008_03-attempted,YS2008,attempted,guilty,no_harm,0.6833,1
human_verbatim,YS2008-YS2008_03-intentional,YS2008,intentional,guilty,harm,0.7706,1
human_verbatim,YS2008-YS2008_04-neutral,YS2008,neutral,innocent,no_harm,0.676,1
human_verbatim,YS2008-YS2008_04-accidental,YS2008,accidental,innocent,harm,0.7394,1
human_verbatim,YS2008-YS2008_04-attempted,YS2008,attempted,guilty,no_harm,0.7037,1
human_verbatim,YS2008-YS2008_04-intentional,YS2008,intentional,guilty,harm,0.7441,1
human_verbatim,YS2008-YS2008_05-neutral,YS2008,neutral,innocent,no_harm,0.7406,1
human_verbatim,YS2008-YS2008_05-accidental,YS2008,accidental,innocent,harm,0.7171,1
human_verbatim,YS2008-YS2008_05-attempted,YS2008,attempted,guilty,no_harm,0.7311,1
human_verbatim,YS2008-YS2008_05-intentional,YS2008,intentional,guilty,harm,0.7074,1
human_verbatim,YS2008-YS2008_06-neutral,YS2008,neutral,innocent,no_harm,0.6268,1
human_verbatim,YS2008-YS2008_06-accidental,YS2008,accidental,innocent,harm,0.7426,1
human_verbatim,YS2008-YS2008_06-attempted,YS2008,attempted,guilty,no_harm,0.6434,1
human_verbatim,YS2008-YS2008_06-intentional,YS2008,intentional,guilty,harm,0.7447,1
human_verbatim,YS2008-YS2008_07-neutral,YS2008,neutral,innocent,no_harm,0.6818,1
human_verbatim,YS2008-YS2008_07-accidental,YS2008,accidental,innocent,harm,0.7606,1
human_verbatim,YS2008-YS2008_07-attempted,YS2008,attempted,guilty,no_harm,0.7064,1
human_verbatim,YS2008-YS2008_07-intentional,YS2008,intentional,guilty,harm,0.76,1
human_verbatim,YS2008-YS2008_08-neutral,YS2008,neutral,innocent,no_harm,0.6728,1
human_verbatim,YS2008-YS2008_08-accidental,YS2008,accidental,innocent,harm,0.6928,1
human_verbatim,YS2008-YS2008_08-attempted,YS2008,attempted,guilty,no_harm,0.714,1
human_verbatim,YS2008-YS2008_08-intentional,YS2008,intentional,guilty,harm,0.7077,1
human_verbatim,YS2008-ASTHMA-neutral,YS2008,neutral,innocent,no_harm,0.7574,1
human_verbatim,YS2008-ASTHMA-accidental,YS2008,accidental,innocent,harm,0.7653,1
human_verbatim,YS2008-ASTHMA-attempted,YS2008,attempted,guilty,no_harm,0.7297,1
human_verbatim,YS2008-ASTHMA-intentional,YS2008,intentional,guilty,harm,0.7485,1
human_verbatim,YS2008-YS2008_10-neutral,YS2008,neutral,innocent,no_harm,0.6905,1
human_verbatim,YS2008-YS2008_10-accidental,YS2008,accidental,innocent,harm,0.7738,1
human_verbatim,YS2008-YS2008_10-attempted,YS2008,attempted,guilty,no_harm,0.6651,1
human_verbatim,YS2008-YS2008_10-intentional,YS2008,intentional,guilty,harm,0.7834,1
human_verbatim,YS2008-YS2008_11-neutral,YS2008,neutral,innocent,no_harm,0.7031,1
human_verbatim,YS2008-YS2008_11-accidental,YS2008,accidental,innocent,harm,0.7648,1
human_verbatim,YS2008-YS2008_11-attempted,YS2008,attempted,guilty,no_harm,0.7004,1
