story_id,condition,source,sampled_norm
YS2008-COFFEE-neutral,neutral,YS2008,0.45
YS2008-COFFEE-accidental,accidental,YS2008,0.95
YS2008-COFFEE-attempted,attempted,YS2008,0.3167
YS2008-COFFEE-intentional,intentional,YS2008,0.931
YS2008-YS2008_02-neutral,neutral,YS2008,0.0
YS2008-YS2008_02-accidental,accidental,YS2008,0.3542
YS2008-YS2008_02-attempted,attempted,YS2008,0.2143
YS2008-YS2008_02-intentional,intentional,YS2008,0.3571
YS2008-YS2008_03-neutral,neutral,YS2008,0.2333
YS2008-YS2008_03-accidental,accidental,YS2008,0.24
YS2008-YS2008_03-attempted,attempted,YS2008,0.35
YS2008-YS2008_03-intentional,intentional,YS2008,0.2308
YS2008-YS2008_04-neutral,neutral,YS2008,0.0
YS2008-YS2008_04-accidental,accidental,YS2008,0.375
YS2008-YS2008_04-attempted,attempted,YS2008,0.1333
YS2008-YS2008_04-intentional,intentional,YS2008,0.4483
YS2008-YS2008_05-neutral,neutral,YS2008,0.15
YS2008-YS2008_05-accidental,accidental,YS2008,0.0833
YS2008-YS2008_05-attempted,attempted,YS2008,0.3333
YS2008-YS2008_05-intentional,intentional,YS2008,0.1667
YS2008-YS2008_06-neutral,neutral,YS2008,0.2167
YS2008-YS2008_06-accidental,accidental,YS2008,0.5357
YS2008-YS2008_06-attempted,attempted,YS2008,0.5345
YS2008-YS2008_06-intentional,intentional,YS2008,0.4231
YS2008-YS2008_07-neutral,neutral,YS2008,0.0
YS2008-YS2008_07-accidental,accidental,YS2008,0.1
YS2008-YS2008_07-attempted,attempted,YS2008,0.3
YS2008-YS2008_07-intentional,intentional,YS2008,0.2333
YS2008-YS2008_08-neutral,neutral,YS2008,0.2414
YS2008-YS2008_08-accidental,accidental,YS2008,0.3667
YS2008-YS2008_08-attempted,attempted,YS2008,0.1667
YS2008-YS2008_08-intentional,intentional,YS2008,0.0667
YS2008-ASTHMA-neutral,neutral,YS2008,0.3667
YS2008-ASTHMA-accidental,accidental,YS2008,0.463
YS2008-ASTHMA-attempted,attempted,YS2008,0.45
YS2008-ASTHMA-intentional,intentional,YS2008,0.5536
YS2008-YS2008_10-neutral,neutral,YS2008,0.0667
YS2008-YS2008_10-accidental,accidental,YS2008,0.75
YS2008-YS2008_10-attempted,attempted,YS2008,0.431
YS2008-YS2008_10-intentional,intentional,YS2008,0.2308
YS2008-YS2008_11-neutral,neutral,YS2008,0.2167
YS2008-YS2008_11-accidental,accidental,YS2008,0.45
YS2008-YS2008_11-attempted,attempted,YS2008,0.1333
YS2008-YS2008_11-intentional,intentional,YS2008,0.6
YS2008-YS2008_12-neutral,neutral,YS2008,0.45
YS2008-YS2008_12-accidental,accidental,YS2008,0.125
YS2008-YS2008_12-attempted,attempted,YS2008,0.45
YS2008-YS2008_12-intentional,intentional,YS2008,0.2407
YS2008-YS2008_13-neutral,neutral,YS2008,0.3103
YS2008-YS2008_13-accidental,accidental,YS2008,0.3167
YS2008-YS2008_13-attempted,attempted,YS2008,0.2333
YS2008-YS2008_13-intentional,intentional,YS2008,0.3
YS2008-YS2008_14-neutral,neutral,YS2008,0.431
YS2008-YS2008_14-accidental,accidental,YS2008,0.45
YS2008-YS2008_14-attempted,attempted,YS2008,0.5556
YS2008-YS2008_14-intentional,intentional,YS2008,0.5238
YS2008-YS2008_15-neutral,neutral,YS2008,0.3667
YS2008-YS2008_15-accidental,accidental,YS2008,0.3833
YS2008-YS2008_15-attempted,attempted,YS2008,0.2
YS2008-YS2008_15-intentional,intentional,YS2008,0.5
YS2008-YS2008_16-neutral,neutral,YS2008,0.069
YS2008-YS2008_16-accidental,accidental,YS2008,0.3103
YS2008-YS2008_16-attempted,attempted,YS2008,0.3333
YS2008-YS2008_16-intentional,intentional,YS2008,0.1667
YS2008-YS2008_17-neutral,neutral,YS2008,0.0
YS2008-YS2008_17-accidental,accidental,YS2008,0.3958
YS2008-YS2008_17-attempted,attempted,YS2008,0.3793
YS2008-YS2008_17-intentional,intentional,YS2008,0.5192
YS2008-YS2008_18-neutral,neutral,YS2008,0.2333
YS2008-YS2008_18-accidental,accidental,YS2008,0.6333
YS2008-YS2008_18-attempted,attempted,YS2008,0.2667
YS2008-YS2008_18-intentional,intentional,YS2008,0.5667
YS2008-YS2008_19-neutral,neutral,YS2008,0.0333
YS2008-YS2008_19-accidental,accidental,YS2008,0.4655
YS2008-YS2008_19-attempted,attempted,YS2008,0.3333
YS2008-YS2008_19-intentional,intentional,YS2008,0.6034
YS2008-YS2008_20-neutral,neutral,YS2008,0.0667
YS2008-YS2008_20-accidental,accidental,YS2008,0.2037
YS2008-YS2008_20-attempted,attempted,YS2008,0.2222
YS2008-YS2008_20-intentional,intentional,YS2008,0.2381
YS2008-YS2008_21-neutral,neutral,YS2008,0.3167
YS2008-YS2008_21-accidental,accidental,YS2008,0.25
YS2008-YS2008_21-attempted,attempted,YS2008,0.1207
YS2008-YS2008_21-intentional,intentional,YS2008,0.2414
YS2008-YS2008_22-neutral,neutral,YS2008,0.0
YS2008-YS2008_22-accidental,accidental,YS2008,1.0
YS2008-YS2008_22-attempted,attempted,YS2008,0.3167
YS2008-YS2008_22-intentional,intentional,YS2008,1.0
YS2008-CHAIRLIFT-neutral,neutral,YS2008,0.0
YS2008-CHAIRLIFT-accidental,accidental,YS2008,0.7667
YS2008-CHAIRLIFT-attempted,attempted,YS2008,0.0
YS2008-CHAIRLIFT-intentional,intentional,YS2008,0.6034
YS2008-YS2008_24-neutral,neutral,YS2008,0.4333
YS2008-YS2008_24-accidental,accidental,YS2008,0.9333
YS2008-YS2008_24-attempted,attempted,YS2008,0.3667
YS2008-YS2008_24-intentional,intentional,YS2008,0.95
YS2008-MALARIA POND-neutral,neutral,YS2008,0.0333
YS2008-MALARIA POND-accidental,accidental,YS2008,0.4333
YS2008-MALARIA POND-attempted,attempted,YS2008,0.45
YS2008-MALARIA POND-intentional,intentional,YS2008,0.4074
YS2008-YS2008_26-neutral,neutral,YS2008,0.5517
YS2008-YS2008_26-accidental,accidental,YS2008,0.1833
YS2008-YS2008_26-attempted,attempted,YS2008,0.35
YS2008-YS2008_26-intentional,intentional,YS2008,0.4667
YS2008-SPINACH-neutral,neutral,YS2008,0.0
YS2008-SPINACH-accidental,accidental,YS2008,0.4667
YS2008-SPINACH-attempted,attempted,YS2008,0.1207
YS2008-SPINACH-intentional,intentional,YS2008,0.4667
YS2008-YS2008_28-neutral,neutral,YS2008,0.0
YS2008-YS2008_28-accidental,accidental,YS2008,0.9333
YS2008-YS2008_28-attempted,attempted,YS2008,0.0
YS2008-YS2008_28-intentional,intentional,YS2008,0.3
YS2008-ALARM-neutral,neutral,YS2008,0.2167
