metric,value
intent_reliance_max,0.4972
intent_reliance_min,0.1103
intent_reliance_range,0.3869
iri_diff_human_verbatim__acceptable7,-0.1056
iri_diff_human_verbatim__blame_w1,-0.0392
iri_diff_human_verbatim__blame_w2,-0.3395
iri_diff_human_verbatim__para_blame10,-0.2791
iri_diff_human_verbatim__para_blame4,-0.242
iri_diff_human_verbatim__persona_adult7,-0.3312
iri_diff_human_verbatim__punish_w1,-0.3702
iri_diff_human_verbatim__punish_w2,-0.3233
iri_diff_human_verbatim__wrong_w1,0.0167
iri_diff_human_verbatim__wrong_w2,-0.22
