layer,target,cv_acc,chance
0,intent,0.7313793103448276,0.5
0,outcome,0.885632183908046,0.5167785234899329
1,intent,0.7144827586206897,0.5
1,outcome,0.9094252873563219,0.5167785234899329
2,intent,0.7585057471264368,0.5
2,outcome,0.9227586206896552,0.5167785234899329
3,intent,0.7586206896551724,0.5
3,outcome,0.9394252873563218,0.5167785234899329
4,intent,0.7111494252873565,0.5
4,outcome,0.9362068965517242,0.5167785234899329
5,intent,0.7280459770114943,0.5
5,outcome,0.9460919540229884,0.5167785234899329
6,intent,0.7650574712643678,0.5
6,outcome,0.9462068965517242,0.5167785234899329
7,intent,0.7583908045977011,0.5
7,outcome,0.9595402298850575,0.5167785234899329
8,intent,0.7819540229885058,0.5
8,outcome,0.9696551724137932,0.5167785234899329
9,intent,0.7750574712643677,0.5
9,outcome,0.973103448275862,0.5167785234899329
10,intent,0.7954022988505748,0.5
10,outcome,0.9763218390804598,0.5167785234899329
11,intent,0.8286206896551725,0.5
11,outcome,0.9829885057471264,0.5167785234899329
12,intent,0.8490804597701149,0.5
12,outcome,0.9863218390804598,0.5167785234899329
13,intent,0.8627586206896553,0.5
13,outcome,0.9829885057471264,0.5167785234899329
14,intent,0.8894252873563218,0.5
14,outcome,0.9897701149425288,0.5167785234899329
15,intent,0.9294252873563218,0.5
15,outcome,0.9898850574712643,0.5167785234899329
16,intent,0.9094252873563219,0.5
16,outcome,0.9965517241379309,0.5167785234899329
17,intent,0.9127586206896552,0.5
17,outcome,0.99,0.5167785234899329
18,intent,0.8724137931034482,0.5
18,outcome,0.9831034482758622,0.5167785234899329
19,intent,0.8520689655172415,0.5
19,outcome,0.9796551724137931,0.5167785234899329
20,intent,0.8555172413793104,0.5
20,outcome,0.9697701149425286,0.5167785234899329
21,intent,0.8352873563218391,0.5
21,outcome,0.9628735632183908,0.5167785234899329
22,intent,0.825287356321839,0.5
22,outcome,0.9664367816091953,0.5167785234899329
23,intent,0.8019540229885058,0.5
23,outcome,0.9594252873563219,0.5167785234899329
24,intent,0.8152873563218392,0.5
24,outcome,0.9559770114942528,0.5167785234899329
25,intent,0.7951724137931035,0.5
25,outcome,0.9527586206896552,0.5167785234899329
26,intent,0.7986206896551724,0.5
26,outcome,0.9426436781609194,0.5167785234899329
27,intent,0.7887356321839081,0.5
27,outcome,0.9426436781609194,0.5167785234899329
28,intent,0.8056321839080459,0.5
28,outcome,0.9425287356321839,0.5167785234899329
29,intent,0.7685057471264368,0.5
29,outcome,0.9324137931034482,0.5167785234899329
30,intent,0.7582758620689655,0.5
30,outcome,0.9224137931034482,0.5167785234899329
31,intent,0.7748275862068965,0.5
31,outcome,0.9290804597701149,0.5167785234899329
32,intent,0.7513793103448276,0.5
32,outcome,0.9257471264367816,0.5167785234899329
