group,condition,raw_value,scale_min,scale_max,direction,norm_blame,source,notes
adult,neutral,3.9,1,4,permissible,0.033,Young Cushman Hauser & Saxe 2007 PNAS Exp1 Fig2,"same adult anchor as human_reference.csv; unchanged"
adult,accidental,3.2,1,4,permissible,0.267,Young Cushman Hauser & Saxe 2007 PNAS Exp1 Fig2,"same adult anchor; unchanged"
adult,attempted,1.2,1,4,permissible,0.933,Young Cushman Hauser & Saxe 2007 PNAS Exp1 Fig2,"same adult anchor; unchanged"
adult,intentional,1.1,1,4,permissible,0.967,Young Cushman Hauser & Saxe 2007 PNAS Exp1 Fig2,"same adult anchor; unchanged"
child_4_5,neutral,,0,1,blame,,Cushman Sheketoff Wharton & Carey 2013 Cognition Fig.3 Naughty presented-first,"NOT MEASURED — leave blank"
child_4_5,accidental,0.455,0,1,blame,0.455,Cushman Sheketoff Wharton & Carey 2013 Cognition Fig.3 Naughty presented-first,"mean of ages 4–5 accidental Naughty, presented-first; from cushman_child_bands_PROPOSED.csv; contrast vs attempted = +0.24"
child_4_5,attempted,0.695,0,1,blame,0.695,Cushman Sheketoff Wharton & Carey 2013 Cognition Fig.3 Naughty presented-first,"mean of ages 4–5 attempted Naughty, presented-first"
child_4_5,intentional,,0,1,blame,,Cushman Sheketoff Wharton & Carey 2013 Cognition Fig.3,"NOT MEASURED"
child_6_7,neutral,,0,1,blame,,Cushman Sheketoff Wharton & Carey 2013 Cognition Fig.3,"NOT MEASURED"
child_6_7,accidental,0.200,0,1,blame,0.200,Cushman Sheketoff Wharton & Carey 2013 Cognition Fig.3 Naughty presented-first,"mean of ages 6–7 accidental Naughty, presented-first; contrast = +0.50"
child_6_7,attempted,0.700,0,1,blame,0.700,Cushman Sheketoff Wharton & Carey 2013 Cognition Fig.3 Naughty presented-first,"mean of ages 6–7 attempted Naughty, presented-first"
child_6_7,intentional,,0,1,blame,,Cushman Sheketoff Wharton & Carey 2013 Cognition Fig.3,"NOT MEASURED"
child_8plus,neutral,,0,1,blame,,Cushman Sheketoff Wharton & Carey 2013 Cognition Fig.3,"NOT MEASURED"
child_8plus,accidental,0.060,0,1,blame,0.060,Cushman Sheketoff Wharton & Carey 2013 Cognition Fig.3 Naughty presented-first,"age 8 accidental Naughty, presented-first; contrast = +0.63"
child_8plus,attempted,0.690,0,1,blame,0.690,Cushman Sheketoff Wharton & Carey 2013 Cognition Fig.3 Naughty presented-first,"age 8 attempted Naughty, presented-first"
child_8plus,intentional,,0,1,blame,,Cushman Sheketoff Wharton & Carey 2013 Cognition Fig.3,"NOT MEASURED"
