model,study,n_templates,human_verbatim,para_blame10,para_wrong7,para_blame4,punish7,acceptable7,persona_adult7,contrast_mean,contrast_sd,contrast_range,coef_variation,fraction_sign_agree,verdict
gemini-2-5-flash,cloud API,3,-0.0579,,-0.0347,,-0.088,,,-0.0602,0.0267,0.0532,0.444,1.0,robust
gpt-4o,cloud API,3,-0.4213,,-0.3773,,-0.3357,,,-0.3781,0.0428,0.0856,0.113,1.0,robust
gpt-4o-mini,cloud API,3,-0.3357,,-0.2616,,-0.2361,,,-0.2778,0.0517,0.0995,0.186,1.0,robust
claude-haiku-4-5,cloud API,3,-0.0857,,-0.213,,-0.1551,,,-0.1512,0.0637,0.1273,0.421,1.0,sign-stable but variable
claude-opus-4-6,cloud API,3,0.1435,,0.118,,0.0162,,,0.0926,0.0674,0.1273,0.728,1.0,sign-stable but variable
Qwen2.5-1.5B-Instruct,local open-weight,7,-0.1837,-0.0626,-0.1166,-0.0883,-0.0631,-0.2098,-0.1197,-0.1205,0.0572,0.1471,0.475,1.0,sign-stable but variable
Qwen2.5-14B,local open-weight,7,-0.0697,-0.0914,-0.0978,-0.0228,-0.069,-0.2075,-0.0748,-0.0904,0.0569,0.1847,0.63,1.0,sign-stable but variable
Qwen2.5-3B-Instruct,local open-weight,7,-0.1487,-0.3576,-0.1165,-0.3321,-0.3563,-0.2181,-0.201,-0.2472,0.1009,0.2411,0.408,1.0,sign-stable but variable
Qwen2.5-7B-Instruct,local open-weight,7,-0.438,-0.1807,-0.2683,-0.3331,-0.4154,-0.3834,-0.3187,-0.334,0.0894,0.2573,0.268,1.0,sign-stable but variable
Qwen2.5-14B-Instruct,local open-weight,7,-0.631,-0.3869,-0.3129,-0.3365,-0.362,-0.3615,-0.367,-0.394,0.1072,0.3182,0.272,1.0,sign-stable but variable
Qwen2.5-0.5B,local open-weight,7,0.0018,-0.0028,-0.01,-0.0002,0.0064,0.0179,-0.0147,-0.0002,0.0107,0.0325,45.019,0.571,FRAGILE (sign flip)
OLMo-2-1124-7B,local open-weight,7,0.0078,-0.0254,-0.0283,0.013,-0.0281,-0.0113,-0.0387,-0.0159,0.0197,0.0517,1.243,0.714,FRAGILE (sign flip)
Qwen2.5-1.5B,local open-weight,7,-0.0122,-0.021,0.0189,0.0179,0.0415,-0.0068,0.0097,0.0069,0.0216,0.0625,3.146,0.571,FRAGILE (sign flip)
gemini-2-5-pro,cloud API,3,-0.0417,,0.0208,,0.0208,,,0.0,0.0361,0.0625,inf,0.667,FRAGILE (sign flip)
Llama-3.1-8B,local open-weight,7,-0.042,-0.0079,0.0253,-0.0075,-0.0437,-0.0846,0.0053,-0.0222,0.0369,0.1099,1.666,0.714,FRAGILE (sign flip)
Qwen2.5-0.5B-Instruct,local open-weight,7,-0.1014,-0.001,0.0029,-0.0145,-0.0612,-0.1102,0.0049,-0.0401,0.0503,0.1151,1.255,0.714,FRAGILE (sign flip)
claude-sonnet-4-6,cloud API,3,0.044,,0.0417,,-0.1042,,,-0.0062,0.0849,0.1481,13.759,0.667,FRAGILE (sign flip)
Qwen2.5-3B,local open-weight,7,-0.0379,0.0134,0.043,0.0667,0.069,-0.1538,0.0589,0.0085,0.0809,0.2228,9.568,0.714,FRAGILE (sign flip)
Qwen2.5-7B,local open-weight,7,-0.0381,0.0644,0.0106,0.0578,0.1313,-0.1085,0.0342,0.0217,0.0774,0.2398,3.573,0.714,FRAGILE (sign flip)
Mistral-7B-Instruct-v0-3,local open-weight,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,inf,0.0,degenerate (no signal)
Mistral-7B-v0-3,local open-weight,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,inf,0.0,degenerate (no signal)
