model,template,sample,story_id,source,condition,intent_label,outcome_label,raw_rating,norm_rating
Qwen/Qwen2.5-1.5B,human_verbatim,0,YS2008-COFFEE-neutral,YS2008,neutral,innocent,no_harm,1.525,0.7375
Qwen/Qwen2.5-1.5B,human_verbatim,0,YS2008-COFFEE-accidental,YS2008,accidental,innocent,harm,1.4731,0.7635
Qwen/Qwen2.5-1.5B,human_verbatim,0,YS2008-COFFEE-attempted,YS2008,attempted,guilty,no_harm,1.4773,0.7614
Qwen/Qwen2.5-1.5B,human_verbatim,0,YS2008-COFFEE-intentional,YS2008,intentional,guilty,harm,1.4371,0.7815
Qwen/Qwen2.5-1.5B,human_verbatim,0,YS2008-YS2008_02-neutral,YS2008,neutral,innocent,no_harm,1.4937,0.7531
Qwen/Qwen2.5-1.5B,human_verbatim,0,YS2008-YS2008_02-accidental,YS2008,accidental,innocent,harm,1.3925,0.8037
Qwen/Qwen2.5-1.5B,human_verbatim,0,YS2008-YS2008_02-attempted,YS2008,attempted,guilty,no_harm,1.5092,0.7454
Qwen/Qwen2.5-1.5B,human_verbatim,0,YS2008-YS2008_02-intentional,YS2008,intentional,guilty,harm,1.3824,0.8088
Qwen/Qwen2.5-1.5B,human_verbatim,0,YS2008-YS2008_03-neutral,YS2008,neutral,innocent,no_harm,1.6742,0.6629
Qwen/Qwen2.5-1.5B,human_verbatim,0,YS2008-YS2008_03-accidental,YS2008,accidental,innocent,harm,1.4711,0.7644
Qwen/Qwen2.5-1.5B,human_verbatim,0,YS2008-YS2008_03-attempted,YS2008,attempted,guilty,no_harm,1.6334,0.6833
Qwen/Qwen2.5-1.5B,human_verbatim,0,YS2008-YS2008_03-intentional,YS2008,intentional,guilty,harm,1.4588,0.7706
Qwen/Qwen2.5-1.5B,human_verbatim,0,YS2008-YS2008_04-neutral,YS2008,neutral,innocent,no_harm,1.6481,0.676
Qwen/Qwen2.5-1.5B,human_verbatim,0,YS2008-YS2008_04-accidental,YS2008,accidental,innocent,harm,1.5212,0.7394
Qwen/Qwen2.5-1.5B,human_verbatim,0,YS2008-YS2008_04-attempted,YS2008,attempted,guilty,no_harm,1.5926,0.7037
Qwen/Qwen2.5-1.5B,human_verbatim,0,YS2008-YS2008_04-intentional,YS2008,intentional,guilty,harm,1.5117,0.7441
Qwen/Qwen2.5-1.5B,human_verbatim,0,YS2008-YS2008_05-neutral,YS2008,neutral,innocent,no_harm,1.5187,0.7406
Qwen/Qwen2.5-1.5B,human_verbatim,0,YS2008-YS2008_05-accidental,YS2008,accidental,innocent,harm,1.5659,0.7171
Qwen/Qwen2.5-1.5B,human_verbatim,0,YS2008-YS2008_05-attempted,YS2008,attempted,guilty,no_harm,1.5378,0.7311
Qwen/Qwen2.5-1.5B,human_verbatim,0,YS2008-YS2008_05-intentional,YS2008,intentional,guilty,harm,1.5852,0.7074
Qwen/Qwen2.5-1.5B,human_verbatim,0,YS2008-YS2008_06-neutral,YS2008,neutral,innocent,no_harm,1.7463,0.6268
Qwen/Qwen2.5-1.5B,human_verbatim,0,YS2008-YS2008_06-accidental,YS2008,accidental,innocent,harm,1.5149,0.7426
