layer,target,cv_acc,chance,degenerate
0,intent,0.5,0.5,True
0,outcome,0.5,0.5,True
1,intent,0.5311,0.5,False
1,outcome,0.4994,0.5,False
2,intent,0.5561,0.5,False
2,outcome,0.5206,0.5,False
3,intent,0.5617,0.5,False
3,outcome,0.5044,0.5,False
4,intent,0.5911,0.5,False
4,outcome,0.5311,0.5,False
5,intent,0.5761,0.5,False
5,outcome,0.59,0.5,False
6,intent,0.5339,0.5,False
6,outcome,0.6589,0.5,False
7,intent,0.5322,0.5,False
7,outcome,0.6317,0.5,False
8,intent,0.5211,0.5,False
8,outcome,0.6161,0.5,False
9,intent,0.5689,0.5,False
9,outcome,0.5733,0.5,False
10,intent,0.6017,0.5,False
10,outcome,0.565,0.5,False
11,intent,0.6806,0.5,False
11,outcome,0.6267,0.5,False
12,intent,0.6706,0.5,False
12,outcome,0.68,0.5,False
13,intent,0.69,0.5,False
13,outcome,0.5872,0.5,False
14,intent,0.6478,0.5,False
14,outcome,0.5856,0.5,False
15,intent,0.7044,0.5,False
15,outcome,0.6717,0.5,False
16,intent,0.6561,0.5,False
16,outcome,0.6339,0.5,False
17,intent,0.655,0.5,False
17,outcome,0.6583,0.5,False
18,intent,0.6172,0.5,False
18,outcome,0.5833,0.5,False
19,intent,0.6539,0.5,False
19,outcome,0.6433,0.5,False
20,intent,0.6328,0.5,False
20,outcome,0.6289,0.5,False
21,intent,0.6144,0.5,False
21,outcome,0.6661,0.5,False
22,intent,0.5711,0.5,False
22,outcome,0.6089,0.5,False
23,intent,0.5744,0.5,False
23,outcome,0.6461,0.5,False
24,intent,0.5739,0.5,False
24,outcome,0.6294,0.5,False
