metric,value
intent_reliance_min,0.1045
intent_reliance_max,0.3007
intent_reliance_range,0.1962
itemcorr_human_verbatim__para_blame10,0.3897
itemcorr_human_verbatim__para_wrong7,0.356
itemcorr_human_verbatim__para_blame4,0.3218
itemcorr_human_verbatim__punish7,0.3924
itemcorr_human_verbatim__acceptable7,-0.0147
itemcorr_human_verbatim__persona_adult7,0.3462
itemcorr_para_blame10__para_wrong7,0.8424
itemcorr_para_blame10__para_blame4,0.8033
itemcorr_para_blame10__punish7,0.8608
itemcorr_para_blame10__acceptable7,0.595
itemcorr_para_blame10__persona_adult7,0.8478
itemcorr_para_wrong7__para_blame4,0.8251
itemcorr_para_wrong7__punish7,0.817
itemcorr_para_wrong7__acceptable7,0.6247
itemcorr_para_wrong7__persona_adult7,0.9178
itemcorr_para_blame4__punish7,0.7913
itemcorr_para_blame4__acceptable7,0.4174
itemcorr_para_blame4__persona_adult7,0.7927
itemcorr_punish7__acceptable7,0.5158
itemcorr_punish7__persona_adult7,0.7862
itemcorr_acceptable7__persona_adult7,0.6109
