layer,target,cv_acc,chance
0,intent,0.5067816091954023,0.5
0,outcome,0.5167816091954023,0.5167785234899329
1,intent,0.5135632183908045,0.5
1,outcome,0.805632183908046,0.5167785234899329
2,intent,0.5402298850574712,0.5
2,outcome,0.799655172413793,0.5167785234899329
3,intent,0.546896551724138,0.5
3,outcome,0.7824137931034482,0.5167785234899329
4,intent,0.5331034482758621,0.5
4,outcome,0.8063218390804596,0.5167785234899329
5,intent,0.5567816091954023,0.5
5,outcome,0.9295402298850574,0.5167785234899329
6,intent,0.5233333333333333,0.5
6,outcome,0.8764367816091954,0.5167785234899329
7,intent,0.5670114942528736,0.5
7,outcome,0.9164367816091954,0.5167785234899329
8,intent,0.5502298850574713,0.5
8,outcome,0.9597701149425287,0.5167785234899329
9,intent,0.583793103448276,0.5
9,outcome,0.9666666666666668,0.5167785234899329
10,intent,0.6071264367816093,0.5
10,outcome,0.9464367816091954,0.5167785234899329
11,intent,0.6545977011494253,0.5
11,outcome,0.9800000000000001,0.5167785234899329
12,intent,0.6614942528735631,0.5
12,outcome,0.9800000000000001,0.5167785234899329
13,intent,0.6108045977011495,0.5
13,outcome,0.9733333333333334,0.5167785234899329
14,intent,0.6611494252873563,0.5
14,outcome,0.9800000000000001,0.5167785234899329
15,intent,0.667816091954023,0.5
15,outcome,0.9800000000000001,0.5167785234899329
16,intent,0.6341379310344827,0.5
16,outcome,0.9833333333333332,0.5167785234899329
17,intent,0.6742528735632185,0.5
17,outcome,0.9800000000000001,0.5167785234899329
18,intent,0.6681609195402298,0.5
18,outcome,0.9800000000000001,0.5167785234899329
19,intent,0.6273563218390804,0.5
19,outcome,0.9800000000000001,0.5167785234899329
20,intent,0.6443678160919541,0.5
20,outcome,0.9800000000000001,0.5167785234899329
21,intent,0.7016091954022988,0.5
21,outcome,0.9800000000000001,0.5167785234899329
22,intent,0.6339080459770114,0.5
22,outcome,0.9665517241379311,0.5167785234899329
23,intent,0.6242528735632185,0.5
23,outcome,0.9698850574712644,0.5167785234899329
24,intent,0.5943678160919539,0.5
24,outcome,0.9597701149425287,0.5167785234899329
