layer,target,cv_acc,chance
0,intent,0.52,0.5
0,outcome,0.5167816091954023,0.5167785234899329
1,intent,0.771264367816092,0.5
1,outcome,0.7548275862068965,0.5167785234899329
2,intent,0.815287356321839,0.5
2,outcome,0.7817241379310345,0.5167785234899329
3,intent,0.8524137931034483,0.5
3,outcome,0.7581609195402298,0.5167785234899329
4,intent,0.8050574712643679,0.5
4,outcome,0.8154022988505748,0.5167785234899329
5,intent,0.8251724137931035,0.5
5,outcome,0.8254022988505746,0.5167785234899329
6,intent,0.9394252873563218,0.5
6,outcome,0.8324137931034482,0.5167785234899329
7,intent,0.9394252873563218,0.5
7,outcome,0.835632183908046,0.5167785234899329
8,intent,0.9360919540229885,0.5
8,outcome,0.8491954022988505,0.5167785234899329
9,intent,0.9460919540229886,0.5
9,outcome,0.8624137931034482,0.5167785234899329
10,intent,0.9463218390804597,0.5
10,outcome,0.8826436781609196,0.5167785234899329
11,intent,0.9663218390804598,0.5
11,outcome,0.9095402298850574,0.5167785234899329
12,intent,0.9528735632183908,0.5
12,outcome,0.9093103448275862,0.5167785234899329
13,intent,0.9695402298850574,0.5
13,outcome,0.9262068965517243,0.5167785234899329
14,intent,0.973103448275862,0.5
14,outcome,0.9296551724137931,0.5167785234899329
15,intent,0.9697701149425286,0.5
15,outcome,0.9193103448275863,0.5167785234899329
16,intent,0.963103448275862,0.5
16,outcome,0.9095402298850577,0.5167785234899329
17,intent,0.9697701149425286,0.5
17,outcome,0.8893103448275863,0.5167785234899329
18,intent,0.9595402298850575,0.5
18,outcome,0.8655172413793103,0.5167785234899329
19,intent,0.9662068965517241,0.5
19,outcome,0.8485057471264368,0.5167785234899329
20,intent,0.9595402298850575,0.5
20,outcome,0.8654022988505747,0.5167785234899329
21,intent,0.9664367816091953,0.5
21,outcome,0.8587356321839081,0.5167785234899329
22,intent,0.9664367816091953,0.5
22,outcome,0.8755172413793103,0.5167785234899329
23,intent,0.963103448275862,0.5
23,outcome,0.8754022988505745,0.5167785234899329
24,intent,0.959655172413793,0.5
24,outcome,0.8486206896551725,0.5167785234899329
25,intent,0.9529885057471263,0.5
25,outcome,0.8451724137931034,0.5167785234899329
26,intent,0.9529885057471263,0.5
26,outcome,0.8418390804597701,0.5167785234899329
27,intent,0.9527586206896551,0.5
27,outcome,0.8454022988505747,0.5167785234899329
28,intent,0.9494252873563218,0.5
28,outcome,0.8420689655172413,0.5167785234899329
29,intent,0.9394252873563218,0.5
29,outcome,0.8318390804597702,0.5167785234899329
30,intent,0.9460919540229884,0.5
30,outcome,0.8352873563218391,0.5167785234899329
31,intent,0.9427586206896551,0.5
31,outcome,0.8082758620689656,0.5167785234899329
32,intent,0.9360919540229885,0.5
32,outcome,0.8419540229885059,0.5167785234899329
