layer,target,cv_acc,chance
0,intent,0.5067816091954023,0.5
0,outcome,0.5167816091954023,0.5167785234899329
1,intent,0.7313793103448276,0.5
1,outcome,0.7580459770114942,0.5167785234899329
2,intent,0.7448275862068965,0.5
2,outcome,0.7675862068965518,0.5167785234899329
3,intent,0.741264367816092,0.5
3,outcome,0.7309195402298851,0.5167785234899329
4,intent,0.7545977011494254,0.5
4,outcome,0.7981609195402298,0.5167785234899329
5,intent,0.724367816091954,0.5
5,outcome,0.7713793103448275,0.5167785234899329
6,intent,0.7579310344827588,0.5
6,outcome,0.7681609195402299,0.5167785234899329
7,intent,0.8114942528735632,0.5
7,outcome,0.7843678160919539,0.5167785234899329
8,intent,0.7879310344827586,0.5
8,outcome,0.7681609195402299,0.5167785234899329
9,intent,0.7879310344827586,0.5
9,outcome,0.8020689655172415,0.5167785234899329
10,intent,0.8549425287356321,0.5
10,outcome,0.7987356321839081,0.5167785234899329
11,intent,0.8586206896551725,0.5
11,outcome,0.8224137931034484,0.5167785234899329
12,intent,0.8820689655172413,0.5
12,outcome,0.8119540229885057,0.5167785234899329
13,intent,0.8824137931034484,0.5
13,outcome,0.8389655172413792,0.5167785234899329
14,intent,0.9259770114942529,0.5
14,outcome,0.852183908045977,0.5167785234899329
15,intent,0.9260919540229885,0.5
15,outcome,0.8557471264367816,0.5167785234899329
16,intent,0.9191954022988507,0.5
16,outcome,0.8555172413793104,0.5167785234899329
17,intent,0.902183908045977,0.5
17,outcome,0.8725287356321839,0.5167785234899329
18,intent,0.9054022988505747,0.5
18,outcome,0.8454022988505748,0.5167785234899329
19,intent,0.9055172413793103,0.5
19,outcome,0.8555172413793104,0.5167785234899329
20,intent,0.9122988505747125,0.5
20,outcome,0.8689655172413794,0.5167785234899329
21,intent,0.902183908045977,0.5
21,outcome,0.8421839080459769,0.5167785234899329
22,intent,0.8956321839080459,0.5
22,outcome,0.8286206896551723,0.5167785234899329
23,intent,0.898735632183908,0.5
23,outcome,0.862183908045977,0.5167785234899329
24,intent,0.8954022988505747,0.5
24,outcome,0.8420689655172413,0.5167785234899329
25,intent,0.9055172413793103,0.5
25,outcome,0.8519540229885058,0.5167785234899329
26,intent,0.902183908045977,0.5
26,outcome,0.8419540229885059,0.5167785234899329
27,intent,0.8955172413793104,0.5
27,outcome,0.8657471264367815,0.5167785234899329
28,intent,0.878735632183908,0.5
28,outcome,0.8525287356321838,0.5167785234899329
29,intent,0.8854022988505748,0.5
29,outcome,0.8522988505747126,0.5167785234899329
30,intent,0.892183908045977,0.5
30,outcome,0.8590804597701149,0.5167785234899329
31,intent,0.9020689655172414,0.5
31,outcome,0.8558620689655172,0.5167785234899329
32,intent,0.9020689655172414,0.5
32,outcome,0.8558620689655172,0.5167785234899329
