template,story_id,source,condition,intent_label,outcome_label,mean_norm_blame,n
acceptable7,YS2008-ALARM-accidental,YS2008,accidental,innocent,harm,0.6827,1
acceptable7,YS2008-ALARM-attempted,YS2008,attempted,guilty,no_harm,0.543,1
acceptable7,YS2008-ALARM-intentional,YS2008,intentional,guilty,harm,0.6259,1
acceptable7,YS2008-ALARM-neutral,YS2008,neutral,innocent,no_harm,0.4842,1
acceptable7,YS2008-ASTHMA-accidental,YS2008,accidental,innocent,harm,0.7311,1
acceptable7,YS2008-ASTHMA-attempted,YS2008,attempted,guilty,no_harm,0.4447,1
acceptable7,YS2008-ASTHMA-intentional,YS2008,intentional,guilty,harm,0.6244,1
acceptable7,YS2008-ASTHMA-neutral,YS2008,neutral,innocent,no_harm,0.381,1
acceptable7,YS2008-BOUNCY BALL-accidental,YS2008,accidental,innocent,harm,0.7967,1
acceptable7,YS2008-BOUNCY BALL-attempted,YS2008,attempted,guilty,no_harm,0.3797,1
acceptable7,YS2008-BOUNCY BALL-intentional,YS2008,intentional,guilty,harm,0.7761,1
acceptable7,YS2008-BOUNCY BALL-neutral,YS2008,neutral,innocent,no_harm,0.3504,1
acceptable7,YS2008-CHAIRLIFT-accidental,YS2008,accidental,innocent,harm,0.4772,1
acceptable7,YS2008-CHAIRLIFT-attempted,YS2008,attempted,guilty,no_harm,0.3865,1
acceptable7,YS2008-CHAIRLIFT-intentional,YS2008,intentional,guilty,harm,0.5072,1
acceptable7,YS2008-CHAIRLIFT-neutral,YS2008,neutral,innocent,no_harm,0.383,1
acceptable7,YS2008-COFFEE-accidental,YS2008,accidental,innocent,harm,0.6798,1
acceptable7,YS2008-COFFEE-attempted,YS2008,attempted,guilty,no_harm,0.4723,1
acceptable7,YS2008-COFFEE-intentional,YS2008,intentional,guilty,harm,0.6793,1
acceptable7,YS2008-COFFEE-neutral,YS2008,neutral,innocent,no_harm,0.4411,1
acceptable7,YS2008-CPR-accidental,YS2008,accidental,innocent,harm,0.4176,1
acceptable7,YS2008-CPR-attempted,YS2008,attempted,guilty,no_harm,0.5051,1
acceptable7,YS2008-CPR-intentional,YS2008,intentional,guilty,harm,0.4206,1
acceptable7,YS2008-CPR-neutral,YS2008,neutral,innocent,no_harm,0.4138,1
