template,story_id,source,condition,intent_label,outcome_label,mean_norm_blame,n
acceptable7,YS2008-ALARM-accidental,YS2008,accidental,innocent,harm,0.402,1
acceptable7,YS2008-ALARM-attempted,YS2008,attempted,guilty,no_harm,0.2942,1
acceptable7,YS2008-ALARM-intentional,YS2008,intentional,guilty,harm,0.3538,1
acceptable7,YS2008-ALARM-neutral,YS2008,neutral,innocent,no_harm,0.3039,1
acceptable7,YS2008-ASTHMA-accidental,YS2008,accidental,innocent,harm,0.3183,1
acceptable7,YS2008-ASTHMA-attempted,YS2008,attempted,guilty,no_harm,0.3459,1
acceptable7,YS2008-ASTHMA-intentional,YS2008,intentional,guilty,harm,0.3087,1
acceptable7,YS2008-ASTHMA-neutral,YS2008,neutral,innocent,no_harm,0.3458,1
acceptable7,YS2008-BOUNCY BALL-accidental,YS2008,accidental,innocent,harm,0.4608,1
acceptable7,YS2008-BOUNCY BALL-attempted,YS2008,attempted,guilty,no_harm,0.3368,1
acceptable7,YS2008-BOUNCY BALL-intentional,YS2008,intentional,guilty,harm,0.4896,1
acceptable7,YS2008-BOUNCY BALL-neutral,YS2008,neutral,innocent,no_harm,0.3412,1
acceptable7,YS2008-CHAIRLIFT-accidental,YS2008,accidental,innocent,harm,0.3801,1
acceptable7,YS2008-CHAIRLIFT-attempted,YS2008,attempted,guilty,no_harm,0.2991,1
acceptable7,YS2008-CHAIRLIFT-intentional,YS2008,intentional,guilty,harm,0.4359,1
acceptable7,YS2008-CHAIRLIFT-neutral,YS2008,neutral,innocent,no_harm,0.2962,1
acceptable7,YS2008-COFFEE-accidental,YS2008,accidental,innocent,harm,0.3729,1
acceptable7,YS2008-COFFEE-attempted,YS2008,attempted,guilty,no_harm,0.3506,1
acceptable7,YS2008-COFFEE-intentional,YS2008,intentional,guilty,harm,0.38,1
acceptable7,YS2008-COFFEE-neutral,YS2008,neutral,innocent,no_harm,0.2706,1
acceptable7,YS2008-CPR-accidental,YS2008,accidental,innocent,harm,0.2511,1
acceptable7,YS2008-CPR-attempted,YS2008,attempted,guilty,no_harm,0.2802,1
acceptable7,YS2008-CPR-intentional,YS2008,intentional,guilty,harm,0.2671,1
acceptable7,YS2008-CPR-neutral,YS2008,neutral,innocent,no_harm,0.29,1
acceptable7,YS2008-FUMIGATION-accidental,YS2008,accidental,innocent,harm,0.3747,1
acceptable7,YS2008-FUMIGATION-attempted,YS2008,attempted,guilty,no_harm,0.2871,1
acceptable7,YS2008-FUMIGATION-intentional,YS2008,intentional,guilty,harm,0.3751,1
acceptable7,YS2008-FUMIGATION-neutral,YS2008,neutral,innocent,no_harm,0.2947,1
acceptable7,YS2008-MALARIA POND-accidental,YS2008,accidental,innocent,harm,0.4996,1
acceptable7,YS2008-MALARIA POND-attempted,YS2008,attempted,guilty,no_harm,0.4316,1
acceptable7,YS2008-MALARIA POND-intentional,YS2008,intentional,guilty,harm,0.4169,1
acceptable7,YS2008-MALARIA POND-neutral,YS2008,neutral,innocent,no_harm,0.4833,1
acceptable7,YS2008-RABIES-accidental,YS2008,accidental,innocent,harm,0.2904,1
acceptable7,YS2008-RABIES-attempted,YS2008,attempted,guilty,no_harm,0.3061,1
acceptable7,YS2008-RABIES-intentional,YS2008,intentional,guilty,harm,0.2785,1
acceptable7,YS2008-RABIES-neutral,YS2008,neutral,innocent,no_harm,0.2939,1
acceptable7,YS2008-SEATBELT-accidental,YS2008,accidental,innocent,harm,0.4471,1
