layer,probe_name,cv_acc,cv_std,chance,n,degenerate
0,intent_noharm,0.5,0.0,0.5,144,True
1,intent_noharm,0.5605,0.104,0.5,144,False
2,intent_noharm,0.52,0.0719,0.5,144,False
3,intent_noharm,0.5629,0.0419,0.5,144,False
4,intent_noharm,0.5829,0.0648,0.5,144,False
5,intent_noharm,0.5776,0.0476,0.5,144,False
6,intent_noharm,0.5967,0.0325,0.5,144,False
7,intent_noharm,0.6857,0.0701,0.5,144,False
8,intent_noharm,0.659,0.0586,0.5,144,False
9,intent_noharm,0.6738,0.0712,0.5,144,False
10,intent_noharm,0.7148,0.0707,0.5,144,False
11,intent_noharm,0.7905,0.0586,0.5,144,False
12,intent_noharm,0.7571,0.0736,0.5,144,False
13,intent_noharm,0.8124,0.0411,0.5,144,False
14,intent_noharm,0.8267,0.0763,0.5,144,False
15,intent_noharm,0.8481,0.0534,0.5,144,False
16,intent_noharm,0.8681,0.0708,0.5,144,False
17,intent_noharm,0.909,0.0664,0.5,144,False
18,intent_noharm,0.9295,0.0598,0.5,144,False
19,intent_noharm,0.9295,0.0452,0.5,144,False
20,intent_noharm,0.881,0.0893,0.5,144,False
21,intent_noharm,0.881,0.0955,0.5,144,False
22,intent_noharm,0.841,0.0931,0.5,144,False
23,intent_noharm,0.8338,0.0584,0.5,144,False
24,intent_noharm,0.82,0.0628,0.5,144,False
25,intent_noharm,0.8476,0.0467,0.5,144,False
26,intent_noharm,0.841,0.0504,0.5,144,False
27,intent_noharm,0.7933,0.0716,0.5,144,False
28,intent_noharm,0.8071,0.0801,0.5,144,False
0,intent_harm,0.5125,0.0153,0.5,154,False
1,intent_harm,0.5767,0.0546,0.5,154,False
2,intent_harm,0.5379,0.0459,0.5,154,False
3,intent_harm,0.5458,0.0396,0.5,154,False
4,intent_harm,0.5775,0.0484,0.5,154,False
5,intent_harm,0.6025,0.0925,0.5,154,False
6,intent_harm,0.6492,0.1236,0.5,154,False
7,intent_harm,0.6492,0.0443,0.5,154,False
8,intent_harm,0.6221,0.0731,0.5,154,False
9,intent_harm,0.6296,0.0278,0.5,154,False
10,intent_harm,0.6754,0.0338,0.5,154,False
11,intent_harm,0.6558,0.0122,0.5,154,False
12,intent_harm,0.6171,0.0169,0.5,154,False
13,intent_harm,0.7421,0.0729,0.5,154,False
14,intent_harm,0.6958,0.0497,0.5,154,False
15,intent_harm,0.805,0.1078,0.5,154,False
16,intent_harm,0.845,0.0683,0.5,154,False
17,intent_harm,0.8892,0.0751,0.5,154,False
18,intent_harm,0.8438,0.0734,0.5,154,False
19,intent_harm,0.8446,0.0526,0.5,154,False
20,intent_harm,0.8113,0.049,0.5,154,False
21,intent_harm,0.8121,0.0688,0.5,154,False
22,intent_harm,0.78,0.0726,0.5,154,False
23,intent_harm,0.7354,0.0542,0.5,154,False
24,intent_harm,0.7408,0.0451,0.5,154,False
25,intent_harm,0.7013,0.0907,0.5,154,False
26,intent_harm,0.7279,0.0863,0.5,154,False
27,intent_harm,0.7021,0.0971,0.5,154,False
28,intent_harm,0.6817,0.0801,0.5,154,False
0,outcome_innocent,0.5168,0.0149,0.5168,149,True
1,outcome_innocent,0.8464,0.0999,0.5168,149,False
2,outcome_innocent,0.88,0.0748,0.5168,149,False
3,outcome_innocent,0.8933,0.1062,0.5168,149,False
4,outcome_innocent,0.9733,0.0389,0.5168,149,False
5,outcome_innocent,0.9867,0.0163,0.5168,149,False
6,outcome_innocent,0.9933,0.0133,0.5168,149,False
7,outcome_innocent,0.9733,0.0249,0.5168,149,False
8,outcome_innocent,0.9933,0.0133,0.5168,149,False
9,outcome_innocent,0.9933,0.0133,0.5168,149,False
10,outcome_innocent,0.9933,0.0133,0.5168,149,False
11,outcome_innocent,0.9933,0.0133,0.5168,149,False
12,outcome_innocent,0.9933,0.0133,0.5168,149,False
13,outcome_innocent,0.9933,0.0133,0.5168,149,False
14,outcome_innocent,1.0,0.0,0.5168,149,False
15,outcome_innocent,1.0,0.0,0.5168,149,False
16,outcome_innocent,1.0,0.0,0.5168,149,False
17,outcome_innocent,1.0,0.0,0.5168,149,False
18,outcome_innocent,0.9933,0.0133,0.5168,149,False
19,outcome_innocent,1.0,0.0,0.5168,149,False
20,outcome_innocent,0.9933,0.0133,0.5168,149,False
21,outcome_innocent,1.0,0.0,0.5168,149,False
22,outcome_innocent,1.0,0.0,0.5168,149,False
23,outcome_innocent,1.0,0.0,0.5168,149,False
24,outcome_innocent,1.0,0.0,0.5168,149,False
25,outcome_innocent,1.0,0.0,0.5168,149,False
26,outcome_innocent,1.0,0.0,0.5168,149,False
27,outcome_innocent,1.0,0.0,0.5168,149,False
28,outcome_innocent,0.9933,0.0133,0.5168,149,False
0,outcome_guilty,0.5168,0.0149,0.5168,149,False
1,outcome_guilty,0.8462,0.0953,0.5168,149,False
2,outcome_guilty,0.8933,0.0573,0.5168,149,False
3,outcome_guilty,0.9067,0.08,0.5168,149,False
4,outcome_guilty,0.96,0.049,0.5168,149,False
5,outcome_guilty,0.9867,0.0163,0.5168,149,False
6,outcome_guilty,0.9867,0.0163,0.5168,149,False
7,outcome_guilty,0.9667,0.0298,0.5168,149,False
8,outcome_guilty,0.9933,0.0133,0.5168,149,False
9,outcome_guilty,0.9933,0.0133,0.5168,149,False
10,outcome_guilty,0.9933,0.0133,0.5168,149,False
11,outcome_guilty,0.9933,0.0133,0.5168,149,False
12,outcome_guilty,0.9933,0.0133,0.5168,149,False
13,outcome_guilty,0.9933,0.0133,0.5168,149,False
14,outcome_guilty,0.9933,0.0133,0.5168,149,False
15,outcome_guilty,1.0,0.0,0.5168,149,False
16,outcome_guilty,1.0,0.0,0.5168,149,False
17,outcome_guilty,1.0,0.0,0.5168,149,False
18,outcome_guilty,1.0,0.0,0.5168,149,False
19,outcome_guilty,1.0,0.0,0.5168,149,False
20,outcome_guilty,0.9933,0.0133,0.5168,149,False
21,outcome_guilty,1.0,0.0,0.5168,149,False
22,outcome_guilty,1.0,0.0,0.5168,149,False
23,outcome_guilty,1.0,0.0,0.5168,149,False
24,outcome_guilty,0.9933,0.0133,0.5168,149,False
