model,layer,hypothesis,obs_r,null_mean,empirical_p,n_perm
OLMo-2-1124-7B,15,intent,0.1996,-0.0049,0.001,1000
OLMo-2-1124-7B,15,outcome,0.0132,-0.0054,0.001,1000
OLMo-2-1124-7B-Instruct,16,intent,0.2852,-0.005,0.001,1000
OLMo-2-1124-7B-Instruct,16,outcome,0.019,-0.0059,0.001,1000
Qwen2.5-0.5B,14,intent,0.0743,-0.0048,0.001,1000
Qwen2.5-0.5B,14,outcome,0.0012,-0.0055,0.999,1000
Qwen2.5-0.5B-Instruct,12,intent,0.1033,-0.0049,0.001,1000
Qwen2.5-0.5B-Instruct,12,outcome,0.0018,-0.0059,0.996,1000
Qwen2.5-1.5B,14,intent,0.1428,-0.005,0.001,1000
Qwen2.5-1.5B,14,outcome,0.0017,-0.0057,0.98501,1000
Qwen2.5-1.5B-Instruct,14,intent,0.1431,-0.0049,0.001,1000
Qwen2.5-1.5B-Instruct,14,outcome,0.002,-0.0059,0.98601,1000
Qwen2.5-7B,19,intent,0.1756,-0.0047,0.001,1000
Qwen2.5-7B,19,outcome,0.0097,-0.0052,0.001,1000
Qwen2.5-7B-Instruct,20,intent,0.1473,-0.0047,0.001,1000
Qwen2.5-7B-Instruct,20,outcome,0.0173,-0.0053,0.001,1000
