layer,target,cv_acc,chance
0,intent,0.5067816091954023,0.5
0,outcome,0.5167816091954023,0.5167785234899329
1,intent,0.5568965517241379,0.5
1,outcome,0.7588505747126437,0.5167785234899329
2,intent,0.5673563218390805,0.5
2,outcome,0.873103448275862,0.5167785234899329
3,intent,0.5501149425287356,0.5
3,outcome,0.9233333333333335,0.5167785234899329
4,intent,0.5771264367816092,0.5
4,outcome,0.9666666666666666,0.5167785234899329
5,intent,0.5739080459770115,0.5
5,outcome,0.973103448275862,0.5167785234899329
6,intent,0.600919540229885,0.5
6,outcome,0.9864367816091955,0.5167785234899329
7,intent,0.6345977011494253,0.5
7,outcome,0.9933333333333334,0.5167785234899329
8,intent,0.6173563218390805,0.5
8,outcome,0.9833333333333334,0.5167785234899329
9,intent,0.6950574712643679,0.5
9,outcome,0.9733333333333334,0.5167785234899329
10,intent,0.6845977011494253,0.5
10,outcome,0.9800000000000001,0.5167785234899329
11,intent,0.7081609195402299,0.5
11,outcome,0.9866666666666667,0.5167785234899329
12,intent,0.7516091954022988,0.5
12,outcome,0.9866666666666667,0.5167785234899329
13,intent,0.7924137931034483,0.5
13,outcome,0.9866666666666667,0.5167785234899329
14,intent,0.8194252873563219,0.5
14,outcome,0.9866666666666667,0.5167785234899329
15,intent,0.8162068965517241,0.5
15,outcome,0.9866666666666667,0.5167785234899329
16,intent,0.8463218390804597,0.5
16,outcome,0.9866666666666667,0.5167785234899329
17,intent,0.8158620689655172,0.5
17,outcome,1.0,0.5167785234899329
18,intent,0.8194252873563217,0.5
18,outcome,1.0,0.5167785234899329
19,intent,0.802528735632184,0.5
19,outcome,1.0,0.5167785234899329
20,intent,0.7993103448275861,0.5
20,outcome,1.0,0.5167785234899329
21,intent,0.7958620689655173,0.5
21,outcome,1.0,0.5167785234899329
22,intent,0.7988505747126435,0.5
22,outcome,1.0,0.5167785234899329
23,intent,0.822528735632184,0.5
23,outcome,1.0,0.5167785234899329
24,intent,0.7956321839080461,0.5
24,outcome,1.0,0.5167785234899329
25,intent,0.8125287356321838,0.5
25,outcome,0.9966666666666667,0.5167785234899329
26,intent,0.8094252873563219,0.5
26,outcome,1.0,0.5167785234899329
27,intent,0.796206896551724,0.5
27,outcome,0.9966666666666667,0.5167785234899329
28,intent,0.7788505747126436,0.5
28,outcome,1.0,0.5167785234899329
29,intent,0.7722988505747127,0.5
29,outcome,1.0,0.5167785234899329
30,intent,0.7826436781609195,0.5
30,outcome,1.0,0.5167785234899329
31,intent,0.8262068965517242,0.5
31,outcome,1.0,0.5167785234899329
32,intent,0.8094252873563217,0.5
32,outcome,1.0,0.5167785234899329
