model,layer,hypothesis,obs_r,null_mean,empirical_p,n_perm
OLMo-2-1124-7B,17,intent,0.0104,-0.0058,0.001,1000
OLMo-2-1124-7B,17,outcome,0.0793,-0.0052,0.001,1000
OLMo-2-1124-7B-Instruct,16,intent,0.0242,-0.0057,0.001,1000
OLMo-2-1124-7B-Instruct,16,outcome,0.1206,-0.0058,0.001,1000
Qwen2.5-0.5B,12,intent,-0.0008,-0.0057,1.0,1000
Qwen2.5-0.5B,12,outcome,0.0367,-0.004,0.001,1000
Qwen2.5-0.5B-Instruct,12,intent,-0.001,-0.0057,1.0,1000
Qwen2.5-0.5B-Instruct,12,outcome,0.0337,-0.0041,0.001,1000
Qwen2.5-1.5B,17,intent,-0.0007,-0.0057,1.0,1000
Qwen2.5-1.5B,17,outcome,0.0394,-0.0041,0.001,1000
Qwen2.5-1.5B-Instruct,17,intent,-0.0006,-0.0057,1.0,1000
Qwen2.5-1.5B-Instruct,17,outcome,0.0367,-0.0042,0.001,1000
Qwen2.5-7B,18,intent,0.0012,-0.0057,1.0,1000
Qwen2.5-7B,18,outcome,0.0487,-0.0039,0.001,1000
Qwen2.5-7B-Instruct,18,intent,0.0018,-0.0057,1.0,1000
Qwen2.5-7B-Instruct,18,outcome,0.0514,-0.004,0.001,1000
