model,template,sample,story_id,source,condition,intent_label,outcome_label,raw_rating,norm_rating
unsloth/gemma-2-9b-it,human_verbatim,0,YS2008-COFFEE-neutral,YS2008,neutral,innocent,no_harm,1.3835,0.1918
unsloth/gemma-2-9b-it,human_verbatim,0,YS2008-COFFEE-accidental,YS2008,accidental,innocent,harm,2.9977,0.9988
unsloth/gemma-2-9b-it,human_verbatim,0,YS2008-COFFEE-attempted,YS2008,attempted,guilty,no_harm,2.5891,0.7945
unsloth/gemma-2-9b-it,human_verbatim,0,YS2008-COFFEE-intentional,YS2008,intentional,guilty,harm,2.9983,0.9992
unsloth/gemma-2-9b-it,human_verbatim,0,YS2008-LAB-neutral,YS2008,neutral,innocent,no_harm,1.0105,0.0052
unsloth/gemma-2-9b-it,human_verbatim,0,YS2008-LAB-accidental,YS2008,accidental,innocent,harm,2.3466,0.6733
unsloth/gemma-2-9b-it,human_verbatim,0,YS2008-LAB-attempted,YS2008,attempted,guilty,no_harm,1.6822,0.3411
unsloth/gemma-2-9b-it,human_verbatim,0,YS2008-LAB-intentional,YS2008,intentional,guilty,harm,2.459,0.7295
unsloth/gemma-2-9b-it,human_verbatim,0,YS2008-JELLYFISH-neutral,YS2008,neutral,innocent,no_harm,1.0055,0.0027
unsloth/gemma-2-9b-it,human_verbatim,0,YS2008-JELLYFISH-accidental,YS2008,accidental,innocent,harm,2.9666,0.9833
unsloth/gemma-2-9b-it,human_verbatim,0,YS2008-JELLYFISH-attempted,YS2008,attempted,guilty,no_harm,1.9545,0.4772
unsloth/gemma-2-9b-it,human_verbatim,0,YS2008-JELLYFISH-intentional,YS2008,intentional,guilty,harm,2.962,0.981
unsloth/gemma-2-9b-it,human_verbatim,0,YS2008-BRIDGE-neutral,YS2008,neutral,innocent,no_harm,1.0686,0.0343
unsloth/gemma-2-9b-it,human_verbatim,0,YS2008-BRIDGE-accidental,YS2008,accidental,innocent,harm,2.9936,0.9968
unsloth/gemma-2-9b-it,human_verbatim,0,YS2008-BRIDGE-attempted,YS2008,attempted,guilty,no_harm,1.9966,0.4983
unsloth/gemma-2-9b-it,human_verbatim,0,YS2008-BRIDGE-intentional,YS2008,intentional,guilty,harm,2.9697,0.9848
unsloth/gemma-2-9b-it,human_verbatim,0,YS2008-POOL-neutral,YS2008,neutral,innocent,no_harm,1.9757,0.4879
unsloth/gemma-2-9b-it,human_verbatim,0,YS2008-POOL-accidental,YS2008,accidental,innocent,harm,2.405,0.7025
unsloth/gemma-2-9b-it,human_verbatim,0,YS2008-POOL-attempted,YS2008,attempted,guilty,no_harm,1.997,0.4985
unsloth/gemma-2-9b-it,human_verbatim,0,YS2008-POOL-intentional,YS2008,intentional,guilty,harm,2.0648,0.5324
unsloth/gemma-2-9b-it,human_verbatim,0,YS2008-MUSHROOMS-neutral,YS2008,neutral,innocent,no_harm,1.9346,0.4673
unsloth/gemma-2-9b-it,human_verbatim,0,YS2008-MUSHROOMS-accidental,YS2008,accidental,innocent,harm,2.9763,0.9882
unsloth/gemma-2-9b-it,human_verbatim,0,YS2008-MUSHROOMS-attempted,YS2008,attempted,guilty,no_harm,2.9031,0.9515
unsloth/gemma-2-9b-it,human_verbatim,0,YS2008-MUSHROOMS-intentional,YS2008,intentional,guilty,harm,2.9941,0.997
unsloth/gemma-2-9b-it,human_verbatim,0,YS2008-LATEX-neutral,YS2008,neutral,innocent,no_harm,1.0068,0.0034
unsloth/gemma-2-9b-it,human_verbatim,0,YS2008-LATEX-accidental,YS2008,accidental,innocent,harm,2.9149,0.9574
unsloth/gemma-2-9b-it,human_verbatim,0,YS2008-LATEX-attempted,YS2008,attempted,guilty,no_harm,2.1188,0.5594
unsloth/gemma-2-9b-it,human_verbatim,0,YS2008-LATEX-intentional,YS2008,intentional,guilty,harm,2.9651,0.9826
unsloth/gemma-2-9b-it,human_verbatim,0,YS2008-MOTORBOAT-neutral,YS2008,neutral,innocent,no_harm,1.0012,0.0006
unsloth/gemma-2-9b-it,human_verbatim,0,YS2008-MOTORBOAT-accidental,YS2008,accidental,innocent,harm,2.5911,0.7955
