template,story_id,source,condition,intent_label,outcome_label,mean_norm_blame,n
acceptable7,YS2008-ALARM-accidental,YS2008,accidental,innocent,harm,0.7662,1
acceptable7,YS2008-ALARM-attempted,YS2008,attempted,guilty,no_harm,0.4466,1
acceptable7,YS2008-ALARM-intentional,YS2008,intentional,guilty,harm,0.6643,1
acceptable7,YS2008-ALARM-neutral,YS2008,neutral,innocent,no_harm,0.3859,1
acceptable7,YS2008-ASTHMA-accidental,YS2008,accidental,innocent,harm,0.9457,1
acceptable7,YS2008-ASTHMA-attempted,YS2008,attempted,guilty,no_harm,0.6787,1
acceptable7,YS2008-ASTHMA-intentional,YS2008,intentional,guilty,harm,0.7237,1
acceptable7,YS2008-ASTHMA-neutral,YS2008,neutral,innocent,no_harm,0.4091,1
acceptable7,YS2008-BAR-accidental,YS2008,accidental,innocent,harm,0.8004,1
acceptable7,YS2008-BAR-attempted,YS2008,attempted,guilty,no_harm,0.4242,1
acceptable7,YS2008-BAR-intentional,YS2008,intentional,guilty,harm,0.6499,1
acceptable7,YS2008-BAR-neutral,YS2008,neutral,innocent,no_harm,0.3544,1
acceptable7,YS2008-BIKE-accidental,YS2008,accidental,innocent,harm,0.9468,1
acceptable7,YS2008-BIKE-attempted,YS2008,attempted,guilty,no_harm,0.704,1
acceptable7,YS2008-BIKE-intentional,YS2008,intentional,guilty,harm,0.9943,1
acceptable7,YS2008-BIKE-neutral,YS2008,neutral,innocent,no_harm,0.1812,1
acceptable7,YS2008-BOUNCY BALL-accidental,YS2008,accidental,innocent,harm,0.9913,1
acceptable7,YS2008-BOUNCY BALL-attempted,YS2008,attempted,guilty,no_harm,0.3009,1
acceptable7,YS2008-BOUNCY BALL-intentional,YS2008,intentional,guilty,harm,0.9909,1
acceptable7,YS2008-BOUNCY BALL-neutral,YS2008,neutral,innocent,no_harm,0.3609,1
acceptable7,YS2008-BRIDGE-accidental,YS2008,accidental,innocent,harm,0.9691,1
acceptable7,YS2008-BRIDGE-attempted,YS2008,attempted,guilty,no_harm,0.4398,1
acceptable7,YS2008-BRIDGE-intentional,YS2008,intentional,guilty,harm,0.9216,1
acceptable7,YS2008-BRIDGE-neutral,YS2008,neutral,innocent,no_harm,0.1052,1
acceptable7,YS2008-CAYO-accidental,YS2008,accidental,innocent,harm,0.9657,1
acceptable7,YS2008-CAYO-attempted,YS2008,attempted,guilty,no_harm,0.6862,1
acceptable7,YS2008-CAYO-intentional,YS2008,intentional,guilty,harm,0.9557,1
acceptable7,YS2008-CAYO-neutral,YS2008,neutral,innocent,no_harm,0.4524,1
acceptable7,YS2008-CHAIRLIFT-accidental,YS2008,accidental,innocent,harm,0.9838,1
acceptable7,YS2008-CHAIRLIFT-attempted,YS2008,attempted,guilty,no_harm,0.4394,1
acceptable7,YS2008-CHAIRLIFT-intentional,YS2008,intentional,guilty,harm,0.983,1
acceptable7,YS2008-CHAIRLIFT-neutral,YS2008,neutral,innocent,no_harm,0.0005,1
acceptable7,YS2008-COFFEE-accidental,YS2008,accidental,innocent,harm,0.9975,1
acceptable7,YS2008-COFFEE-attempted,YS2008,attempted,guilty,no_harm,0.7327,1
acceptable7,YS2008-COFFEE-intentional,YS2008,intentional,guilty,harm,0.9917,1
acceptable7,YS2008-COFFEE-neutral,YS2008,neutral,innocent,no_harm,0.3001,1
acceptable7,YS2008-CPR-accidental,YS2008,accidental,innocent,harm,0.9987,1
acceptable7,YS2008-CPR-attempted,YS2008,attempted,guilty,no_harm,0.5931,1
acceptable7,YS2008-CPR-intentional,YS2008,intentional,guilty,harm,0.9141,1
acceptable7,YS2008-CPR-neutral,YS2008,neutral,innocent,no_harm,0.0434,1
acceptable7,YS2008-FRAT-accidental,YS2008,accidental,innocent,harm,0.9748,1
acceptable7,YS2008-FRAT-attempted,YS2008,attempted,guilty,no_harm,0.6355,1
acceptable7,YS2008-FRAT-intentional,YS2008,intentional,guilty,harm,0.9859,1
acceptable7,YS2008-FRAT-neutral,YS2008,neutral,innocent,no_harm,0.0743,1
acceptable7,YS2008-FUMIGATION-accidental,YS2008,accidental,innocent,harm,0.9736,1
acceptable7,YS2008-FUMIGATION-attempted,YS2008,attempted,guilty,no_harm,0.8333,1
acceptable7,YS2008-FUMIGATION-intentional,YS2008,intentional,guilty,harm,0.9705,1
acceptable7,YS2008-FUMIGATION-neutral,YS2008,neutral,innocent,no_harm,0.6112,1
acceptable7,YS2008-HAM-accidental,YS2008,accidental,innocent,harm,0.9323,1
acceptable7,YS2008-HAM-attempted,YS2008,attempted,guilty,no_harm,0.1989,1
acceptable7,YS2008-HAM-intentional,YS2008,intentional,guilty,harm,0.9747,1
acceptable7,YS2008-HAM-neutral,YS2008,neutral,innocent,no_harm,0.0147,1
acceptable7,YS2008-HARNESS-accidental,YS2008,accidental,innocent,harm,0.9922,1
acceptable7,YS2008-HARNESS-attempted,YS2008,attempted,guilty,no_harm,0.6155,1
acceptable7,YS2008-HARNESS-intentional,YS2008,intentional,guilty,harm,0.9775,1
acceptable7,YS2008-HARNESS-neutral,YS2008,neutral,innocent,no_harm,0.002,1
acceptable7,YS2008-HUNT-accidental,YS2008,accidental,innocent,harm,0.463,1
