metric,value
intent_reliance_max,0.2852
intent_reliance_min,0.0012
intent_reliance_range,0.284
iri_diff_human_verbatim__acceptable7,-0.0152
iri_diff_human_verbatim__blame_w1,-0.0264
iri_diff_human_verbatim__blame_w2,0.0158
iri_diff_human_verbatim__para_blame10,-0.2196
iri_diff_human_verbatim__para_blame4,-0.0014
iri_diff_human_verbatim__persona_adult7,-0.0433
iri_diff_human_verbatim__punish_w1,-0.1771
iri_diff_human_verbatim__punish_w2,-0.1089
iri_diff_human_verbatim__wrong_w1,-0.0139
iri_diff_human_verbatim__wrong_w2,0.0644
