model,template,sample,story_id,source,condition,intent_label,outcome_label,raw_rating,norm_rating
Qwen/Qwen2.5-1.5B-Instruct,human_verbatim,0,YS2008-COFFEE-neutral,YS2008,neutral,innocent,no_harm,2.3879,0.694
Qwen/Qwen2.5-1.5B-Instruct,human_verbatim,0,YS2008-COFFEE-accidental,YS2008,accidental,innocent,harm,2.2031,0.6015
Qwen/Qwen2.5-1.5B-Instruct,human_verbatim,0,YS2008-COFFEE-attempted,YS2008,attempted,guilty,no_harm,2.2046,0.6023
Qwen/Qwen2.5-1.5B-Instruct,human_verbatim,0,YS2008-COFFEE-intentional,YS2008,intentional,guilty,harm,2.1902,0.5951
Qwen/Qwen2.5-1.5B-Instruct,human_verbatim,0,YS2008-YS2008_02-neutral,YS2008,neutral,innocent,no_harm,2.3664,0.6832
Qwen/Qwen2.5-1.5B-Instruct,human_verbatim,0,YS2008-YS2008_02-accidental,YS2008,accidental,innocent,harm,2.329,0.6645
Qwen/Qwen2.5-1.5B-Instruct,human_verbatim,0,YS2008-YS2008_02-attempted,YS2008,attempted,guilty,no_harm,2.2759,0.638
Qwen/Qwen2.5-1.5B-Instruct,human_verbatim,0,YS2008-YS2008_02-intentional,YS2008,intentional,guilty,harm,2.3317,0.6658
Qwen/Qwen2.5-1.5B-Instruct,human_verbatim,0,YS2008-YS2008_03-neutral,YS2008,neutral,innocent,no_harm,2.3451,0.6725
Qwen/Qwen2.5-1.5B-Instruct,human_verbatim,0,YS2008-YS2008_03-accidental,YS2008,accidental,innocent,harm,2.0455,0.5228
Qwen/Qwen2.5-1.5B-Instruct,human_verbatim,0,YS2008-YS2008_03-attempted,YS2008,attempted,guilty,no_harm,2.1936,0.5968
Qwen/Qwen2.5-1.5B-Instruct,human_verbatim,0,YS2008-YS2008_03-intentional,YS2008,intentional,guilty,harm,2.0,0.5
Qwen/Qwen2.5-1.5B-Instruct,human_verbatim,0,YS2008-YS2008_04-neutral,YS2008,neutral,innocent,no_harm,2.4409,0.7204
Qwen/Qwen2.5-1.5B-Instruct,human_verbatim,0,YS2008-YS2008_04-accidental,YS2008,accidental,innocent,harm,2.3678,0.6839
Qwen/Qwen2.5-1.5B-Instruct,human_verbatim,0,YS2008-YS2008_04-attempted,YS2008,attempted,guilty,no_harm,2.3362,0.6681
Qwen/Qwen2.5-1.5B-Instruct,human_verbatim,0,YS2008-YS2008_04-intentional,YS2008,intentional,guilty,harm,2.312,0.656
Qwen/Qwen2.5-1.5B-Instruct,human_verbatim,0,YS2008-YS2008_05-neutral,YS2008,neutral,innocent,no_harm,2.1805,0.5903
Qwen/Qwen2.5-1.5B-Instruct,human_verbatim,0,YS2008-YS2008_05-accidental,YS2008,accidental,innocent,harm,2.2031,0.6015
Qwen/Qwen2.5-1.5B-Instruct,human_verbatim,0,YS2008-YS2008_05-attempted,YS2008,attempted,guilty,no_harm,2.1301,0.5651
Qwen/Qwen2.5-1.5B-Instruct,human_verbatim,0,YS2008-YS2008_05-intentional,YS2008,intentional,guilty,harm,2.1902,0.5951
Qwen/Qwen2.5-1.5B-Instruct,human_verbatim,0,YS2008-YS2008_06-neutral,YS2008,neutral,innocent,no_harm,2.4107,0.7053
Qwen/Qwen2.5-1.5B-Instruct,human_verbatim,0,YS2008-YS2008_06-accidental,YS2008,accidental,innocent,harm,2.1962,0.5981
Qwen/Qwen2.5-1.5B-Instruct,human_verbatim,0,YS2008-YS2008_06-attempted,YS2008,attempted,guilty,no_harm,2.3362,0.6681
Qwen/Qwen2.5-1.5B-Instruct,human_verbatim,0,YS2008-YS2008_06-intentional,YS2008,intentional,guilty,harm,2.2115,0.6058
Qwen/Qwen2.5-1.5B-Instruct,human_verbatim,0,YS2008-YS2008_07-neutral,YS2008,neutral,innocent,no_harm,2.2051,0.6026
Qwen/Qwen2.5-1.5B-Instruct,human_verbatim,0,YS2008-YS2008_07-accidental,YS2008,accidental,innocent,harm,2.1063,0.5532
Qwen/Qwen2.5-1.5B-Instruct,human_verbatim,0,YS2008-YS2008_07-attempted,YS2008,attempted,guilty,no_harm,2.2262,0.6131
Qwen/Qwen2.5-1.5B-Instruct,human_verbatim,0,YS2008-YS2008_07-intentional,YS2008,intentional,guilty,harm,2.141,0.5705
