model_a,model_b,contrast_diff,ci_lo,ci_hi,distinguishable
unsloth_Meta-Llama-3_1-8B,Qwen_Qwen2_5-0_5B,0.0021,-0.0029,0.0073,no
unsloth_Meta-Llama-3_1-8B,HuggingFaceH4_zephyr-7b-beta,0.0025,-0.0023,0.0071,no
unsloth_Meta-Llama-3_1-8B,mistralai_Mistral-7B-Instruct-v0_3,0.0025,-0.0023,0.0071,no
unsloth_Meta-Llama-3_1-8B,mistralai_Mistral-7B-v0_3,0.0025,-0.0023,0.0071,no
unsloth_Meta-Llama-3_1-8B,unsloth_gemma-2-9b,0.0026,-0.002,0.0074,no
unsloth_Meta-Llama-3_1-8B,allenai_OLMo-2-1124-7B,0.0068,-0.0007,0.0144,no
unsloth_Meta-Llama-3_1-8B,Qwen_Qwen2_5-1_5B,0.0152,0.0077,0.023,yes
unsloth_Meta-Llama-3_1-8B,Qwen_Qwen2_5-3B,0.0508,0.0437,0.0576,yes
unsloth_Meta-Llama-3_1-8B,Qwen_Qwen2_5-0_5B-Instruct,0.0527,0.0429,0.0633,yes
unsloth_Meta-Llama-3_1-8B,Qwen_Qwen2_5-7B,0.0536,0.0455,0.0612,yes
unsloth_Meta-Llama-3_1-8B,Qwen_Qwen2_5-14B,0.1282,0.1148,0.1413,yes
unsloth_Meta-Llama-3_1-8B,Qwen_Qwen2_5-1_5B-Instruct,0.1689,0.1506,0.1874,yes
unsloth_Meta-Llama-3_1-8B,unsloth_Meta-Llama-3_1-8B-Instruct,0.2041,0.1755,0.2338,yes
unsloth_Meta-Llama-3_1-8B,Qwen_Qwen2_5-7B-Instruct,0.2406,0.2134,0.2688,yes
unsloth_Meta-Llama-3_1-8B,Qwen_Qwen2_5-3B-Instruct,0.2494,0.2229,0.277,yes
unsloth_Meta-Llama-3_1-8B,Qwen_Qwen2_5-14B-Instruct,0.3724,0.3315,0.4122,yes
unsloth_Meta-Llama-3_1-8B,allenai_Llama-3_1-Tulu-3-8B,0.4033,0.3635,0.4443,yes
unsloth_Meta-Llama-3_1-8B,unsloth_gemma-2-9b-it,0.4104,0.3562,0.4651,yes
unsloth_Meta-Llama-3_1-8B,allenai_OLMo-2-1124-7B-Instruct,0.6483,0.5897,0.7047,yes
Qwen_Qwen2_5-0_5B,HuggingFaceH4_zephyr-7b-beta,0.0004,-0.0034,0.0044,no
Qwen_Qwen2_5-0_5B,mistralai_Mistral-7B-Instruct-v0_3,0.0004,-0.0034,0.0044,no
Qwen_Qwen2_5-0_5B,mistralai_Mistral-7B-v0_3,0.0004,-0.0034,0.0044,no
Qwen_Qwen2_5-0_5B,unsloth_gemma-2-9b,0.0006,-0.0033,0.0047,no
Qwen_Qwen2_5-0_5B,allenai_OLMo-2-1124-7B,0.0047,-0.002,0.0115,no
Qwen_Qwen2_5-0_5B,Qwen_Qwen2_5-1_5B,0.0131,0.0069,0.0195,yes
Qwen_Qwen2_5-0_5B,Qwen_Qwen2_5-3B,0.0487,0.0419,0.0555,yes
Qwen_Qwen2_5-0_5B,Qwen_Qwen2_5-0_5B-Instruct,0.0506,0.0404,0.0612,yes
Qwen_Qwen2_5-0_5B,Qwen_Qwen2_5-7B,0.0515,0.0438,0.0592,yes
Qwen_Qwen2_5-0_5B,Qwen_Qwen2_5-14B,0.1261,0.1119,0.1395,yes
Qwen_Qwen2_5-0_5B,Qwen_Qwen2_5-1_5B-Instruct,0.1668,0.1502,0.1833,yes
Qwen_Qwen2_5-0_5B,unsloth_Meta-Llama-3_1-8B-Instruct,0.202,0.1726,0.2319,yes
Qwen_Qwen2_5-0_5B,Qwen_Qwen2_5-7B-Instruct,0.2386,0.2119,0.2663,yes
Qwen_Qwen2_5-0_5B,Qwen_Qwen2_5-3B-Instruct,0.2473,0.2208,0.2749,yes
Qwen_Qwen2_5-0_5B,Qwen_Qwen2_5-14B-Instruct,0.3703,0.3295,0.4102,yes
Qwen_Qwen2_5-0_5B,allenai_Llama-3_1-Tulu-3-8B,0.4012,0.3619,0.4422,yes
Qwen_Qwen2_5-0_5B,unsloth_gemma-2-9b-it,0.4083,0.3547,0.4632,yes
Qwen_Qwen2_5-0_5B,allenai_OLMo-2-1124-7B-Instruct,0.6462,0.5884,0.7017,yes
HuggingFaceH4_zephyr-7b-beta,mistralai_Mistral-7B-Instruct-v0_3,0.0,0.0,0.0,no
HuggingFaceH4_zephyr-7b-beta,mistralai_Mistral-7B-v0_3,0.0,0.0,0.0,no
HuggingFaceH4_zephyr-7b-beta,unsloth_gemma-2-9b,0.0002,-0.0011,0.0015,no
HuggingFaceH4_zephyr-7b-beta,allenai_OLMo-2-1124-7B,0.0043,-0.0018,0.0104,no
HuggingFaceH4_zephyr-7b-beta,Qwen_Qwen2_5-1_5B,0.0128,0.0074,0.0182,yes
HuggingFaceH4_zephyr-7b-beta,Qwen_Qwen2_5-3B,0.0483,0.0418,0.0544,yes
HuggingFaceH4_zephyr-7b-beta,Qwen_Qwen2_5-0_5B-Instruct,0.0502,0.0402,0.0612,yes
HuggingFaceH4_zephyr-7b-beta,Qwen_Qwen2_5-7B,0.0511,0.0442,0.0582,yes
HuggingFaceH4_zephyr-7b-beta,Qwen_Qwen2_5-14B,0.1257,0.1115,0.139,yes
HuggingFaceH4_zephyr-7b-beta,Qwen_Qwen2_5-1_5B-Instruct,0.1665,0.1498,0.1832,yes
HuggingFaceH4_zephyr-7b-beta,unsloth_Meta-Llama-3_1-8B-Instruct,0.2016,0.1726,0.2316,yes
HuggingFaceH4_zephyr-7b-beta,Qwen_Qwen2_5-7B-Instruct,0.2382,0.2105,0.2661,yes
HuggingFaceH4_zephyr-7b-beta,Qwen_Qwen2_5-3B-Instruct,0.2469,0.2195,0.2751,yes
HuggingFaceH4_zephyr-7b-beta,Qwen_Qwen2_5-14B-Instruct,0.3699,0.3296,0.4089,yes
HuggingFaceH4_zephyr-7b-beta,allenai_Llama-3_1-Tulu-3-8B,0.4008,0.3611,0.4418,yes
HuggingFaceH4_zephyr-7b-beta,unsloth_gemma-2-9b-it,0.4079,0.3534,0.4638,yes
HuggingFaceH4_zephyr-7b-beta,allenai_OLMo-2-1124-7B-Instruct,0.6458,0.5865,0.7031,yes
mistralai_Mistral-7B-Instruct-v0_3,mistralai_Mistral-7B-v0_3,0.0,0.0,0.0,no
mistralai_Mistral-7B-Instruct-v0_3,unsloth_gemma-2-9b,0.0002,-0.0011,0.0015,no
mistralai_Mistral-7B-Instruct-v0_3,allenai_OLMo-2-1124-7B,0.0043,-0.0018,0.0104,no
mistralai_Mistral-7B-Instruct-v0_3,Qwen_Qwen2_5-1_5B,0.0128,0.0074,0.0182,yes
mistralai_Mistral-7B-Instruct-v0_3,Qwen_Qwen2_5-3B,0.0483,0.0418,0.0544,yes
mistralai_Mistral-7B-Instruct-v0_3,Qwen_Qwen2_5-0_5B-Instruct,0.0502,0.0402,0.0612,yes
mistralai_Mistral-7B-Instruct-v0_3,Qwen_Qwen2_5-7B,0.0511,0.0442,0.0582,yes
mistralai_Mistral-7B-Instruct-v0_3,Qwen_Qwen2_5-14B,0.1257,0.1115,0.139,yes
mistralai_Mistral-7B-Instruct-v0_3,Qwen_Qwen2_5-1_5B-Instruct,0.1665,0.1498,0.1832,yes
