layer,target,cv_acc,chance,degenerate
0,intent,0.5211,0.5,False
0,outcome,0.5,0.5,False
1,intent,0.5767,0.5,False
1,outcome,0.5789,0.5,False
2,intent,0.6522,0.5,False
2,outcome,0.6267,0.5,False
3,intent,0.63,0.5,False
3,outcome,0.5739,0.5,False
4,intent,0.6706,0.5,False
4,outcome,0.6339,0.5,False
5,intent,0.7539,0.5,False
5,outcome,0.6767,0.5,False
6,intent,0.9167,0.5,False
6,outcome,0.7128,0.5,False
7,intent,0.9428,0.5,False
7,outcome,0.7517,0.5,False
8,intent,0.955,0.5,False
8,outcome,0.7589,0.5,False
9,intent,0.955,0.5,False
9,outcome,0.8194,0.5,False
10,intent,0.965,0.5,False
10,outcome,0.8672,0.5,False
11,intent,0.975,0.5,False
11,outcome,0.8683,0.5,False
12,intent,0.9639,0.5,False
12,outcome,0.9011,0.5,False
13,intent,0.9744,0.5,False
13,outcome,0.9061,0.5,False
14,intent,0.9739,0.5,False
14,outcome,0.9,0.5,False
15,intent,0.9739,0.5,False
15,outcome,0.9272,0.5,False
16,intent,0.9794,0.5,False
16,outcome,0.9111,0.5,False
17,intent,0.9794,0.5,False
17,outcome,0.9006,0.5,False
18,intent,0.9794,0.5,False
18,outcome,0.89,0.5,False
19,intent,0.9844,0.5,False
19,outcome,0.9006,0.5,False
20,intent,0.9789,0.5,False
20,outcome,0.8728,0.5,False
21,intent,0.9739,0.5,False
21,outcome,0.8794,0.5,False
22,intent,0.9789,0.5,False
22,outcome,0.8411,0.5,False
23,intent,0.9789,0.5,False
23,outcome,0.8578,0.5,False
24,intent,0.9839,0.5,False
24,outcome,0.8422,0.5,False
25,intent,0.9839,0.5,False
25,outcome,0.8161,0.5,False
26,intent,0.9733,0.5,False
26,outcome,0.8306,0.5,False
27,intent,0.9839,0.5,False
27,outcome,0.8422,0.5,False
28,intent,0.9728,0.5,False
28,outcome,0.8633,0.5,False
29,intent,0.9728,0.5,False
29,outcome,0.8633,0.5,False
30,intent,0.9728,0.5,False
30,outcome,0.8483,0.5,False
31,intent,0.9733,0.5,False
31,outcome,0.8256,0.5,False
32,intent,0.9628,0.5,False
32,outcome,0.8528,0.5,False
