template,story_id,source,condition,intent_label,outcome_label,mean_norm_blame,n
human_verbatim,YS2008-COFFEE-neutral,YS2008,neutral,innocent,no_harm,0.4131,1
human_verbatim,YS2008-COFFEE-accidental,YS2008,accidental,innocent,harm,0.5705,1
human_verbatim,YS2008-COFFEE-attempted,YS2008,attempted,guilty,no_harm,0.4338,1
human_verbatim,YS2008-COFFEE-intentional,YS2008,intentional,guilty,harm,0.4955,1
human_verbatim,YS2008-YS2008_02-neutral,YS2008,neutral,innocent,no_harm,0.4132,1
human_verbatim,YS2008-YS2008_02-accidental,YS2008,accidental,innocent,harm,0.3956,1
human_verbatim,YS2008-YS2008_02-attempted,YS2008,attempted,guilty,no_harm,0.4239,1
human_verbatim,YS2008-YS2008_02-intentional,YS2008,intentional,guilty,harm,0.3662,1
human_verbatim,YS2008-YS2008_03-neutral,YS2008,neutral,innocent,no_harm,0.3483,1
human_verbatim,YS2008-YS2008_03-accidental,YS2008,accidental,innocent,harm,0.3941,1
human_verbatim,YS2008-YS2008_03-attempted,YS2008,attempted,guilty,no_harm,0.3837,1
human_verbatim,YS2008-YS2008_03-intentional,YS2008,intentional,guilty,harm,0.3744,1
human_verbatim,YS2008-YS2008_04-neutral,YS2008,neutral,innocent,no_harm,0.3566,1
human_verbatim,YS2008-YS2008_04-accidental,YS2008,accidental,innocent,harm,0.3804,1
human_verbatim,YS2008-YS2008_04-attempted,YS2008,attempted,guilty,no_harm,0.3674,1
human_verbatim,YS2008-YS2008_04-intentional,YS2008,intentional,guilty,harm,0.3543,1
human_verbatim,YS2008-YS2008_05-neutral,YS2008,neutral,innocent,no_harm,0.388,1
human_verbatim,YS2008-YS2008_05-accidental,YS2008,accidental,innocent,harm,0.4542,1
human_verbatim,YS2008-YS2008_05-attempted,YS2008,attempted,guilty,no_harm,0.3759,1
human_verbatim,YS2008-YS2008_05-intentional,YS2008,intentional,guilty,harm,0.4232,1
human_verbatim,YS2008-YS2008_06-neutral,YS2008,neutral,innocent,no_harm,0.3841,1
human_verbatim,YS2008-YS2008_06-accidental,YS2008,accidental,innocent,harm,0.5534,1
human_verbatim,YS2008-YS2008_06-attempted,YS2008,attempted,guilty,no_harm,0.3962,1
human_verbatim,YS2008-YS2008_06-intentional,YS2008,intentional,guilty,harm,0.518,1
human_verbatim,YS2008-YS2008_07-neutral,YS2008,neutral,innocent,no_harm,0.3872,1
human_verbatim,YS2008-YS2008_07-accidental,YS2008,accidental,innocent,harm,0.4365,1
human_verbatim,YS2008-YS2008_07-attempted,YS2008,attempted,guilty,no_harm,0.4195,1
human_verbatim,YS2008-YS2008_07-intentional,YS2008,intentional,guilty,harm,0.3926,1
human_verbatim,YS2008-YS2008_08-neutral,YS2008,neutral,innocent,no_harm,0.3369,1
human_verbatim,YS2008-YS2008_08-accidental,YS2008,accidental,innocent,harm,0.4671,1
human_verbatim,YS2008-YS2008_08-attempted,YS2008,attempted,guilty,no_harm,0.4019,1
human_verbatim,YS2008-YS2008_08-intentional,YS2008,intentional,guilty,harm,0.4098,1
human_verbatim,YS2008-ASTHMA-neutral,YS2008,neutral,innocent,no_harm,0.4138,1
human_verbatim,YS2008-ASTHMA-accidental,YS2008,accidental,innocent,harm,0.4231,1
human_verbatim,YS2008-ASTHMA-attempted,YS2008,attempted,guilty,no_harm,0.4075,1
human_verbatim,YS2008-ASTHMA-intentional,YS2008,intentional,guilty,harm,0.4322,1
human_verbatim,YS2008-YS2008_10-neutral,YS2008,neutral,innocent,no_harm,0.3168,1
human_verbatim,YS2008-YS2008_10-accidental,YS2008,accidental,innocent,harm,0.4368,1
human_verbatim,YS2008-YS2008_10-attempted,YS2008,attempted,guilty,no_harm,0.3737,1
human_verbatim,YS2008-YS2008_10-intentional,YS2008,intentional,guilty,harm,0.4286,1
human_verbatim,YS2008-YS2008_11-neutral,YS2008,neutral,innocent,no_harm,0.3608,1
human_verbatim,YS2008-YS2008_11-accidental,YS2008,accidental,innocent,harm,0.4609,1
human_verbatim,YS2008-YS2008_11-attempted,YS2008,attempted,guilty,no_harm,0.4023,1
human_verbatim,YS2008-YS2008_11-intentional,YS2008,intentional,guilty,harm,0.4532,1
human_verbatim,YS2008-YS2008_12-neutral,YS2008,neutral,innocent,no_harm,0.3118,1
human_verbatim,YS2008-YS2008_12-accidental,YS2008,accidental,innocent,harm,0.5033,1
human_verbatim,YS2008-YS2008_12-attempted,YS2008,attempted,guilty,no_harm,0.3877,1
human_verbatim,YS2008-YS2008_12-intentional,YS2008,intentional,guilty,harm,0.4984,1
human_verbatim,YS2008-YS2008_13-neutral,YS2008,neutral,innocent,no_harm,0.3575,1
human_verbatim,YS2008-YS2008_13-accidental,YS2008,accidental,innocent,harm,0.403,1
human_verbatim,YS2008-YS2008_13-attempted,YS2008,attempted,guilty,no_harm,0.3554,1
human_verbatim,YS2008-YS2008_13-intentional,YS2008,intentional,guilty,harm,0.3958,1
human_verbatim,YS2008-YS2008_14-neutral,YS2008,neutral,innocent,no_harm,0.4039,1
human_verbatim,YS2008-YS2008_14-accidental,YS2008,accidental,innocent,harm,0.5493,1
human_verbatim,YS2008-YS2008_14-attempted,YS2008,attempted,guilty,no_harm,0.4027,1
human_verbatim,YS2008-YS2008_14-intentional,YS2008,intentional,guilty,harm,0.5015,1
human_verbatim,YS2008-YS2008_15-neutral,YS2008,neutral,innocent,no_harm,0.3038,1
human_verbatim,YS2008-YS2008_15-accidental,YS2008,accidental,innocent,harm,0.5391,1
human_verbatim,YS2008-YS2008_15-attempted,YS2008,attempted,guilty,no_harm,0.3011,1
