layer,target,cv_acc,chance
0,intent,0.5067816091954023,0.5
0,outcome,0.5134482758620689,0.5167785234899329
1,intent,0.7557471264367817,0.5
1,outcome,0.7683908045977011,0.5167785234899329
2,intent,0.7381609195402299,0.5
2,outcome,0.7649425287356323,0.5167785234899329
3,intent,0.7382758620689656,0.5
3,outcome,0.7750574712643677,0.5167785234899329
4,intent,0.7651724137931034,0.5
4,outcome,0.7411494252873563,0.5167785234899329
5,intent,0.8324137931034482,0.5
5,outcome,0.8054022988505747,0.5167785234899329
6,intent,0.8316091954022988,0.5
6,outcome,0.8052873563218391,0.5167785234899329
7,intent,0.8047126436781611,0.5
7,outcome,0.7479310344827585,0.5167785234899329
8,intent,0.774712643678161,0.5
8,outcome,0.7245977011494253,0.5167785234899329
9,intent,0.7814942528735631,0.5
9,outcome,0.737816091954023,0.5167785234899329
10,intent,0.8421839080459769,0.5
10,outcome,0.7711494252873563,0.5167785234899329
11,intent,0.824712643678161,0.5
11,outcome,0.7548275862068965,0.5167785234899329
12,intent,0.8349425287356322,0.5
12,outcome,0.7651724137931034,0.5167785234899329
13,intent,0.8519540229885058,0.5
13,outcome,0.7616091954022988,0.5167785234899329
14,intent,0.8689655172413794,0.5
14,outcome,0.7948275862068965,0.5167785234899329
15,intent,0.8957471264367817,0.5
15,outcome,0.8119540229885057,0.5167785234899329
16,intent,0.909080459770115,0.5
16,outcome,0.8080459770114942,0.5167785234899329
17,intent,0.9394252873563218,0.5
17,outcome,0.81183908045977,0.5167785234899329
18,intent,0.9359770114942529,0.5
18,outcome,0.8119540229885057,0.5167785234899329
19,intent,0.9460919540229884,0.5
19,outcome,0.832183908045977,0.5167785234899329
20,intent,0.9124137931034483,0.5
20,outcome,0.8358620689655172,0.5167785234899329
21,intent,0.9088505747126436,0.5
21,outcome,0.8150574712643678,0.5167785234899329
22,intent,0.8919540229885058,0.5
22,outcome,0.8220689655172414,0.5167785234899329
23,intent,0.8886206896551725,0.5
23,outcome,0.8189655172413793,0.5167785234899329
24,intent,0.8786206896551724,0.5
24,outcome,0.8254022988505747,0.5167785234899329
25,intent,0.8786206896551724,0.5
25,outcome,0.8224137931034482,0.5167785234899329
26,intent,0.8752873563218391,0.5
26,outcome,0.8022988505747127,0.5167785234899329
27,intent,0.8651724137931034,0.5
27,outcome,0.8126436781609196,0.5167785234899329
28,intent,0.8651724137931034,0.5
28,outcome,0.8222988505747126,0.5167785234899329
