model,template,sample,story_id,source,condition,intent_label,outcome_label,raw_rating,norm_rating
unsloth/Meta-Llama-3.1-8B-Instruct,human_verbatim,0,YS2008-COFFEE-neutral,YS2008,neutral,innocent,no_harm,1.9112,0.4556
unsloth/Meta-Llama-3.1-8B-Instruct,human_verbatim,0,YS2008-COFFEE-accidental,YS2008,accidental,innocent,harm,2.238,0.619
unsloth/Meta-Llama-3.1-8B-Instruct,human_verbatim,0,YS2008-COFFEE-attempted,YS2008,attempted,guilty,no_harm,2.0722,0.5361
unsloth/Meta-Llama-3.1-8B-Instruct,human_verbatim,0,YS2008-COFFEE-intentional,YS2008,intentional,guilty,harm,2.2721,0.636
unsloth/Meta-Llama-3.1-8B-Instruct,human_verbatim,0,YS2008-YS2008_02-neutral,YS2008,neutral,innocent,no_harm,1.5252,0.2626
unsloth/Meta-Llama-3.1-8B-Instruct,human_verbatim,0,YS2008-YS2008_02-accidental,YS2008,accidental,innocent,harm,1.5133,0.2567
unsloth/Meta-Llama-3.1-8B-Instruct,human_verbatim,0,YS2008-YS2008_02-attempted,YS2008,attempted,guilty,no_harm,1.6808,0.3404
unsloth/Meta-Llama-3.1-8B-Instruct,human_verbatim,0,YS2008-YS2008_02-intentional,YS2008,intentional,guilty,harm,1.5794,0.2897
unsloth/Meta-Llama-3.1-8B-Instruct,human_verbatim,0,YS2008-YS2008_03-neutral,YS2008,neutral,innocent,no_harm,1.8879,0.444
unsloth/Meta-Llama-3.1-8B-Instruct,human_verbatim,0,YS2008-YS2008_03-accidental,YS2008,accidental,innocent,harm,1.9019,0.451
unsloth/Meta-Llama-3.1-8B-Instruct,human_verbatim,0,YS2008-YS2008_03-attempted,YS2008,attempted,guilty,no_harm,1.8638,0.4319
unsloth/Meta-Llama-3.1-8B-Instruct,human_verbatim,0,YS2008-YS2008_03-intentional,YS2008,intentional,guilty,harm,1.8287,0.4143
unsloth/Meta-Llama-3.1-8B-Instruct,human_verbatim,0,YS2008-YS2008_04-neutral,YS2008,neutral,innocent,no_harm,1.2034,0.1017
unsloth/Meta-Llama-3.1-8B-Instruct,human_verbatim,0,YS2008-YS2008_04-accidental,YS2008,accidental,innocent,harm,1.6004,0.3002
unsloth/Meta-Llama-3.1-8B-Instruct,human_verbatim,0,YS2008-YS2008_04-attempted,YS2008,attempted,guilty,no_harm,1.3507,0.1753
unsloth/Meta-Llama-3.1-8B-Instruct,human_verbatim,0,YS2008-YS2008_04-intentional,YS2008,intentional,guilty,harm,1.6526,0.3263
unsloth/Meta-Llama-3.1-8B-Instruct,human_verbatim,0,YS2008-YS2008_05-neutral,YS2008,neutral,innocent,no_harm,1.6937,0.3469
unsloth/Meta-Llama-3.1-8B-Instruct,human_verbatim,0,YS2008-YS2008_05-accidental,YS2008,accidental,innocent,harm,1.7783,0.3891
unsloth/Meta-Llama-3.1-8B-Instruct,human_verbatim,0,YS2008-YS2008_05-attempted,YS2008,attempted,guilty,no_harm,1.927,0.4635
unsloth/Meta-Llama-3.1-8B-Instruct,human_verbatim,0,YS2008-YS2008_05-intentional,YS2008,intentional,guilty,harm,1.6754,0.3377
unsloth/Meta-Llama-3.1-8B-Instruct,human_verbatim,0,YS2008-YS2008_06-neutral,YS2008,neutral,innocent,no_harm,1.8697,0.4349
unsloth/Meta-Llama-3.1-8B-Instruct,human_verbatim,0,YS2008-YS2008_06-accidental,YS2008,accidental,innocent,harm,1.6754,0.3377
unsloth/Meta-Llama-3.1-8B-Instruct,human_verbatim,0,YS2008-YS2008_06-attempted,YS2008,attempted,guilty,no_harm,1.9464,0.4732
unsloth/Meta-Llama-3.1-8B-Instruct,human_verbatim,0,YS2008-YS2008_06-intentional,YS2008,intentional,guilty,harm,1.6662,0.3331
unsloth/Meta-Llama-3.1-8B-Instruct,human_verbatim,0,YS2008-YS2008_07-neutral,YS2008,neutral,innocent,no_harm,1.9516,0.4758
unsloth/Meta-Llama-3.1-8B-Instruct,human_verbatim,0,YS2008-YS2008_07-accidental,YS2008,accidental,innocent,harm,1.9479,0.474
unsloth/Meta-Llama-3.1-8B-Instruct,human_verbatim,0,YS2008-YS2008_07-attempted,YS2008,attempted,guilty,no_harm,2.0,0.5
unsloth/Meta-Llama-3.1-8B-Instruct,human_verbatim,0,YS2008-YS2008_07-intentional,YS2008,intentional,guilty,harm,1.8029,0.4014
