layer,target,cv_acc,chance
0,intent,0.52,0.5
0,outcome,0.5167816091954023,0.5167785234899329
1,intent,0.7924137931034483,0.5
1,outcome,0.7547126436781608,0.5167785234899329
2,intent,0.7950574712643679,0.5
2,outcome,0.7585057471264369,0.5167785234899329
3,intent,0.8050574712643679,0.5
3,outcome,0.7278160919540231,0.5167785234899329
4,intent,0.7813793103448277,0.5
4,outcome,0.7916091954022988,0.5167785234899329
5,intent,0.7947126436781609,0.5
5,outcome,0.7613793103448276,0.5167785234899329
6,intent,0.7747126436781608,0.5
6,outcome,0.7852873563218391,0.5167785234899329
7,intent,0.8216091954022989,0.5
7,outcome,0.7751724137931035,0.5167785234899329
8,intent,0.838735632183908,0.5
8,outcome,0.7647126436781609,0.5167785234899329
9,intent,0.8725287356321839,0.5
9,outcome,0.7882758620689655,0.5167785234899329
10,intent,0.9262068965517243,0.5
10,outcome,0.8318390804597702,0.5167785234899329
11,intent,0.9294252873563218,0.5
11,outcome,0.8254022988505746,0.5167785234899329
12,intent,0.9194252873563219,0.5
12,outcome,0.8383908045977011,0.5167785234899329
13,intent,0.9227586206896552,0.5
13,outcome,0.7985057471264368,0.5167785234899329
14,intent,0.9429885057471263,0.5
14,outcome,0.8391954022988506,0.5167785234899329
15,intent,0.9362068965517242,0.5
15,outcome,0.838735632183908,0.5167785234899329
16,intent,0.9428735632183909,0.5
16,outcome,0.8922988505747126,0.5167785234899329
17,intent,0.925632183908046,0.5
17,outcome,0.9093103448275862,0.5167785234899329
18,intent,0.9257471264367816,0.5
18,outcome,0.9158620689655171,0.5167785234899329
19,intent,0.9257471264367816,0.5
19,outcome,0.8719540229885059,0.5167785234899329
20,intent,0.9291954022988506,0.5
20,outcome,0.8890804597701149,0.5167785234899329
21,intent,0.9326436781609196,0.5
21,outcome,0.8490804597701149,0.5167785234899329
22,intent,0.912528735632184,0.5
22,outcome,0.8383908045977011,0.5167785234899329
23,intent,0.9091954022988507,0.5
23,outcome,0.8791954022988506,0.5167785234899329
24,intent,0.9093103448275862,0.5
24,outcome,0.8625287356321838,0.5167785234899329
25,intent,0.9091954022988504,0.5
25,outcome,0.8659770114942529,0.5167785234899329
26,intent,0.8991954022988505,0.5
26,outcome,0.8352873563218391,0.5167785234899329
27,intent,0.8854022988505748,0.5
27,outcome,0.8654022988505747,0.5167785234899329
28,intent,0.8685057471264367,0.5
28,outcome,0.8451724137931034,0.5167785234899329
