layer,target,cv_acc,chance,degenerate
0,intent,0.5,0.5,True
0,outcome,0.5,0.5,True
1,intent,0.515,0.5,False
1,outcome,0.5775,0.5,False
2,intent,0.565,0.5,False
2,outcome,0.525,0.5,False
3,intent,0.565,0.5,False
3,outcome,0.5475,0.5,False
4,intent,0.675,0.5,False
4,outcome,0.575,0.5,False
5,intent,0.7,0.5,False
5,outcome,0.5425,0.5,False
6,intent,0.7475,0.5,False
6,outcome,0.5975,0.5,False
7,intent,0.6525,0.5,False
7,outcome,0.5975,0.5,False
8,intent,0.63,0.5,False
8,outcome,0.545,0.5,False
9,intent,0.6475,0.5,False
9,outcome,0.585,0.5,False
10,intent,0.75,0.5,False
10,outcome,0.645,0.5,False
11,intent,0.73,0.5,False
11,outcome,0.68,0.5,False
12,intent,0.7175,0.5,False
12,outcome,0.6475,0.5,False
13,intent,0.7225,0.5,False
13,outcome,0.6725,0.5,False
14,intent,0.7,0.5,False
14,outcome,0.76,0.5,False
15,intent,0.7975,0.5,False
15,outcome,0.705,0.5,False
16,intent,0.9,0.5,False
16,outcome,0.6825,0.5,False
17,intent,0.88,0.5,False
17,outcome,0.7375,0.5,False
18,intent,0.89,0.5,False
18,outcome,0.725,0.5,False
19,intent,0.8975,0.5,False
19,outcome,0.755,0.5,False
20,intent,0.875,0.5,False
20,outcome,0.8275,0.5,False
21,intent,0.9325,0.5,False
21,outcome,0.7725,0.5,False
22,intent,0.8875,0.5,False
22,outcome,0.73,0.5,False
23,intent,0.87,0.5,False
23,outcome,0.75,0.5,False
24,intent,0.845,0.5,False
24,outcome,0.685,0.5,False
25,intent,0.845,0.5,False
25,outcome,0.6775,0.5,False
26,intent,0.8125,0.5,False
26,outcome,0.7075,0.5,False
27,intent,0.8425,0.5,False
27,outcome,0.705,0.5,False
28,intent,0.79,0.5,False
28,outcome,0.67,0.5,False
