model,layer,hypothesis,obs_r,null_mean,empirical_p,n_perm
OLMo-2-1124-7B,16,intent,0.0095,-0.0037,0.00699,1000
OLMo-2-1124-7B,16,outcome,0.4948,-0.0028,0.001,1000
OLMo-2-1124-7B-Instruct,16,intent,0.0128,-0.0033,0.00999,1000
OLMo-2-1124-7B-Instruct,16,outcome,0.6316,-0.0037,0.001,1000
Qwen2.5-0.5B,12,intent,-0.0018,-0.0032,0.87313,1000
Qwen2.5-0.5B,12,outcome,0.4911,-0.0033,0.001,1000
Qwen2.5-0.5B-Instruct,21,intent,-0.0037,-0.0046,0.78821,1000
Qwen2.5-0.5B-Instruct,21,outcome,0.2296,-0.0039,0.001,1000
Qwen2.5-1.5B,13,intent,-0.0022,-0.0034,0.81618,1000
Qwen2.5-1.5B,13,outcome,0.5094,-0.0032,0.001,1000
Qwen2.5-1.5B-Instruct,20,intent,-0.0007,-0.0026,0.93506,1000
Qwen2.5-1.5B-Instruct,20,outcome,0.5346,-0.0025,0.001,1000
Qwen2.5-7B,19,intent,0.0053,-0.0032,0.17582,1000
Qwen2.5-7B,19,outcome,0.465,-0.002,0.001,1000
Qwen2.5-7B-Instruct,19,intent,0.0078,-0.0027,0.01499,1000
Qwen2.5-7B-Instruct,19,outcome,0.5194,-0.0028,0.001,1000
