layer,target,cv_acc,chance,degenerate
0,intent,0.5034,0.5,False
0,outcome,0.5172,0.5172,False
1,intent,0.5552,0.5,False
1,outcome,0.5345,0.5172,False
2,intent,0.6172,0.5,False
2,outcome,0.5897,0.5172,False
3,intent,0.6034,0.5,False
3,outcome,0.6,0.5172,False
4,intent,0.5897,0.5,False
4,outcome,0.6448,0.5172,False
5,intent,0.5897,0.5,False
5,outcome,0.631,0.5172,False
6,intent,0.6552,0.5,False
6,outcome,0.6379,0.5172,False
7,intent,0.7138,0.5,False
7,outcome,0.6241,0.5172,False
8,intent,0.7,0.5,False
8,outcome,0.631,0.5172,False
9,intent,0.6897,0.5,False
9,outcome,0.6517,0.5172,False
10,intent,0.7241,0.5,False
10,outcome,0.7,0.5172,False
11,intent,0.7966,0.5,False
11,outcome,0.6897,0.5172,False
12,intent,0.8207,0.5,False
12,outcome,0.7483,0.5172,False
13,intent,0.8655,0.5,False
13,outcome,0.7586,0.5172,False
14,intent,0.9069,0.5,False
14,outcome,0.8,0.5172,False
15,intent,0.9,0.5,False
15,outcome,0.8103,0.5172,False
16,intent,0.8759,0.5,False
16,outcome,0.8103,0.5172,False
17,intent,0.9069,0.5,False
17,outcome,0.8241,0.5172,False
18,intent,0.9103,0.5,False
18,outcome,0.7931,0.5172,False
19,intent,0.869,0.5,False
19,outcome,0.7897,0.5172,False
20,intent,0.8655,0.5,False
20,outcome,0.769,0.5172,False
21,intent,0.8552,0.5,False
21,outcome,0.7759,0.5172,False
22,intent,0.8552,0.5,False
22,outcome,0.7931,0.5172,False
23,intent,0.8483,0.5,False
23,outcome,0.7759,0.5172,False
24,intent,0.8483,0.5,False
24,outcome,0.7828,0.5172,False
25,intent,0.8759,0.5,False
25,outcome,0.7759,0.5172,False
26,intent,0.8759,0.5,False
26,outcome,0.7759,0.5172,False
27,intent,0.8897,0.5,False
27,outcome,0.7724,0.5172,False
28,intent,0.8759,0.5,False
28,outcome,0.7655,0.5172,False
29,intent,0.8586,0.5,False
29,outcome,0.7759,0.5172,False
30,intent,0.8552,0.5,False
30,outcome,0.7862,0.5172,False
31,intent,0.8069,0.5,False
31,outcome,0.7793,0.5172,False
32,intent,0.8069,0.5,False
32,outcome,0.7759,0.5172,False
