model,template,sample,story_id,source,condition,intent_label,outcome_label,raw_rating,norm_rating
Qwen/Qwen2.5-14B,human_verbatim,0,YS2008-COFFEE-neutral,YS2008,neutral,innocent,no_harm,1.6252,0.6874
Qwen/Qwen2.5-14B,human_verbatim,0,YS2008-COFFEE-accidental,YS2008,accidental,innocent,harm,1.2319,0.884
Qwen/Qwen2.5-14B,human_verbatim,0,YS2008-COFFEE-attempted,YS2008,attempted,guilty,no_harm,1.4066,0.7967
Qwen/Qwen2.5-14B,human_verbatim,0,YS2008-COFFEE-intentional,YS2008,intentional,guilty,harm,1.2747,0.8627
Qwen/Qwen2.5-14B,human_verbatim,0,YS2008-YS2008_02-neutral,YS2008,neutral,innocent,no_harm,1.7154,0.6423
Qwen/Qwen2.5-14B,human_verbatim,0,YS2008-YS2008_02-accidental,YS2008,accidental,innocent,harm,1.3078,0.8461
Qwen/Qwen2.5-14B,human_verbatim,0,YS2008-YS2008_02-attempted,YS2008,attempted,guilty,no_harm,1.6405,0.6797
Qwen/Qwen2.5-14B,human_verbatim,0,YS2008-YS2008_02-intentional,YS2008,intentional,guilty,harm,1.3301,0.835
Qwen/Qwen2.5-14B,human_verbatim,0,YS2008-YS2008_03-neutral,YS2008,neutral,innocent,no_harm,1.7877,0.6061
Qwen/Qwen2.5-14B,human_verbatim,0,YS2008-YS2008_03-accidental,YS2008,accidental,innocent,harm,1.2587,0.8706
Qwen/Qwen2.5-14B,human_verbatim,0,YS2008-YS2008_03-attempted,YS2008,attempted,guilty,no_harm,1.7431,0.6284
Qwen/Qwen2.5-14B,human_verbatim,0,YS2008-YS2008_03-intentional,YS2008,intentional,guilty,harm,1.2713,0.8644
Qwen/Qwen2.5-14B,human_verbatim,0,YS2008-YS2008_04-neutral,YS2008,neutral,innocent,no_harm,1.6296,0.6852
Qwen/Qwen2.5-14B,human_verbatim,0,YS2008-YS2008_04-accidental,YS2008,accidental,innocent,harm,1.3499,0.8251
Qwen/Qwen2.5-14B,human_verbatim,0,YS2008-YS2008_04-attempted,YS2008,attempted,guilty,no_harm,1.5667,0.7166
Qwen/Qwen2.5-14B,human_verbatim,0,YS2008-YS2008_04-intentional,YS2008,intentional,guilty,harm,1.4126,0.7937
Qwen/Qwen2.5-14B,human_verbatim,0,YS2008-YS2008_05-neutral,YS2008,neutral,innocent,no_harm,1.7109,0.6446
Qwen/Qwen2.5-14B,human_verbatim,0,YS2008-YS2008_05-accidental,YS2008,accidental,innocent,harm,1.3414,0.8293
Qwen/Qwen2.5-14B,human_verbatim,0,YS2008-YS2008_05-attempted,YS2008,attempted,guilty,no_harm,1.6562,0.6719
Qwen/Qwen2.5-14B,human_verbatim,0,YS2008-YS2008_05-intentional,YS2008,intentional,guilty,harm,1.3964,0.8018
Qwen/Qwen2.5-14B,human_verbatim,0,YS2008-YS2008_06-neutral,YS2008,neutral,innocent,no_harm,1.7181,0.6409
Qwen/Qwen2.5-14B,human_verbatim,0,YS2008-YS2008_06-accidental,YS2008,accidental,innocent,harm,1.1973,0.9014
Qwen/Qwen2.5-14B,human_verbatim,0,YS2008-YS2008_06-attempted,YS2008,attempted,guilty,no_harm,1.5583,0.7209
Qwen/Qwen2.5-14B,human_verbatim,0,YS2008-YS2008_06-intentional,YS2008,intentional,guilty,harm,1.2135,0.8933
Qwen/Qwen2.5-14B,human_verbatim,0,YS2008-YS2008_07-neutral,YS2008,neutral,innocent,no_harm,1.6363,0.6819
Qwen/Qwen2.5-14B,human_verbatim,0,YS2008-YS2008_07-accidental,YS2008,accidental,innocent,harm,1.2654,0.8673
Qwen/Qwen2.5-14B,human_verbatim,0,YS2008-YS2008_07-attempted,YS2008,attempted,guilty,no_harm,1.4021,0.799
Qwen/Qwen2.5-14B,human_verbatim,0,YS2008-YS2008_07-intentional,YS2008,intentional,guilty,harm,1.2725,0.8638
Qwen/Qwen2.5-14B,human_verbatim,0,YS2008-YS2008_08-neutral,YS2008,neutral,innocent,no_harm,1.7436,0.6282
Qwen/Qwen2.5-14B,human_verbatim,0,YS2008-YS2008_08-accidental,YS2008,accidental,innocent,harm,1.2257,0.8871
Qwen/Qwen2.5-14B,human_verbatim,0,YS2008-YS2008_08-attempted,YS2008,attempted,guilty,no_harm,1.5048,0.7476
Qwen/Qwen2.5-14B,human_verbatim,0,YS2008-YS2008_08-intentional,YS2008,intentional,guilty,harm,1.3097,0.8452
Qwen/Qwen2.5-14B,human_verbatim,0,YS2008-ASTHMA-neutral,YS2008,neutral,innocent,no_harm,1.6441,0.678
Qwen/Qwen2.5-14B,human_verbatim,0,YS2008-ASTHMA-accidental,YS2008,accidental,innocent,harm,1.2186,0.8907
Qwen/Qwen2.5-14B,human_verbatim,0,YS2008-ASTHMA-attempted,YS2008,attempted,guilty,no_harm,1.5818,0.7091
Qwen/Qwen2.5-14B,human_verbatim,0,YS2008-ASTHMA-intentional,YS2008,intentional,guilty,harm,1.2901,0.855
Qwen/Qwen2.5-14B,human_verbatim,0,YS2008-YS2008_10-neutral,YS2008,neutral,innocent,no_harm,1.7991,0.6004
