model,claude-sonnet-4-6
template,human_verbatim

MODEL condition profile (0-1 blame)
neutral,0.037
accidental,0.4567
attempted,0.5208
intentional,0.868
model_intent_reliance_4cell,0.5386
model_intent_vs_outcome_contrast,0.0641

PROMPT-INVARIANCE of intent_vs_outcome_contrast (n_templates=3)
contrast_template_mean,0.0138
contrast_template_sd,0.0701
contrast_template_min,-0.0853
contrast_template_max,0.0641
contrast_template_range,0.1494
  contrast[human_verbatim],0.0641
  contrast[para_wrong7],0.0626
  contrast[punish7],-0.0853
contrast_sign_stable_across_prompts,NO

vs adult
rmse,0.2322
profile_corr,0.8559
intent_reliance_4cell_diff,-0.3179
intent_vs_outcome_contrast_human,0.666
contrast_diff_model_minus_human,-0.6019

vs child_4_5
rmse,0.1468
profile_corr,1.0
intent_vs_outcome_contrast_human,0.09
contrast_diff_model_minus_human,-0.0259

vs child_6_7
rmse,0.0311
profile_corr,1.0
intent_vs_outcome_contrast_human,0.12
contrast_diff_model_minus_human,-0.0559

vs child_8plus
rmse,0.1848
profile_corr,1.0
intent_vs_outcome_contrast_human,0.19
contrast_diff_model_minus_human,-0.1259
